"site_name","Latitude_manual","Longitude_manual","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_Crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_Crab_scaled"
"AC_LIS_CT_2023-10-3",41.146431,-73.235759,1.1,27,4.5,24.4,1,0.263157895,-1.28653701414278,0.144076016887448,-1.52885459384394,-1.07949248787575,0.992785993271888,1.23288693824534
"Cal_Lake_LA_2022-8-11",29.84499,-93.3179,8.7,25,13.4,30.7,0.888888889,0,-0.493790843913633,-0.120390047010749,0.99518744015753,0.876848915750794,0.598124676543866,-0.37452768631261
"CC_VA_2022-7-11",37.616617,-75.663933,27.34,32.39,6.158,27.893,1,0,1.45052344727996,0.856812059093087,-1.05864541492546,0.00519013480163211,0.992785993271888,-0.37452768631261
"CPR_MS_AL_2022-8-24",30.37278,-88.31833,14,28.8,12.8,30.6,0.6875,0,0.0590453011145887,0.382095474395825,0.825027303033835,0.845795877597992,-0.117198961135659,-0.37452768631261
"CS_DB_NJ_2022-9-21",39.073592,-74.913017,17.45,26.75,7.61,24.93,0.533333333,0,0.418910338915978,0.111017758900173,-0.646857883086124,-0.914911385665902,-0.664791539827366,-0.37452768631261
"Culch_Ba_LA_2022-6-21",29.42362,-90.01914,2.2,17,13.6,30.6,0.538461538,0,-1.17179743687277,-1.17825430260354,1.05190748586543,0.845795877597992,-0.64657640256939,-0.37452768631261
"DC_NB_RI_2022-8-19",41.55897,-71.437883,29.2,31.7,3.5,21,1,0,1.64453764157289,0.765571267048209,-1.81245482238343,-2.13529578507103,0.992785993271888,-0.37452768631261
"EC_ApBay_FL_2023-10-4",29.695683,-84.789312,10.1,31.2,14.1,30.4,1,0,-0.347758654660895,0.69945475107366,1.19370760013517,0.783689801292386,0.992785993271888,-0.37452768631261
"FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,13.2,29.3,10,29.4,0.941176471,0,-0.0244016641726901,0.448211990370374,0.03094666312326,0.473159419764363,0.783847650375389,-0.37452768631261
"FP_Sav_GA_2022-6-10",32.01721,-80.92203,16.8518396,28.69560821,11.88,29.48,0.736842105,0.1,0.356517001247198,0.368291431493531,0.564115092777504,0.498001850286605,0.058061820204493,0.236289870408595
"GalBay_TX_2022-6-2",29.5475,-94.90361,1,17,12.2,30,0.538461538,0,-1.29696788480369,-1.17825430260354,0.65486716591014,0.659477648681177,-0.64657640256939,-0.37452768631261
"GriceCove_SC_2022-8-10",32.7523094,-79.8976693,22,29,12,29.4,1,0,0.893514953987376,0.408542080785644,0.598147120202242,0.473159419764363,0.992785993271888,-0.37452768631261
"HC_DB_NJ_2022-9-23",39.434722,-75.516944,1.309,10.013,8.136,26.748,0.384615385,0,-1.26473649446148,-2.10216649683189,-0.497684162874352,-0.350367152047955,-1.19303053096453,-0.37452768631261
"IL_ApBay_FL_2023-10-3",29.689108,-85.220739,9.7,31.6,13.9,30.3,1,0,-0.389482137304535,0.7523479638533,1.13698755442728,0.752636763139585,0.992785993271888,-0.37452768631261
"LakeFortuna_LA_2022-5-11",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,-1.22395179017732,-1.04602127065444,0.768307257325937,0.752636763139585,-1.67117789730622,-0.37452768631261
"LCP_UP_MD_2022-10-20",38.33696,-76.97669,2.785,12.07,4.7,27,0.642857143,0,-1.11077684350645,-1.83016315011259,-1.47213454813604,-0.272113495902893,-0.275768239829315,-0.37452768631261
"Mer_GA_2022-7-26",31.453512,-81.363169,17,31,12.8,30,1,0.05,0.371971420941884,0.673008144683841,0.825027303033835,0.659477648681177,0.992785993271888,-0.0691189079520077
"Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.4,8.3,11.7,30.2,0.25,0,-1.35955310876915,-2.32868168056069,0.513067051640395,0.721583724986782,-1.67117789730622,-0.37452768631261
"OL_MI_SC_2022-5-31",33.5235297,-79.061842,32.404,35.61466667,10.84666667,28.36,0.764705882,0.157894737,1.97874273754844,1.28321950989239,0.27106152423203,0.150207822975219,0.157032614581988,0.589921088422163
"Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,26.29,31.48,7.563,21.5,0.352941176,0,1.34099930534041,0.736480000019408,-0.66018709382748,-1.98003059430702,-1.30553579634936,-0.37452768631261
"SaLa_GA_2022-10-5",29.785,-93.91806,2.646948278,23.8671,12.65197754,30.62636812,1,0,-1.12517684007343,-0.270196848905882,0.783048099548858,0.853983979961768,0.992785993271888,-0.37452768631261
"SaltBay_Canada_2022-9-27",43.812486,-65.910547,21.3,30.5,1.81,20.34,0.333333333,0,0.820498859361008,0.606891628709292,-2.29173920861517,-2.34024583687953,-1.3751819106482,-0.37452768631261
"Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,20.8,32.2,12.4,29.7,1,0,0.768344506056458,0.831687783022759,0.711587211618039,0.56631853422277,0.992785993271888,-0.37452768631261
"SawIs_MA_2022-9-5",42.751733,-70.83657,11.84,30.81,11.63,24.76,0.95,0,-0.166261505161064,0.647883868613512,0.493215035642631,-0.967701550525665,0.815188400566681,-0.37452768631261
"SkR_GA_2022-6-14",31.98995,-81.02173,21.53821623,29.82,11.056,30.054,1,0,0.845346886205603,0.516973166983905,0.330428504460962,0.67624628928369,0.992785993271888,-0.37452768631261
"TP_TX_2022-6-28",28.6936,-96.2233,7,27,13.2,30.9,0.846153846,0,-0.6711156451491,0.144076016887448,0.938467394449631,0.938954992056398,0.446331861324796,-0.37452768631261
"UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,21.73,34.4,10.83888889,28.72222222,0.944444444,0,0.86535160320292,1.12260045331077,0.2688557440465,0.262688827149746,0.795455333131902,-0.37452768631261
