,,,Pm RFTM,Pm RFTM,Pm RFTM,Pm RFTM,Pm RFTM,Pm RFTM,Pm RFTM,Pm RFTM,Pm Histo,Pm Histo,Pm Histo,Pm Histo,Pm Histo,Pm Histo,Pm Histo,Hn Histo,Hn Histo,Hn Histo,Hn Histo,Hn Histo,Hn Histo,Hn Histo
Site,Case,Date,n,inf,prev,sum scores,avg int,# adv,prop adv,WP,n,inf,prev,sum scores,avg int,# adv,prop adv,n,inf,prev,sum scores,avg int,# adv,prop adv
East,7779,10/23/2020,25,25,100.0,60.5,2.42,3,0.12,2.42,25,22,88.0,28,1.27,5,0.20,25,0,0.0,0,#DIV/0!,0,0.00
East,7806,12/10/2020,25,17,68.0,59,3.47,3,0.12,2.36,25,18,72.0,24.5,1.36,3,0.12,25,0,0.0,0,#DIV/0!,0,0.00
East,7817,1/7/2021,25,18,72.0,29,1.61,1,0.04,1.16,25,15,60.0,21,1.40,4,0.16,25,0,0.0,0,#DIV/0!,0,0.00
East,7832,2/4/2021,25,11,44.0,12.5,1.14,0,0.00,0.5,25,11,44.0,10,0.91,1,0.04,25,0,0.0,0,#DIV/0!,0,0.00
East,7854,3/9/2021,25,2,8.0,1.5,0.75,0,0.00,0.06,25,2,8.0,1,0.50,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,7863,3/17/2021,,,,,,,,,25,0,0.0,0,#DIV/0!,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,7871,4/5/2021,25,3,12.0,4,1.33,0,0.00,0.16,25,2,8.0,1.5,0.75,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,7912,5/6/2021,25,2,8.0,1,0.50,0,0.00,0.04,25,1,4.0,0.5,0.50,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,7965,6/2/2021,25,15,60.0,13,0.87,0,0.00,0.52,25,8,32.0,10.5,1.31,1,0.04,25,0,0.0,0,#DIV/0!,0,0.00
East,7999,6/29/2021,25,16,64.0,32,2.00,0,0.00,1.28,25,16,64.0,11.5,0.72,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,8047,8/2/2021,25,24,96.0,53.5,2.23,2,0.08,2.14,25,24,96.0,35.5,1.48,6,0.24,25,0,0.0,0,#DIV/0!,0,0.00
East,8097,8/31/2021,25,25,100.0,81,3.24,11,0.44,3.24,25,23,92.0,48.5,2.11,11,0.44,25,0,0.0,0,#DIV/0!,0,0.00
East,8173,10/4/2021,25,25,100.0,72.5,2.90,5,0.20,2.90,25,22,88.0,39,1.77,6,0.24,25,0,0.0,0,#DIV/0!,0,0.00
East,8223,11/4/2021,24,23,95.8,52.5,2.28,4,0.17,2.19,25,24,96.0,32,1.33,5,0.20,25,0,0.0,0,#DIV/0!,0,0.00
East,8240,12/2/2021,25,23,92.0,38.5,1.67,2,0.08,1.54,25,14,56.0,15.5,1.11,2,0.08,25,0,0.0,0,#DIV/0!,0,0.00
East,8248,1/12/2022,25,20,80.0,30.5,1.53,0,0.00,1.22,25,16,64.0,19.5,1.22,4,0.16,25,0,0.0,0,#DIV/0!,0,0.00
East,8263,2/10/2022,25,19,76.0,23,1.21,0,0.00,0.92,25,14,56.0,9,0.64,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,8280,3/11/2022,25,14,56.0,13.5,0.96,0,0.00,0.54,25,13,52.0,13.5,1.04,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,8303,4/8/2022,25,16,64.0,18.5,1.16,0,0.00,0.74,25,7,28.0,7,1.00,1,0.04,25,0,0.0,0,#DIV/0!,0,0.00
East,8354,5/16/2022,25,10,40.0,8.5,0.85,0,0.00,0.34,25,5,20.0,2.5,0.50,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,8374,6/7/2022,25,25,100.0,57,2.28,4,0.16,2.28,25,16,64.0,25.5,1.59,3,0.12,25,0,0.0,0,#DIV/0!,0,0.00
East,8419,7/6/2022,25,23,92.0,45.5,1.98,2,0.08,1.82,25,14,56.0,18.5,1.32,2,0.08,25,0,0.0,0,#DIV/0!,0,0.00
East,8483,8/5/2022,25,23,92.0,57,2.48,3,0.12,2.28,25,21,84.0,27.5,1.31,3,0.12,25,0,0.0,0,#DIV/0!,0,0.00
East,8512,9/1/2022,25,24,96.0,62,2.58,5,0.20,2.48,25,24,96.0,35,1.46,4,0.16,25,0,0.0,0,#DIV/0!,0,0.00
East,8572,10/6/2022,25,25,100.0,59,2.36,1,0.04,2.36,24,19,79.2,20.5,1.08,2,0.08,24,0,0.0,0,#DIV/0!,0,0.00
East,8605,11/7/2022,25,25,100.0,51.5,2.06,1,0.04,2.06,25,22,88.0,20.5,0.93,2,0.08,25,0,0.0,0,#DIV/0!,0,0.00
East,8619,12/7/2022,25,20,80.0,39.5,1.98,2,0.08,1.58,25,21,84.0,24,1.14,2,0.08,25,0,0.0,0,#DIV/0!,0,0.00
East,8629,1/17/2023,25,23,92.0,28,1.22,0,0.00,1.12,25,12,48.0,7.5,0.63,0,0.00,25,0,0.0,0,#DIV/0!,0,0.00
East,8635,2/6/2023,25,14,56.0,10.5,0.75,0,0.00,0.42,25,8,32.0,5.5,0.69,0,0.00,25,1,4.0,5,5.00,1,0.04
