"","rownames(env_dist_df)","LEW","S1-LOLA","S2-DEBY","W1-TX","W2-LA","W3-FL","W4-VA","W5-NH","W6-ME","YRK"
"LEW","LEW",0,0,1.0211,3.0716,2.161,3.7003,1.4352,1.9026,3.3756,1.0438
"S1-LOLA","S1-LOLA",0,0,1.0211,3.0716,2.161,3.7003,1.4352,1.9026,3.3756,1.0438
"S2-DEBY","S2-DEBY",1.0211,1.0211,0,3.1032,2.7686,3.2181,2.4422,1.7003,2.5725,0.4613
"W1-TX","W1-TX",3.0716,3.0716,3.1032,0,1.9947,2.38,3.7523,3.1331,4.3182,2.7551
"W2-LA","W2-LA",2.161,2.161,2.7686,1.9947,0,3.3055,2.186,3.1618,4.6385,2.4492
"W3-FL","W3-FL",3.7003,3.7003,3.2181,2.38,3.3055,0,4.7722,3.8024,3.5224,2.8755
"W4-VA","W4-VA",1.4352,1.4352,2.4422,3.7523,2.186,4.7722,0,2.9895,4.701,2.4489
"W5-NH","W5-NH",1.9026,1.9026,1.7003,3.1331,3.1618,3.8024,2.9895,0,2.381,1.6361
"W6-ME","W6-ME",3.3756,3.3756,2.5725,4.3182,4.6385,3.5224,4.701,2.381,0,2.5253
"YRK","YRK",1.0438,1.0438,0.4613,2.7551,2.4492,2.8755,2.4489,1.6361,2.5253,0
