"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W3_FL","W2_LA","W5_NH","W4_VA","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.7654,3.465,3.9208,3.0623,4.2409,3.5668,3.9065,3.0862,3.4076,3.9164,3.8286,3.8034,3.8497,4.4996,3.0315,3.6841,4.8663,4.1767,4.0943,3.5199,3.8942,3.9194,2.9706,3.7475,3.7349,3.679,4.1263,5.0822,4.7545,4.3822,1.997,3.6154,3.5692,2.8248
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.7654,0,3.1395,1.0411,2.8819,1.7618,4.7072,0.9476,1.3035,1.4092,1.8553,1.6072,3.3852,0.9817,2.5611,3.4205,1.2969,3.3148,3.1807,4.2597,0.7771,5.2154,1.6588,2.0553,1.6637,0.3604,2.062,1.7649,5.2381,2.498,2.0825,2.7283,5.3742,2.9464,3.8922
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.465,3.1395,0,2.7732,2.2983,4.3251,2.2309,3.0007,1.9319,2.3838,4.1814,1.8946,4.5799,2.9706,4.6391,3.9134,2.3204,5.2733,2.0284,3.0299,3.4382,3.5813,2.009,2.4466,1.7084,3.1781,1.5332,3.4684,4.1387,2.5311,4.3989,2.5273,5.3229,3.6517,3.9087
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",3.9208,1.0411,2.7732,0,2.3889,2.0519,4.4142,1.2771,1.2703,0.8598,2.1276,1.4402,3.4914,1.2904,2.4538,3.5996,1.2436,3.4336,2.5023,3.6012,1.7281,4.6901,1.4121,2.0523,1.4547,0.9492,1.6256,1.3644,4.5397,2.0379,2.104,2.8024,5.4901,2.7368,3.7373
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",3.0623,2.8819,2.2983,2.3889,0,3.168,2.7255,3.1515,2.167,2.1117,2.9306,2.5476,2.8635,3.1217,3.1064,2.6932,2.7904,3.7311,2.7224,1.6376,3.2024,2.381,2.718,2.0404,2.5442,2.8729,2.3517,3.067,2.7307,3.2512,3.0726,1.8848,5.2935,1.9998,3.3868
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.2409,1.7618,4.3251,2.0519,3.168,0,5.5703,2.6221,2.6765,2.4312,0.462,3.0977,2.2447,2.6466,1.076,2.9064,2.927,1.6502,4.2813,4.5541,1.8918,5.3713,3.2391,3.1411,3.161,1.7888,3.5042,2.6734,5.3556,3.9295,0.5652,3.4203,5.6551,2.2061,4.0771
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.5668,4.7072,2.2309,4.4142,2.7255,5.5703,0,4.6194,3.5779,3.9424,5.3356,3.6348,5.0854,4.5792,5.7498,4.355,4.045,6.2154,3.4161,2.6009,4.8887,2.556,3.7867,3.1685,3.6023,4.7621,3.2771,4.9649,3.4589,4.1196,5.6225,2.8142,5.8142,4.4161,4.5471
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.9065,0.9476,3.0007,1.2771,3.1515,2.6221,4.6194,0,1.3111,1.5437,2.7169,1.4187,4.1999,0.0935,3.3219,4.134,0.8717,4.2081,2.9232,4.3371,1.3029,5.3754,1.2206,1.8665,1.4765,0.8926,1.6649,1.4545,5.3165,1.9552,2.8876,2.8078,5.601,3.6741,4.1737
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",3.0862,1.3035,1.9319,1.2703,2.167,2.6765,3.5779,1.3111,0,1.186,2.5819,1.0879,3.5777,1.274,3.2012,3.2152,1.0241,3.9644,2.4804,3.5209,1.563,4.3019,1.1327,1.4997,0.9487,1.2941,1.1441,1.9462,4.6281,2.1813,2.8569,1.9209,5.1169,2.8621,3.5978
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",3.4076,1.4092,2.3838,0.8598,2.1117,2.4312,3.9424,1.5437,1.186,0,2.4408,1.2592,3.5314,1.5462,2.8099,3.5149,1.0811,3.6803,1.9233,3.276,1.9929,4.3524,1.3083,1.8398,1.2825,1.4047,1.3926,1.8078,4.2491,1.9452,2.4955,2.5651,4.7621,2.748,2.9937
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",3.9164,1.8553,4.1814,2.1276,2.9306,0.462,5.3356,2.7169,2.5819,2.4408,0,3.1289,1.8748,2.728,1.0436,2.4847,2.982,1.5487,4.2889,4.3731,1.8926,5.0619,3.2838,3.0353,3.1659,1.8629,3.481,2.7366,5.2064,4.0463,0.6848,3.1285,5.5129,1.861,3.9349
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",3.8286,1.6072,1.8946,1.4402,2.5476,3.0977,3.6348,1.4187,1.0879,1.2592,3.1289,0,4.1709,1.4357,3.6804,3.9329,0.7246,4.4106,1.9708,3.5938,2.1225,4.6794,0.4648,1.7697,0.3583,1.7377,0.8403,2.3445,4.6086,1.34,3.2886,2.6733,5.3548,3.4465,3.8423
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",3.8034,3.3852,4.5799,3.4914,2.8635,2.2447,5.0854,4.1999,3.5777,3.5314,1.8748,4.1709,0,4.1957,2.0451,1.3923,4.2339,1.5649,5.0233,4.1317,3.3514,4.3177,4.431,3.7584,4.1919,3.4357,4.4308,4.2052,4.8424,5.2089,2.1772,3.282,5.5509,1.2666,4.044
"IL_ApBay_FL_2023-10-3","IL_ApBay_FL_2023-10-3",3.8497,0.9817,2.9706,1.2904,3.1217,2.6466,4.5792,0.0935,1.274,1.5462,2.728,1.4357,4.1957,0,3.3327,4.1141,0.8815,4.2276,2.9205,4.3087,1.3048,5.3298,1.2258,1.8238,1.481,0.9041,1.6405,1.4157,5.2945,1.9764,2.9066,2.7473,5.5906,3.6643,4.1626
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",4.4996,2.5611,4.6391,2.4538,3.1064,1.076,5.7498,3.3219,3.2012,2.8099,1.0436,3.6804,2.0451,3.3327,0,2.9729,3.5445,1.3168,4.4943,4.3331,2.7723,5.0686,3.7949,3.6013,3.7127,2.497,3.9244,2.9344,5.01,4.3877,0.5521,3.7345,5.9251,1.8812,4.173
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",3.0315,3.4205,3.9134,3.5996,2.6932,2.9064,4.355,4.134,3.2152,3.5149,2.4847,3.9329,1.3923,4.1141,2.9729,0,4.0551,2.7064,4.8389,4.1006,3.2537,3.9302,4.2107,3.5636,3.8756,3.479,4.1279,4.3416,5.0084,5.1339,2.9641,2.6867,5.1504,1.5639,3.8823
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",3.6841,1.2969,2.3204,1.2436,2.7904,2.927,4.045,0.8717,1.0241,1.0811,2.982,0.7246,4.2339,0.8815,3.5445,4.0551,0,4.3759,2.1444,3.8956,1.7796,4.9615,0.5529,1.743,0.7773,1.3446,1.0277,1.8586,4.9033,1.4503,3.1372,2.6934,5.1628,3.5607,3.6959
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",4.8663,3.3148,5.2733,3.4336,3.7311,1.6502,6.2154,4.2081,3.9644,3.6803,1.5487,4.4106,1.5649,4.2276,1.3168,2.7064,4.3759,0,5.3327,4.9821,3.3841,5.5112,4.6292,4.3678,4.4527,3.3571,4.7902,4.1225,5.6157,5.2984,1.4739,4.2965,6.0388,2.0311,4.5205
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.1767,3.1807,2.0284,2.5023,2.7224,4.2813,3.4161,2.9232,2.4804,1.9233,4.2889,1.9708,5.0233,2.9205,4.4943,4.8389,2.1444,5.3327,0,3.0189,3.7549,4.2353,1.9369,2.7446,1.9651,3.1941,1.6473,3.1063,3.8422,1.7237,4.2664,3.506,5.0559,4.0619,3.391
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",4.0943,4.2597,3.0299,3.6012,1.6376,4.5541,2.6009,4.3371,3.5209,3.276,4.3731,3.5938,4.1317,4.3087,4.3331,4.1006,3.8956,4.9821,3.0189,0,4.6733,1.7891,3.7004,3.0018,3.6398,4.2429,3.2288,4.0854,1.1858,3.8049,4.3834,3.0674,6.0841,3.3439,4.1522
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.5199,0.7771,3.4382,1.7281,3.2024,1.8918,4.8887,1.3029,1.563,1.9929,1.8926,2.1225,3.3514,1.3048,2.7723,3.2537,1.7796,3.3841,3.7549,4.6733,0,5.4354,2.1691,2.231,2.1339,0.8349,2.5206,2.1215,5.6912,3.1047,2.3065,2.6139,5.3311,3.1036,4.0548
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",3.8942,5.2154,3.5813,4.6901,2.381,5.3713,2.556,5.3754,4.3019,4.3524,5.0619,4.6794,4.3177,5.3298,5.0686,3.9302,4.9615,5.5112,4.2353,1.7891,5.4354,0,4.8077,3.9547,4.6293,5.1747,4.2736,5.1085,2.29,5.1711,5.1962,3.3037,6.2154,3.6224,4.5643
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",3.9194,1.6588,2.009,1.4121,2.718,3.2391,3.7867,1.2206,1.1327,1.3083,3.2838,0.4648,4.431,1.2258,3.7949,4.2107,0.5529,4.6292,1.9369,3.7004,2.1691,4.8077,0,1.781,0.5187,1.7101,0.6525,2.066,4.7043,1.0993,3.4118,2.76,5.4979,3.6803,3.9847
