"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W3_FL","W2_LA","W5_NH","W4_VA","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.9334,3.6323,4.109,3.1205,4.2776,3.7372,3.942,3.4099,3.7404,4.0757,4.0232,3.8463,3.8054,4.4528,3.2049,3.8335,5.0094,4.3171,4.087,3.4573,4.0292,3.8992,2.8649,4.0164,3.7463,3.8787,4.2034,5.0983,4.7071,4.4239,1.9654,3.7743,3.8297,2.9947,3.9099,2.8405
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.9334,0,3.1428,1.049,2.9403,1.8138,4.7361,1.0271,3.2361,3.2989,1.8645,1.6349,3.4189,1.2617,2.7541,3.3808,2.9128,3.3224,3.23,4.6011,1.2648,5.2189,2.5442,2.4101,3.3773,0.6622,3.446,1.7826,5.565,2.9898,2.1273,3.3743,5.0271,3.3889,3.8785,3.2202,3.8368
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.6323,3.1428,0,2.7736,2.3351,4.337,2.2783,2.9792,3.3228,3.5916,4.213,1.8742,4.6247,2.9952,4.714,3.9548,3.2641,5.3068,1.9708,3.3456,3.5308,3.6152,2.5598,2.6157,3.1457,3.1908,2.8955,3.4647,4.4072,2.7874,4.4132,3.0985,5.0243,3.7724,3.6985,3.7292,3.6995
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",4.109,1.049,2.7736,0,2.4657,2.1144,4.4427,1.3512,3.261,3.1384,2.1495,1.4553,3.5403,1.5381,2.6778,3.577,2.9209,3.4495,2.5516,4.007,2.029,4.6958,2.4135,2.428,3.309,1.1311,3.2317,1.4019,4.9164,2.6234,2.1644,3.4664,5.1537,3.1864,3.7117,3.0063,3.6733
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",3.1205,2.9403,2.3351,2.4657,0,3.1873,2.7527,3.1515,3.268,3.2246,3.0036,2.6099,2.8908,3.1299,3.1629,2.7361,3.4687,3.7989,2.7173,1.9805,3.2585,2.3848,3.0458,2.1268,3.5029,2.8876,3.2308,3.088,2.9886,3.4015,3.0956,2.3871,5.0193,2.3117,3.2132,2.3094,3.1376
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.2776,1.8138,4.337,2.1144,3.1873,0,5.602,2.631,3.7145,3.5599,0.5871,3.1561,2.2302,2.6844,1.229,2.8561,3.6815,1.6942,4.316,4.7699,1.985,5.3744,3.6016,3.2729,4.0722,1.8009,4.2423,2.6812,5.5853,4.148,0.5661,3.7717,5.3574,2.8449,4.0705,2.6558,3.9992
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.7372,4.7361,2.2783,4.4427,2.7527,5.602,0,4.628,4.5114,4.7905,5.3835,3.6477,5.138,4.6176,5.8326,4.4189,4.6726,6.2661,3.3982,2.9144,4.9823,2.5648,4.1279,3.2805,4.4943,4.7992,4.1143,4.9855,3.7115,4.2912,5.6573,3.3305,5.5654,4.3722,4.3176,4.4491,4.311
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.942,1.0271,2.9792,1.3512,3.1515,2.631,4.628,0,2.8744,3.0076,2.7497,1.4911,4.1957,0.4066,3.3835,4.097,2.3741,4.234,2.9338,4.5419,1.4383,5.3613,1.9561,2.0608,2.9354,0.9086,2.8864,1.469,5.5282,2.3236,2.8958,3.2177,5.2905,4.1215,4.1976,3.9777,4.0918
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",3.4099,3.2361,3.3228,3.261,3.268,3.7145,4.5114,2.8744,0,1.1542,3.9251,3.1647,4.3629,2.5089,3.7724,4.259,1.065,4.9636,3.5445,3.8275,2.5277,5.0904,1.551,2.3498,0.9662,2.7356,1.1807,3.3521,4.89,2.5845,3.8484,2.1901,5.7079,4.5915,4.5162,4.517,4.2036
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",3.7404,3.2989,3.5916,3.1384,3.2246,3.5599,4.7905,3.0076,1.1542,0,3.8495,3.2355,4.3274,2.6766,3.4583,4.4859,1.1407,4.7511,3.207,3.5865,2.8307,5.1173,1.6798,2.5875,1.2634,2.8081,1.3945,3.2932,4.5189,2.3919,3.6042,2.762,5.4771,4.5969,4.176,4.4935,3.8062
