"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.973,3.7929,4.1344,3.4916,4.4236,3.8676,4.0977,4.1328,5.2803,4.1237,4.0618,4.0612,4.0447,4.685,3.351,3.9129,5.0452,4.2555,4.5807,3.7454,4.1549,4.1741,3.2495,3.9975,3.9468,5.1807,4.3105,5.4108,3.5511,4.9345,4.5666,3.3867,3.7095,3.1566,3.7923,3.5558
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.973,0,3.1632,1.0499,3.0461,1.7731,4.7283,0.9483,2.7179,4.2276,1.8671,1.6352,3.4197,0.983,2.577,3.4072,1.5559,3.3276,3.3229,4.5465,0.7884,5.2143,1.7583,2.1349,1.6815,0.3628,3.9681,1.7686,5.4206,2.8468,2.5362,2.0951,3.6328,3.3693,4.8692,3.1996,5.0719
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.7929,3.1632,0,2.7938,2.3784,4.3605,2.3221,3.0103,2.7479,4.2547,4.2317,1.9079,4.6229,2.9837,4.6857,3.9547,2.3278,5.3233,2.2056,3.2278,3.4862,3.6481,1.9688,2.4508,1.7427,3.2102,3.293,3.4948,4.2368,3.0447,2.5004,4.4377,3.2354,3.7446,4.651,3.701,4.8383
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",4.1344,1.0499,2.7938,0,2.5807,2.0696,4.4327,1.2823,2.7051,4.0743,2.149,1.4576,3.5334,1.2973,2.4754,3.5992,1.5059,3.4516,2.6612,3.926,1.751,4.6865,1.5159,2.1342,1.4645,0.9639,3.7551,1.3752,4.736,2.5804,2.0625,2.1219,3.6978,3.1679,4.7359,2.9867,4.9443
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",3.4916,3.0461,2.3784,2.5807,0,3.3247,2.905,3.2931,2.6203,3.6999,3.1095,2.7299,2.93,3.2662,3.2751,2.7577,2.811,3.8808,3.0163,1.737,3.3692,2.5562,2.7608,2.1052,2.7394,3.0435,3.3842,3.2184,2.7828,1.6887,3.3787,3.2371,2.3892,2.3203,4.2188,2.3181,4.2909
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.4236,1.7731,4.3605,2.0696,3.3247,0,5.6023,2.6345,3.5943,4.6768,0.4537,3.1341,2.2793,2.6585,1.0794,2.8822,3.0679,1.6494,4.4084,4.832,1.8989,5.3733,3.3108,3.203,3.1912,1.7962,4.8887,2.6765,5.5421,2.5425,3.9762,0.5676,4.1785,2.7331,5.0155,2.5356,5.2222
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.8676,4.7283,2.3221,4.4327,2.905,5.6023,0,4.6263,4.3369,5.6121,5.3794,3.6376,5.1586,4.5883,5.7924,4.4416,4.1367,6.264,3.511,2.9677,4.9303,2.5721,3.8238,3.1754,3.6248,4.7912,4.7137,4.9863,3.6085,3.8932,4.086,5.6587,3.7291,4.325,5.2244,4.4027,5.4606
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",4.0977,0.9483,3.0103,1.2823,3.2931,2.6345,4.6263,0,2.7148,4.2719,2.7276,1.4376,4.2255,0.0932,3.3381,4.1164,1.2152,4.2211,3.0681,4.6105,1.31,5.3634,1.341,1.9441,1.4829,0.8958,3.7709,1.4632,5.4891,3.4708,1.9973,2.9012,3.6844,4.0491,5.1201,3.9027,5.2944
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",4.1328,2.7179,2.7479,2.7051,2.6203,3.5943,4.3369,2.7148,0,2.0196,3.5316,2.6326,4.075,2.6987,4.0103,3.7518,1.9048,4.6468,3.5659,3.7073,2.8636,4.9396,2.1955,2.515,2.5807,2.717,1.5222,3.0799,4.9062,3.1785,3.2385,3.7341,1.9538,3.9394,4.6669,3.8522,4.4417
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",5.2803,4.2276,4.2547,4.0743,3.6999,4.6768,5.6121,4.2719,2.0196,0,4.6849,4.1788,4.9884,4.2735,4.889,4.9735,3.3425,5.4388,4.4167,4.1962,4.4657,5.8941,3.7142,4.0473,4.1854,4.2284,1.593,4.3785,5.244,4.3526,4.435,4.7114,3.0588,5.0605,4.7568,4.9668,4.19
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",4.1237,1.8671,4.2317,2.149,3.1095,0.4537,5.3794,2.7276,3.5316,4.6849,0,3.1701,1.9282,2.7387,1.0493,2.4766,3.1234,1.5527,4.4221,4.6676,1.9015,5.0763,3.3587,3.0988,3.2038,1.8717,4.8768,2.7384,5.401,2.2303,4.0919,0.6867,3.9496,2.3663,4.8757,2.1882,5.1011
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",4.0618,1.6352,1.9079,1.4576,2.7299,3.1341,3.6376,1.4376,2.6326,4.1788,3.1701,0,4.2265,1.4573,3.7202,3.9539,1.1121,4.4477,2.1417,3.9078,2.1683,4.6744,0.6924,1.8589,0.3551,1.7725,3.4816,2.3738,4.7874,3.0866,1.3343,3.325,3.6094,3.775,4.7999,3.6371,5.0079
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",4.0612,3.4197,4.6229,3.5334,2.93,2.2793,5.1586,4.2255,4.075,4.9884,1.9282,4.2265,0,4.2219,2.0925,1.3744,4.2687,1.6364,5.1578,4.2959,3.3901,4.3692,4.4544,3.7683,4.2525,3.4702,5.3192,4.2256,4.95,1.8222,5.2532,2.2183,3.8114,1.5357,4.7863,1.5194,4.9699
