"","rownames(env_dist_nb_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CB_TX_2022-6-9","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_DR_ME_2022-10-25","DC_NB_RI_2022-8-19","DWS_CB_VA_2022-10-7","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","KP_FGR_FL_2022-8-23","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","Sister_Lk_LA_2022-8-9","SkR_GA_2022-6-14","SR_GB_NH_2022-8-12","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.2378,3.4714,2.9911,3.2656,1.8911,3.4264,3.6129,3.1111,1.9411,3.4167,2.4947,3.0406,3.0375,3.3611,2.559,3.3546,4.3601,3.1158,2.1198,3.341,3.6288,4.008,2.903,2.9846,2.5446,3.4575,2.351,3.3129,3.2737,0.9329,3.181,3.1973,3.4714,3.6129,1.9411,4.3601,3.3129,0.9329,1.8617,1.934,2.0116,1.9512
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.2378,0,1.5727,3.0728,0.7563,2.5393,1.2464,4.4196,4.6076,2.3633,0.8571,1.2664,1.1147,1.3728,1.5557,2.8373,0.8946,2.487,1.1935,3.2431,1.1883,2.41,2.9654,3.7533,0.6694,4.7249,1.6088,2.0079,1.0913,1.6097,2.6615,0.3258,2.0407,1.5727,4.4196,2.3633,2.487,1.0913,2.6615,2.7635,2.3166,2.5579,2.1746
"CB_TX_2022-6-9","CB_TX_2022-6-9",3.4714,1.5727,0,3.2193,1.3585,2.9812,2.6231,4.5081,4.7401,3.3217,0.8463,1.6627,1.6565,2.6852,2.0216,4.0469,0.7783,2.2785,2.5239,4.2807,1.3949,3.8303,2.9012,3.8735,1.7534,4.8658,1.6943,2.0575,2.4876,1.9953,2.8462,1.2993,1.9166,0,4.5081,3.3217,2.2785,2.4876,2.8462,3.7401,3.1075,3.5966,2.9623
"CC_VA_2022-7-11","CC_VA_2022-7-11",2.9911,3.0728,3.2193,0,2.4986,1.5832,3.9683,2.6865,2.185,2.3346,2.9508,1.9032,2.0539,3.8244,1.8504,4.0195,2.9231,2.4573,3.7748,3.6972,2.2498,4.5313,1.4913,1.9408,3.4091,2.6371,1.9613,2.4071,3.7953,1.671,2.5114,3.092,1.4864,3.2193,2.6865,2.3346,2.4573,3.7953,2.5114,2.8764,1.7821,2.8213,1.7701
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",3.2656,0.7563,1.3585,2.4986,0,2.2736,1.9783,4.0111,4.1883,2.4092,0.6298,0.8742,0.5122,2.0572,0.9182,3.2922,0.6578,1.813,1.8991,3.5422,0.4572,3.0536,2.2515,3.3387,1.3278,4.4149,0.8745,1.7938,1.8151,0.9369,2.604,0.7654,1.3348,1.3585,4.0111,2.4092,1.813,1.8151,2.604,2.9197,2.1897,2.7264,2.0401
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",1.8911,2.5393,2.9812,1.5832,2.2736,0,3.123,2.2902,2.1364,1.5379,2.6261,1.584,1.8282,2.8981,1.8962,2.8069,2.5931,2.8497,2.9025,2.6508,2.1733,3.5636,2.3572,1.4939,2.7015,2.2215,2.1123,1.3812,2.9858,1.8944,1.2269,2.5998,1.8167,2.9812,2.2902,1.5379,2.8497,2.9858,1.2269,1.9816,1.0085,1.9721,0.8615
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",3.4264,1.2464,2.6231,3.9683,1.9783,3.123,0,5.0939,5.2497,2.4822,2.0423,2.2461,2.2249,0.4508,2.6272,2.1316,2.0732,3.6483,0.3283,2.81,2.3999,1.2845,4.0664,4.4543,0.9446,5.2246,2.791,2.7523,0.1941,2.6982,3.0566,1.4126,3.1836,2.6231,5.0939,2.4822,3.6483,0.1941,3.0566,2.642,2.7013,2.4403,2.5999
"DC_DR_ME_2022-10-25","DC_DR_ME_2022-10-25",3.6129,4.4196,4.5081,2.6865,4.0111,2.2902,5.0939,0,1.4924,3.7212,4.2507,3.5609,3.5333,4.948,3.3451,4.7292,4.2254,3.5221,4.9386,4.6274,3.7169,5.551,2.863,0.8554,4.717,2.1212,3.4709,2.6941,4.9859,3.455,2.975,4.4904,3.0704,4.5081,0,3.7212,3.5221,4.9859,2.975,4.0878,3.1969,4.1216,3.0773
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.1111,4.6076,4.7401,2.185,4.1883,2.1364,5.2497,1.4924,0,3.2737,4.5305,3.5105,3.696,5.0164,3.5536,4.567,4.4924,4.0156,5.0316,4.1481,3.9461,5.5601,3.0721,1.1961,4.8177,0.9695,3.7023,3.1095,5.1147,3.5247,2.7927,4.6496,3.2001,4.7401,1.4924,3.2737,4.0156,5.1147,2.7927,3.5679,2.7858,3.654,2.7734
"DWS_CB_VA_2022-10-7","DWS_CB_VA_2022-10-7",1.9411,2.3633,3.3217,2.3346,2.4092,1.5379,2.4822,3.7212,3.2737,0,2.858,1.7834,2.159,2.1614,2.3728,1.7767,2.84,3.6511,2.2291,1.4287,2.5697,2.5228,3.2835,2.9516,2.3097,3.141,2.673,2.4092,2.3503,2.2802,1.8462,2.4663,2.6145,3.3217,3.7212,0,3.6511,2.3503,1.8462,0.6177,0.6038,0.4991,0.7449
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.4167,0.8571,0.8463,2.9508,0.6298,2.6261,2.0423,4.2507,4.5305,2.858,0,1.2627,1.0251,2.1592,1.4126,3.5505,0.0923,1.9483,1.9843,3.8712,0.8028,3.2468,2.5918,3.6174,1.297,4.7183,1.2169,1.8195,1.9026,1.4641,2.7345,0.7019,1.6371,0.8463,4.2507,2.858,1.9483,1.9026,2.7345,3.317,2.6587,3.1394,2.4966
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",2.4947,1.2664,1.6627,1.9032,0.8742,1.584,2.2461,3.5609,3.5105,1.7834,1.2627,0,0.6543,2.1425,1.061,2.9696,1.2273,2.1602,2.0497,3.0051,0.9266,3.1052,2.1622,2.7944,1.5373,3.6423,1.102,1.4692,2.0649,0.9239,1.8867,1.2277,1.1418,1.6627,3.5609,1.7834,2.1602,2.0649,1.8867,2.3082,1.4896,2.1591,1.3598
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",3.0406,1.1147,1.6565,2.0539,0.5122,1.8282,2.2249,3.5333,3.696,2.159,1.0251,0.6543,0,2.2396,0.5279,3.2158,1.031,1.6595,2.1143,3.3932,0.4287,3.1746,1.8811,2.8518,1.632,3.9617,0.6332,1.5154,2.0611,0.5773,2.3327,1.1723,0.9742,1.6565,3.5333,2.159,1.6595,2.0611,2.3327,2.7155,1.8396,2.5393,1.6745
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",3.0375,1.3728,2.6852,3.8244,2.0572,2.8981,0.4508,4.948,5.0164,2.1614,2.1592,2.1425,2.2396,0,2.6673,1.7596,2.1735,3.7721,0.2077,2.3963,2.4677,1.1579,4.0792,4.2821,0.9472,4.9251,2.8448,2.6388,0.4264,2.709,2.7445,1.5034,3.1638,2.6852,4.948,2.1614,3.7721,0.4264,2.7445,2.2619,2.4328,2.0773,2.3488
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",3.3611,1.5557,2.0216,1.8504,0.9182,1.8962,2.6272,3.3451,3.5536,2.3728,1.4126,1.061,0.5279,2.6673,0,3.5374,1.4314,1.3135,2.5456,3.6845,0.6418,3.5136,1.4439,2.7099,2.1245,3.9425,0.462,1.7399,2.4724,0.3502,2.6284,1.649,0.8093,2.0216,3.3451,2.3728,1.3135,2.4724,2.6284,2.9669,1.9804,2.7924,1.8215
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",2.559,2.8373,4.0469,4.0195,3.2922,2.8069,2.1316,4.7292,4.567,1.7767,3.5505,2.9696,3.2158,1.7596,3.5374,0,3.5469,4.7829,1.9515,1.0225,3.5872,1.456,4.7153,4.1134,2.5097,4.2702,3.8349,3.1592,2.1346,3.5636,2.6178,2.9843,3.9469,4.0469,4.7292,1.7767,4.7829,2.1346,2.6178,1.4432,2.2487,1.4189,2.2546
"IL_ApBay_FL_2023-10-3","IL_ApBay_FL_2023-10-3",3.3546,0.8946,0.7783,2.9231,0.6578,2.5931,2.0732,4.2254,4.4924,2.84,0.0923,1.2273,1.031,2.1735,1.4314,3.5469,0,1.97,2.0023,3.8521,0.8152,3.2721,2.5904,3.5861,1.2993,4.6695,1.2239,1.7779,1.931,1.4707,2.6754,0.7166,1.6147,0.7783,4.2254,2.84,1.97,1.931,2.6754,3.296,2.6367,3.1232,2.4757
"KP_FGR_FL_2022-8-23","KP_FGR_FL_2022-8-23",4.3601,2.487,2.2785,2.4573,1.813,2.8497,3.6483,3.5221,4.0156,3.6511,1.9483,2.1602,1.6595,3.7721,1.3135,4.7829,1.97,0,3.6207,4.9672,1.3949,4.6741,1.1806,3.0976,3.0973,4.5792,1.0734,2.3669,3.5139,1.451,3.5414,2.5084,1.2514,2.2785,3.5221,3.6511,0,3.5139,3.5414,4.248,3.1976,4.088,3.0328
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",3.1158,1.1935,2.5239,3.7748,1.8991,2.9025,0.3283,4.9386,5.0316,2.2291,1.9843,2.0497,2.1143,0.2077,2.5456,1.9515,2.0023,3.6207,0,2.5628,2.3185,1.31,3.969,4.2723,0.785,4.9708,2.7062,2.5849,0.2457,2.5901,2.7797,1.3258,3.0498,2.5239,4.9386,2.2291,3.6207,0.2457,2.7797,2.3769,2.4617,2.1836,2.3686
