"","rownames(env_dist_nb_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.2883,3.0611,3.3223,1.9221,3.4709,3.1849,3.4606,2.5482,3.0909,3.0797,3.418,2.5767,3.3978,3.1607,2.1431,3.3934,3.6735,4.0787,2.9644,3.0352,2.6084,3.5136,2.3565,3.3414,3.2344,3.2506,3.5149,3.6993,1.9884,4.4158,3.3609,0.9367,1.899,1.9801,2.0561,1.9925
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.2883,0,3.106,0.7663,2.5994,1.2586,4.7117,0.8617,1.2745,1.1344,1.3879,1.5865,2.8698,0.8997,1.2068,3.2617,1.2057,2.4267,3.0187,3.8679,0.6817,4.8237,1.6346,2.0859,1.6342,0.3293,2.0706,1.5813,4.5737,2.3718,2.5277,1.102,2.7275,2.7725,2.3358,2.5636,2.2002
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.0611,3.106,0,2.5227,1.6225,4.0133,2.2783,2.9766,1.9302,2.0673,3.873,1.8543,4.0694,2.9498,3.8224,3.7443,2.2634,4.5817,1.4921,2.0313,3.4572,2.7317,1.9677,2.4438,1.6839,3.131,1.4891,3.2559,2.8095,2.3632,2.4527,3.8404,2.5763,2.9123,1.8045,2.8561,1.7929
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",3.3223,0.7663,2.5227,0,2.3328,2.0002,4.2905,0.6356,0.879,0.5258,2.0824,0.9404,3.3302,0.6653,1.9227,3.5675,0.466,3.0794,2.2963,3.4539,1.3512,4.5134,0.8915,1.8762,0.951,0.7807,1.3575,1.3732,4.1663,2.4188,1.8429,1.8357,2.6744,2.9331,2.2062,2.7364,2.0629
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",1.9221,2.5994,1.6225,2.3328,0,3.1839,2.1811,2.6764,1.6404,1.8748,2.9585,1.9418,2.8417,2.6431,2.9648,2.6822,2.2219,3.6229,2.4018,1.5409,2.7694,2.2605,2.1584,1.3841,1.9551,2.6653,1.8546,3.0358,2.371,1.5732,2.8848,3.0493,1.2534,2.0121,1.0376,2.0095,0.8886
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",3.4709,1.2586,4.0133,2.0002,3.1839,0,5.3553,2.0579,2.2652,2.2541,0.4537,2.6677,2.1599,2.0885,0.329,2.8226,2.4282,1.2899,4.1292,4.566,0.9488,5.3234,2.8272,2.8193,2.7346,1.4226,3.2229,2.6372,5.2432,2.496,3.6995,0.1953,3.116,2.6508,2.7282,2.4466,2.6324
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.1849,4.7117,2.2783,4.2905,2.1811,5.3553,0,4.6263,3.6107,3.7846,5.1218,3.6376,4.6445,4.5883,5.1388,4.2316,4.0376,5.6651,3.1449,1.1946,4.9303,0.9852,3.7893,3.1451,3.6248,4.7597,3.2804,4.8428,1.4982,3.3638,4.0817,5.2228,2.8511,3.6561,2.8668,3.7476,2.8483
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.4606,0.8617,2.9766,0.6356,2.6764,2.0579,4.6263,0,1.2643,1.0378,2.1758,1.4376,3.5799,0.0932,1.9997,3.8889,0.8164,3.267,2.6413,3.7252,1.31,4.8085,1.2391,1.8944,1.4829,0.7084,1.6618,0.8541,4.3993,2.8644,1.9884,1.9167,2.7923,3.3251,2.672,3.1452,2.5149
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",2.5482,1.2745,1.9302,0.879,1.6404,2.2652,3.6107,1.2643,0,0.6574,2.1644,1.0764,3.0012,1.2293,2.0705,3.0273,0.9297,3.13,2.2042,2.904,1.5583,3.7389,1.1133,1.5323,0.9425,1.2408,1.1597,1.6735,3.707,1.7901,2.1817,2.0837,1.9537,2.3189,1.5021,2.1675,1.3781
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",3.0909,1.1344,2.0673,0.5258,1.8748,2.2541,3.7846,1.0378,0.6574,0,2.2707,0.5392,3.2511,1.0446,2.1448,3.4169,0.432,3.2059,1.915,2.9537,1.6644,4.0472,0.6406,1.5827,0.5882,1.1981,0.9848,1.6782,3.6749,2.1643,1.6776,2.0898,2.3934,2.7263,1.8469,2.548,1.6869
