"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,4.2959,3.9025,4.6277,4.0694,4.793,4.0003,4.1295,4.258,5.6263,4.6642,4.1197,4.5369,4.1747,4.8723,3.8373,4.3601,5.2195,4.2267,4.9448,3.8222,4.5335,4.4098,3.5411,4.2607,4.2605,5.1794,4.6582,5.3227,4.0447,4.956,4.8049,3.6232,3.4183,2.9859,3.508,3.3477
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",4.2959,0,3.2214,1.0226,3.0331,1.4863,4.7886,1.4529,3.1416,4.2409,1.7398,1.8716,3.1845,1.2503,1.7795,3.3399,2.3502,2.7566,3.443,4.3922,2.1294,4.9979,1.9551,3.0782,1.7151,0.3296,3.7633,1.6797,4.8504,2.6196,2.8878,1.4909,3.8364,2.7753,4.8622,2.5666,5.0268
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.9025,3.2214,0,2.9265,2.4377,4.3178,2.2783,3.0349,2.9454,4.3631,4.2893,1.9159,4.5589,2.9499,4.3594,3.9749,2.7084,5.0384,2.0488,3.0598,3.6517,3.4434,2.0532,2.835,1.7492,3.2489,3.1109,3.4558,3.5214,2.9688,2.5254,4.1926,3.3649,3.0683,4.4807,3.015,4.6461
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",4.6277,1.0226,2.9265,0,2.6876,2.0035,4.5397,1.9533,3.3448,4.1062,2.1153,1.9167,3.4181,1.6331,2.0234,3.5926,2.3889,3.1433,3.1358,3.9029,2.9829,4.5572,1.7565,3.3809,1.4164,1.024,3.5612,1.4521,4.319,2.4748,2.7623,1.8899,3.9956,2.9846,4.9713,2.7915,5.1327
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",4.0694,3.0331,2.4377,2.6876,0,3.4492,2.8403,3.5929,2.9379,3.3774,3.2496,2.9735,3.0145,3.2009,3.2832,2.843,2.7819,3.8877,3.5516,1.6258,3.916,2.6644,2.5635,2.9015,2.412,3.0859,2.8461,3.204,2.4487,1.8549,3.7372,3.1978,2.4016,2.5099,4.5514,2.5078,4.5231
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.793,1.4863,4.3178,2.0035,3.4492,0,5.5871,2.8422,4,4.6622,0.5222,3.209,2.2646,2.631,0.6129,2.8601,3.4225,1.3896,4.6909,4.9061,2.9265,5.3484,3.2502,4.0515,2.9679,1.6206,4.6344,2.6928,5.3531,2.5362,4.2886,0.4411,4.3438,2.733,5.259,2.5355,5.4209
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",4.0003,4.7886,2.2783,4.5397,2.8403,5.5871,0,4.664,4.2411,5.3932,5.4435,3.6693,5.0789,4.5884,5.5499,4.437,4.3029,6.0405,3.444,2.5813,5.0686,2.3162,3.8344,3.4578,3.6556,4.838,4.2686,4.9794,2.5983,3.8137,4.1258,5.487,3.5797,3.7815,5.0039,3.8701,5.1463
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",4.1295,1.4529,3.0349,1.9533,3.5929,2.8422,4.664,0,2.8732,4.487,3.1077,1.4485,4.376,0.6187,3.1838,4.2874,2.1081,4.1001,2.9559,4.7058,1.6614,5.4092,1.6964,2.4617,1.7876,1.38,3.6236,1.8385,5.137,3.642,2.0301,2.8698,3.8192,3.5684,4.9615,3.4013,5.1033
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",4.258,3.1416,2.9454,3.3448,2.9379,4,4.2411,2.8732,0,2.4352,4.0843,2.8072,4.4925,2.5182,4.1889,4.156,1.3739,4.8018,3.6479,3.8295,2.4895,5.2191,2.1162,1.9433,2.5357,3.1339,1.5591,3.2241,4.7973,3.6656,3.1064,3.7491,2.0094,3.7356,4.6543,3.6435,4.3871
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",5.6263,4.2409,4.3631,4.1062,3.3774,4.6622,5.3932,4.487,2.4352,0,4.6977,4.3376,4.9548,3.9569,4.6801,5.0097,2.4912,5.2518,4.6648,3.8417,4.3892,5.8037,3.3387,3.7496,3.7456,4.257,1.7422,4.048,4.9161,4.3358,4.435,4.2839,3.1405,4.9031,4.9889,4.8063,4.4642
