"","site2","order2","site1","order1","value"
"1","LEW",1,"YRK",0,1.0438
"2","LEW",1,"W1-TX",2,3.0716
"3","LEW",1,"LEW",1,0
"4","LEW",1,"S1-LOLA",6,0
"5","LEW",1,"W4-VA",5,1.4352
"6","LEW",1,"W6-ME",9,3.3756
"7","LEW",1,"S2-DEBY",7,1.0211
"8","LEW",1,"W3-FL",4,3.7003
"9","LEW",1,"W2-LA",3,2.161
"10","LEW",1,"W5-NH",8,1.9026
"11","S1-LOLA",6,"LEW",1,0
"12","S1-LOLA",6,"S2-DEBY",7,1.0211
"13","S1-LOLA",6,"W4-VA",5,1.4352
"14","S1-LOLA",6,"W2-LA",3,2.161
"15","S1-LOLA",6,"YRK",0,1.0438
"16","S1-LOLA",6,"S1-LOLA",6,0
"17","S1-LOLA",6,"W6-ME",9,3.3756
"18","S1-LOLA",6,"W1-TX",2,3.0716
"19","S1-LOLA",6,"W3-FL",4,3.7003
"20","S1-LOLA",6,"W5-NH",8,1.9026
"21","S2-DEBY",7,"W3-FL",4,3.2181
"22","S2-DEBY",7,"W5-NH",8,1.7003
"23","S2-DEBY",7,"YRK",0,0.4613
"24","S2-DEBY",7,"W1-TX",2,3.1032
"25","S2-DEBY",7,"S1-LOLA",6,1.0211
"26","S2-DEBY",7,"S2-DEBY",7,0
"27","S2-DEBY",7,"LEW",1,1.0211
"28","S2-DEBY",7,"W6-ME",9,2.5725
"29","S2-DEBY",7,"W4-VA",5,2.4422
"30","S2-DEBY",7,"W2-LA",3,2.7686
"31","W1-TX",2,"W5-NH",8,3.1331
"32","W1-TX",2,"W4-VA",5,3.7523
"33","W1-TX",2,"W3-FL",4,2.38
"34","W1-TX",2,"W1-TX",2,0
"35","W1-TX",2,"S1-LOLA",6,3.0716
"36","W1-TX",2,"YRK",0,2.7551
"37","W1-TX",2,"W6-ME",9,4.3182
"38","W1-TX",2,"S2-DEBY",7,3.1032
"39","W1-TX",2,"W2-LA",3,1.9947
"40","W1-TX",2,"LEW",1,3.0716
"41","W2-LA",3,"YRK",0,2.4492
"42","W2-LA",3,"S2-DEBY",7,2.7686
"43","W2-LA",3,"W4-VA",5,2.186
"44","W2-LA",3,"LEW",1,2.161
"45","W2-LA",3,"W6-ME",9,4.6385
"46","W2-LA",3,"W2-LA",3,0
"47","W2-LA",3,"W3-FL",4,3.3055
"48","W2-LA",3,"W5-NH",8,3.1618
"49","W2-LA",3,"W1-TX",2,1.9947
"50","W2-LA",3,"S1-LOLA",6,2.161
"51","W3-FL",4,"W6-ME",9,3.5224
"52","W3-FL",4,"LEW",1,3.7003
"53","W3-FL",4,"W3-FL",4,0
"54","W3-FL",4,"W4-VA",5,4.7722
"55","W3-FL",4,"S1-LOLA",6,3.7003
"56","W3-FL",4,"W1-TX",2,2.38
"57","W3-FL",4,"W2-LA",3,3.3055
"58","W3-FL",4,"YRK",0,2.8755
"59","W3-FL",4,"S2-DEBY",7,3.2181
"60","W3-FL",4,"W5-NH",8,3.8024
"61","W4-VA",5,"W5-NH",8,2.9895
"62","W4-VA",5,"LEW",1,1.4352
"63","W4-VA",5,"W3-FL",4,4.7722
"64","W4-VA",5,"W2-LA",3,2.186
"65","W4-VA",5,"S2-DEBY",7,2.4422
"66","W4-VA",5,"W1-TX",2,3.7523
"67","W4-VA",5,"YRK",0,2.4489
"68","W4-VA",5,"W6-ME",9,4.701
"69","W4-VA",5,"S1-LOLA",6,1.4352
"70","W4-VA",5,"W4-VA",5,0
"71","W5-NH",8,"S2-DEBY",7,1.7003
"72","W5-NH",8,"W1-TX",2,3.1331
"73","W5-NH",8,"W3-FL",4,3.8024
"74","W5-NH",8,"S1-LOLA",6,1.9026
"75","W5-NH",8,"LEW",1,1.9026
"76","W5-NH",8,"W5-NH",8,0
"77","W5-NH",8,"W4-VA",5,2.9895
"78","W5-NH",8,"YRK",0,1.6361
"79","W5-NH",8,"W6-ME",9,2.381
"80","W5-NH",8,"W2-LA",3,3.1618
"81","W6-ME",9,"LEW",1,3.3756
"82","W6-ME",9,"S1-LOLA",6,3.3756
"83","W6-ME",9,"W2-LA",3,4.6385
"84","W6-ME",9,"W3-FL",4,3.5224
"85","W6-ME",9,"W1-TX",2,4.3182
"86","W6-ME",9,"W6-ME",9,0
"87","W6-ME",9,"W4-VA",5,4.701
"88","W6-ME",9,"S2-DEBY",7,2.5725
"89","W6-ME",9,"W5-NH",8,2.381
"90","W6-ME",9,"YRK",0,2.5253
"91","YRK",0,"W2-LA",3,2.4492
"92","YRK",0,"W1-TX",2,2.7551
"93","YRK",0,"LEW",1,1.0438
"94","YRK",0,"S2-DEBY",7,0.4613
"95","YRK",0,"W4-VA",5,2.4489
"96","YRK",0,"W5-NH",8,1.6361
"97","YRK",0,"W3-FL",4,2.8755
"98","YRK",0,"YRK",0,0
"99","YRK",0,"W6-ME",9,2.5253
"100","YRK",0,"S1-LOLA",6,1.0438
