"","site2","order2","site1","order1","dist"
"1","Lewisetta",9,"W5_NH",7,2.1252
"2","Lewisetta",9,"W4_VA",4,0.5053
"3","Lewisetta",9,"W6_ME",8,4.2396
"4","Lewisetta",9,"S2_DEBY",6,1.1115
"5","Lewisetta",9,"Lewisetta",9,0
"6","Lewisetta",9,"W3_FL",3,4.1111
"7","Lewisetta",9,"W2_LA",2,2.3386
"8","Lewisetta",9,"YorkRiver",10,1.2384
"9","Lewisetta",9,"W1_TX",1,3.6077
"10","Lewisetta",9,"S1_LOLA",5,0.2657
"11","S1_LOLA",5,"YorkRiver",10,1.3159
"12","S1_LOLA",5,"W6_ME",8,4.1976
"13","S1_LOLA",5,"Lewisetta",9,0.2657
"14","S1_LOLA",5,"W2_LA",2,2.5474
"15","S1_LOLA",5,"W5_NH",7,2.0554
"16","S1_LOLA",5,"S2_DEBY",6,1.1786
"17","S1_LOLA",5,"W3_FL",3,4.2723
"18","S1_LOLA",5,"W1_TX",1,3.753
"19","S1_LOLA",5,"S1_LOLA",5,0
"20","S1_LOLA",5,"W4_VA",4,0.6247
"21","S2_DEBY",6,"S2_DEBY",6,0
"22","S2_DEBY",6,"Lewisetta",9,1.1115
"23","S2_DEBY",6,"W3_FL",3,3.2116
"24","S2_DEBY",6,"W1_TX",1,3.1285
"25","S2_DEBY",6,"W5_NH",7,1.6703
"26","S2_DEBY",6,"W4_VA",4,0.613
"27","S2_DEBY",6,"W6_ME",8,3.3076
"28","S2_DEBY",6,"S1_LOLA",5,1.1786
"29","S2_DEBY",6,"W2_LA",2,2.5826
"30","S2_DEBY",6,"YorkRiver",10,0.2361
"31","W1_TX",1,"W5_NH",7,2.9046
"32","W1_TX",1,"S1_LOLA",5,3.753
"33","W1_TX",1,"W2_LA",2,2.5005
"34","W1_TX",1,"W4_VA",4,3.3349
"35","W1_TX",1,"W1_TX",1,0
"36","W1_TX",1,"S2_DEBY",6,3.1285
"37","W1_TX",1,"Lewisetta",9,3.6077
"38","W1_TX",1,"W6_ME",8,4.6605
"39","W1_TX",1,"YorkRiver",10,2.9877
"40","W1_TX",1,"W3_FL",3,2.3287
"41","W2_LA",2,"W3_FL",3,3.5638
"42","W2_LA",2,"W5_NH",7,2.999
"43","W2_LA",2,"W4_VA",4,2.3649
"44","W2_LA",2,"S1_LOLA",5,2.5474
"45","W2_LA",2,"W1_TX",1,2.5005
"46","W2_LA",2,"W2_LA",2,0
"47","W2_LA",2,"Lewisetta",9,2.3386
"48","W2_LA",2,"YorkRiver",10,2.4885
"49","W2_LA",2,"W6_ME",8,5.1381
"50","W2_LA",2,"S2_DEBY",6,2.5826
"51","W3_FL",3,"W4_VA",4,3.6689
"52","W3_FL",3,"S2_DEBY",6,3.2116
"53","W3_FL",3,"YorkRiver",10,3.05
"54","W3_FL",3,"W1_TX",1,2.3287
"55","W3_FL",3,"W6_ME",8,3.6459
"56","W3_FL",3,"W2_LA",2,3.5638
"57","W3_FL",3,"W3_FL",3,0
"58","W3_FL",3,"S1_LOLA",5,4.2723
"59","W3_FL",3,"Lewisetta",9,4.1111
"60","W3_FL",3,"W5_NH",7,3.6006
"61","W4_VA",4,"W3_FL",3,3.6689
"62","W4_VA",4,"S1_LOLA",5,0.6247
"63","W4_VA",4,"W6_ME",8,3.8382
"64","W4_VA",4,"Lewisetta",9,0.5053
"65","W4_VA",4,"W5_NH",7,1.8909
"66","W4_VA",4,"W4_VA",4,0
"67","W4_VA",4,"W2_LA",2,2.3649
"68","W4_VA",4,"YorkRiver",10,0.755
"69","W4_VA",4,"W1_TX",1,3.3349
"70","W4_VA",4,"S2_DEBY",6,0.613
"71","W5_NH",7,"W2_LA",2,2.999
"72","W5_NH",7,"W4_VA",4,1.8909
"73","W5_NH",7,"W5_NH",7,0
"74","W5_NH",7,"W3_FL",3,3.6006
"75","W5_NH",7,"YorkRiver",10,1.5757
"76","W5_NH",7,"W6_ME",8,3.058
"77","W5_NH",7,"S2_DEBY",6,1.6703
"78","W5_NH",7,"S1_LOLA",5,2.0554
"79","W5_NH",7,"Lewisetta",9,2.1252
"80","W5_NH",7,"W1_TX",1,2.9046
"81","W6_ME",8,"W3_FL",3,3.6459
"82","W6_ME",8,"S1_LOLA",5,4.1976
"83","W6_ME",8,"S2_DEBY",6,3.3076
"84","W6_ME",8,"Lewisetta",9,4.2396
"85","W6_ME",8,"YorkRiver",10,3.1855
"86","W6_ME",8,"W5_NH",7,3.058
"87","W6_ME",8,"W1_TX",1,4.6605
"88","W6_ME",8,"W6_ME",8,0
"89","W6_ME",8,"W4_VA",4,3.8382
"90","W6_ME",8,"W2_LA",2,5.1381
"91","YorkRiver",10,"W3_FL",3,3.05
"92","YorkRiver",10,"S2_DEBY",6,0.2361
"93","YorkRiver",10,"S1_LOLA",5,1.3159
"94","YorkRiver",10,"W1_TX",1,2.9877
"95","YorkRiver",10,"W4_VA",4,0.755
"96","YorkRiver",10,"W2_LA",2,2.4885
"97","YorkRiver",10,"W6_ME",8,3.1855
"98","YorkRiver",10,"W5_NH",7,1.5757
"99","YorkRiver",10,"Lewisetta",9,1.2384
"100","YorkRiver",10,"YorkRiver",10,0
