"","site2","order2","site1","order1","dist"
"1","Lewisetta",9,"W5_NH",7,3.4655
"2","Lewisetta",9,"W4_VA",4,1.1157
"3","Lewisetta",9,"W6_ME",8,4.5023
"4","Lewisetta",9,"S2_DEBY",6,4.4339
"5","Lewisetta",9,"Lewisetta",9,0
"6","Lewisetta",9,"W3_FL",3,4.3824
"7","Lewisetta",9,"W2_LA",2,2.5019
"8","Lewisetta",9,"YorkRiver",10,4.7116
"9","Lewisetta",9,"W1_TX",1,3.64
"10","Lewisetta",9,"S1_LOLA",5,0.2657
"11","S1_LOLA",5,"YorkRiver",10,4.7326
"12","S1_LOLA",5,"W6_ME",8,4.4627
"13","S1_LOLA",5,"Lewisetta",9,0.2657
"14","S1_LOLA",5,"W2_LA",2,2.6981
"15","S1_LOLA",5,"W5_NH",7,3.4231
"16","S1_LOLA",5,"S2_DEBY",6,4.4511
"17","S1_LOLA",5,"W3_FL",3,4.5339
"18","S1_LOLA",5,"W1_TX",1,3.784
"19","S1_LOLA",5,"S1_LOLA",5,0
"20","S1_LOLA",5,"W4_VA",4,1.1746
"21","S2_DEBY",6,"S2_DEBY",6,0
"22","S2_DEBY",6,"Lewisetta",9,4.4339
"23","S2_DEBY",6,"W3_FL",3,5.2322
"24","S2_DEBY",6,"W1_TX",1,5.3198
"25","S2_DEBY",6,"W5_NH",7,4.6972
"26","S2_DEBY",6,"W4_VA",4,4.5801
"27","S2_DEBY",6,"W6_ME",8,5.6832
"28","S2_DEBY",6,"S1_LOLA",5,4.4511
"29","S2_DEBY",6,"W2_LA",2,5.1806
"30","S2_DEBY",6,"YorkRiver",10,0.8669
"31","W1_TX",1,"W5_NH",7,3.8311
"32","W1_TX",1,"S1_LOLA",5,3.784
"33","W1_TX",1,"W2_LA",2,2.5548
"34","W1_TX",1,"W4_VA",4,3.3955
"35","W1_TX",1,"W1_TX",1,0
"36","W1_TX",1,"S2_DEBY",6,5.3198
"37","W1_TX",1,"Lewisetta",9,3.64
"38","W1_TX",1,"W6_ME",8,4.7786
"39","W1_TX",1,"YorkRiver",10,5.388
"40","W1_TX",1,"W3_FL",3,2.9178
"41","W2_LA",2,"W3_FL",3,4.2314
"42","W2_LA",2,"W5_NH",7,4.1065
"43","W2_LA",2,"W4_VA",4,2.3677
"44","W2_LA",2,"S1_LOLA",5,2.6981
"45","W2_LA",2,"W1_TX",1,2.5548
"46","W2_LA",2,"W2_LA",2,0
"47","W2_LA",2,"Lewisetta",9,2.5019
"48","W2_LA",2,"YorkRiver",10,5.2905
"49","W2_LA",2,"W6_ME",8,5.1841
"50","W2_LA",2,"S2_DEBY",6,5.1806
"51","W3_FL",3,"W4_VA",4,4.3821
"52","W3_FL",3,"S2_DEBY",6,5.2322
"53","W3_FL",3,"YorkRiver",10,5.2906
"54","W3_FL",3,"W1_TX",1,2.9178
"55","W3_FL",3,"W6_ME",8,4.547
"56","W3_FL",3,"W2_LA",2,4.2314
"57","W3_FL",3,"W3_FL",3,0
"58","W3_FL",3,"S1_LOLA",5,4.5339
"59","W3_FL",3,"Lewisetta",9,4.3824
"60","W3_FL",3,"W5_NH",7,4.2607
"61","W4_VA",4,"W3_FL",3,4.3821
"62","W4_VA",4,"S1_LOLA",5,1.1746
"63","W4_VA",4,"W6_ME",8,3.8902
"64","W4_VA",4,"Lewisetta",9,1.1157
"65","W4_VA",4,"W5_NH",7,3.4432
"66","W4_VA",4,"W4_VA",4,0
"67","W4_VA",4,"W2_LA",2,2.3677
"68","W4_VA",4,"YorkRiver",10,4.7748
"69","W4_VA",4,"W1_TX",1,3.3955
"70","W4_VA",4,"S2_DEBY",6,4.5801
"71","W5_NH",7,"W2_LA",2,4.1065
"72","W5_NH",7,"W4_VA",4,3.4432
"73","W5_NH",7,"W5_NH",7,0
"74","W5_NH",7,"W3_FL",3,4.2607
"75","W5_NH",7,"YorkRiver",10,4.4382
"76","W5_NH",7,"W6_ME",8,4.0532
"77","W5_NH",7,"S2_DEBY",6,4.6972
"78","W5_NH",7,"S1_LOLA",5,3.4231
"79","W5_NH",7,"Lewisetta",9,3.4655
"80","W5_NH",7,"W1_TX",1,3.8311
"81","W6_ME",8,"W3_FL",3,4.547
"82","W6_ME",8,"S1_LOLA",5,4.4627
"83","W6_ME",8,"S2_DEBY",6,5.6832
"84","W6_ME",8,"Lewisetta",9,4.5023
"85","W6_ME",8,"YorkRiver",10,5.6717
"86","W6_ME",8,"W5_NH",7,4.0532
"87","W6_ME",8,"W1_TX",1,4.7786
"88","W6_ME",8,"W6_ME",8,0
"89","W6_ME",8,"W4_VA",4,3.8902
"90","W6_ME",8,"W2_LA",2,5.1841
"91","YorkRiver",10,"W3_FL",3,5.2906
"92","YorkRiver",10,"S2_DEBY",6,0.8669
"93","YorkRiver",10,"S1_LOLA",5,4.7326
"94","YorkRiver",10,"W1_TX",1,5.388
"95","YorkRiver",10,"W4_VA",4,4.7748
"96","YorkRiver",10,"W2_LA",2,5.2905
"97","YorkRiver",10,"W6_ME",8,5.6717
"98","YorkRiver",10,"W5_NH",7,4.4382
"99","YorkRiver",10,"Lewisetta",9,4.7116
"100","YorkRiver",10,"YorkRiver",10,0
