"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,14.8506834450094,13.625,16.325
"2",2,12.7327101293103,10.555,14.435
"3",3,12.4163756664712,10.9,14.75
"4",4,11.5306659013952,10.34,13.05
"5",5,11.6505271546975,9.83333333333333,13.6333333333333
"6",6,11.4752363896503,9.8,13.8
"7",7,12.7859087320412,11.65,14.35
"8",8,13.6886079015332,11.65,15.15
"9",9,14.0811481826147,13.1,15.1
"10",10,14.4080875632511,12.95,16.9
"11",11,16.4029098042337,15.25,17.3
"12",12,16.4485998125056,14.7,17.75
