"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","Mean_max_temperature_C","Mean_min_temperature_C","max_sal_scaled","min_sal_scaled","max_temp_scaled","min_temp_scaled"
"1","S1-LOLA","B9_CviMVP_PlDNA_7_D823_DE6A9D1A","D823","DE6A9D1A","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"2","S1-LOLA","E12_CviMVP_PlDNA_6_D829_F5766A54","D829","F5766A54","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"3","S1-LOLA","B4_CviMVP_PlDNA_7_D833_1EB423F8","D833","1EB423F8","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"4","S1-LOLA","H4_CviMVP_PlDNA_6_D839_4971362E","D839","4971362E","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"5","S1-LOLA","F1_CviMVP_PlDNA_7_D841_614C49B4","D841","614C49B4","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"6","S1-LOLA","C5_CviMVP_PlDNA_6_D855_3C1385A6","D855","3C1385A6","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"7","S1-LOLA","F11_CviMVP_PlDNA_6_D857_37BD5AEE","D857","37BD5AEE","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"8","S1-LOLA","F4_CviMVP_PlDNA_6_D858_89B0D25E","D858","89B0D25E","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"9","S1-LOLA","G3_CviMVP_PlDNA_7_D859_B4C27F12","D859","B4C27F12","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"10","S1-LOLA","E7_CviMVP_PlDNA_7_D863_DC93E8DB","D863","DC93E8DB","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"11","S1-LOLA","D12_CviMVP_PlDNA_6_D865_4104CC2A","D865","4104CC2A","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"12","S1-LOLA","B12_CviMVP_PlDNA_7_D867_41A34BEE","D867","41A34BEE","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"13","S1-LOLA","E4_CviMVP_PlDNA_6_D868_4CB28175","D868","4CB28175","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"14","S1-LOLA","H12_CviMVP_PlDNA_7_D870_23315E9D","D870","23315E9D","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"15","S1-LOLA","A8_CviMVP_PlDNA_7_D843_15D4BAD1","D843","15D4BAD1","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"16","S1-LOLA","G8_CviMVP_PlDNA_7_D845_9E618C95","D845","9E618C95","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"17","S1-LOLA","D6_CviMVP_PlDNA_7_D851_1D4ECC27","D851","1D4ECC27","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"18","S1-LOLA","D4_CviMVP_PlDNA_6_D853_2FE9A127","D853","2FE9A127","0216C585",16.875,9.99,24.8645,3.4065,-1.6435388911895,0.275969557259878,-1.056513964197,-0.561311281688898
"19","S2-DEBY","D10_CviMVP_PlDNA_7_D779_71CC5071","D779","71CC5071","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"20","S2-DEBY","E11_CviMVP_PlDNA_7_D781_029ECEB7","D781","029ECEB7","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"21","S2-DEBY","G9_CviMVP_PlDNA_6_D783_1A4FAF00","D783","1A4FAF00","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"22","S2-DEBY","D7_CviMVP_PlDNA_7_D784_34A74FE2","D784","34A74FE2","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"23","S2-DEBY","C4_CviMVP_PlDNA_7_D785_C47B78DC","D785","C47B78DC","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"24","S2-DEBY","D5_CviMVP_PlDNA_7_D787_2CA6DD38","D787","2CA6DD38","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"25","S2-DEBY","B2_CviMVP_PlDNA_6_D793_D9ED7A3F","D793","D9ED7A3F","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"26","S2-DEBY","E5_CviMVP_PlDNA_6_D799_2051A6AC","D799","2051A6AC","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"27","S2-DEBY","A7_CviMVP_PlDNA_6_D800_5ED99B1F","D800","5ED99B1F","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"28","S2-DEBY","D1_CviMVP_PlDNA_6_D801_31F0D11D","D801","31F0D11D","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"29","S2-DEBY","H5_CviMVP_PlDNA_6_D807_DAA1A356","D807","DAA1A356","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"30","S2-DEBY","F7_CviMVP_PlDNA_7_D813_85474216","D813","85474216","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"31","S2-DEBY","A4_CviMVP_PlDNA_6_D815_8F42E9B6","D815","8F42E9B6","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"32","S2-DEBY","H3_CviMVP_PlDNA_7_D816_5F4FEE20","D816","5F4FEE20","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"33","S2-DEBY","E4_CviMVP_PlDNA_7_D818_9FFB6260","D818","9FFB6260","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
