#YY,MM,DD,hh,mm,DEPTH,OTMP,COND,SAL,O2%,O2PPM,CLCON,TURB,PH,EH
2019,3,26,14,42,1,11.6,999,0,999,8.4,0,0,99,99
2019,3,26,14,48,1,10.8,999,0,999,8.7,0,0,99,99
2019,3,26,14,54,1,11.7,999,0.1,999,10.6,3.9,17,99,99
2019,3,26,15,0,1,11.8,999,0.1,999,11.1,4,14,99,99
2019,3,26,15,6,1,11.8,999,0.1,999,11.1,4.3,14,99,99
2019,3,26,15,12,1,11.8,999,0.1,999,11.1,4.2,13,99,99
2019,3,26,15,18,1,11.8,999,0.1,999,11.2,4.1,13,99,99
2019,3,26,15,24,1,11.8,999,0.1,999,11.2,4.2,14,99,99
2019,3,26,15,30,1,11.8,999,0.1,999,11.1,4.2,17,99,99
2019,3,26,15,36,1,11.8,999,0.1,999,11.2,4.2,16,99,99
2019,3,26,15,42,1,11.8,999,0.1,999,11.2,4.2,17,99,99
2019,3,26,15,48,1,11.8,999,0.1,999,11.2,4.2,17,99,99
2019,3,26,15,54,1,11.9,999,0.1,999,11.2,4.2,14,99,99
2019,3,26,16,0,1,11.9,999,0.1,999,11.2,4.2,14,99,99
2019,3,26,16,6,1,11.9,999,0.1,999,11.2,4.2,14,99,99
2019,3,26,16,12,1,11.9,999,0.1,999,11.2,4.2,15,99,99
2019,3,26,16,18,1,11.9,999,0.1,999,11.2,4.2,14,99,99
2019,3,26,16,24,1,11.9,999,0.1,999,11.2,4.3,14,99,99
2019,3,26,16,30,1,11.9,999,0.1,999,11.3,4.3,13,99,99
2019,3,26,16,36,1,11.9,999,0.1,999,11.3,4.2,12,99,99
2019,3,26,16,42,1,11.9,999,0.1,999,11.3,4.5,11,99,99
2019,3,26,16,48,1,12,999,0.1,999,11.3,4.2,11,99,99
2019,3,26,16,54,1,12,999,0.1,999,11.3,4.5,11,99,99
2019,3,26,17,0,1,12,999,0.1,999,11.3,4.3,10,99,99
2019,3,26,17,6,1,12,999,0.1,999,11.4,4.2,10,99,99
2019,3,26,17,12,1,12,999,0.1,999,11.4,3.8,10,99,99
2019,3,26,17,18,1,12.1,999,0.1,999,11.4,3.6,9,99,99
2019,3,26,17,24,1,12.1,999,0.1,999,11.4,3.5,9,99,99
2019,3,26,17,30,1,12.1,999,0.1,999,11.4,3.1,9,99,99
2019,3,26,17,36,1,12.2,999,0.1,999,11.5,3,9,99,99
2019,3,26,17,42,1,12.2,999,0.1,999,11.5,3,9,99,99
