"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","lat.x","lon.x","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","salinity_quantile_10","salinity_quantile_90","lat.y","lon.y","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","temp_quantile_10","temp_quantile_90","sal_quant10_scaled","sal_quant90_scaled","temp_quant10_scaled","temp_quant90_scaled","LEW_salinity_quantile_10","LEW_salinity_quantile_90","LEW_temp_quantile_10","LEW_temp_quantile_90","LEW_sal_quant10_scaled","LEW_sal_quant90_scaled","LEW_temp_quant10_scaled","LEW_temp_quant90_scaled","YRK_salinity_quantile_10","YRK_salinity_quantile_90","YRK_temp_quantile_10","YRK_temp_quantile_90","YRK_sal_quant10_scaled","YRK_sal_quant90_scaled","YRK_temp_quant10_scaled","YRK_temp_quant90_scaled"
"1","S1-LOLA","B9_CviMVP_PlDNA_7_D823_DE6A9D1A","D823","DE6A9D1A","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.1","S1-LOLA","E12_CviMVP_PlDNA_6_D829_F5766A54","D829","F5766A54","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.2","S1-LOLA","B4_CviMVP_PlDNA_7_D833_1EB423F8","D833","1EB423F8","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.3","S1-LOLA","H4_CviMVP_PlDNA_6_D839_4971362E","D839","4971362E","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.4","S1-LOLA","F1_CviMVP_PlDNA_7_D841_614C49B4","D841","614C49B4","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.5","S1-LOLA","C5_CviMVP_PlDNA_6_D855_3C1385A6","D855","3C1385A6","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.6","S1-LOLA","F11_CviMVP_PlDNA_6_D857_37BD5AEE","D857","37BD5AEE","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.7","S1-LOLA","F4_CviMVP_PlDNA_6_D858_89B0D25E","D858","89B0D25E","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.8","S1-LOLA","G3_CviMVP_PlDNA_7_D859_B4C27F12","D859","B4C27F12","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.9","S1-LOLA","E7_CviMVP_PlDNA_7_D863_DC93E8DB","D863","DC93E8DB","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
