Date,EST Time,Temp,Salinity,Depth
5/1/23,0:00:00,17.8,14.6,3.275
5/1/23,0:15:00,17.7,14.8,3.256
5/1/23,0:30:00,17.7,14.8,3.242
5/1/23,0:45:00,17.9,14.5,3.224
5/1/23,1:00:00,17.9,14.6,3.211
5/1/23,1:15:00,17.8,14.6,3.198
5/1/23,1:30:00,17.8,14.6,3.177
5/1/23,1:45:00,17.9,14.5,3.161
5/1/23,2:00:00,17.8,14.6,3.146
5/1/23,2:15:00,18,14.4,3.127
5/1/23,2:30:00,18,14.4,3.104
5/1/23,2:45:00,17.9,14.6,3.086
5/1/23,3:00:00,17.9,14.6,3.071
5/1/23,3:15:00,17.9,14.6,3.052
5/1/23,3:30:00,17.9,14.6,3.048
5/1/23,3:45:00,17.9,14.5,3.05
5/1/23,4:00:00,17.9,14.1,3.051
5/1/23,4:15:00,17.9,14.1,3.046
5/1/23,4:30:00,17.7,13.9,3.039
5/1/23,4:45:00,17.8,13.9,3.033
5/1/23,5:00:00,17.8,13.8,3.02
5/1/23,5:15:00,17.9,13.9,3.011
5/1/23,5:30:00,17.8,14.5,3.009
5/1/23,5:45:00,17.9,14.4,3.014
5/1/23,6:00:00,17.8,14.5,3.019
5/1/23,6:15:00,18,14.3,3.033
5/1/23,6:30:00,17.8,14.2,3.05
5/1/23,6:45:00,17.8,14.3,3.063
5/1/23,7:00:00,17.5,13.9,3.073
5/1/23,7:15:00,17.3,14,3.091
5/1/23,7:30:00,17.6,14.5,3.103
5/1/23,7:45:00,17.6,14.7,3.106
5/1/23,8:00:00,17.6,14.7,3.119
5/1/23,8:15:00,17.6,14.6,3.131
5/1/23,8:30:00,17.5,14.3,3.139
5/1/23,8:45:00,17.5,14.3,3.141
5/1/23,9:00:00,17.5,14.3,3.145
5/1/23,9:15:00,17.5,14.4,3.15
5/1/23,9:30:00,17.5,14.6,3.147
5/1/23,9:45:00,17.5,14.5,3.137
5/1/23,10:00:00,17.5,14.4,3.13
5/1/23,10:15:00,17.5,14.4,3.126
5/1/23,10:30:00,17.5,14.3,3.115
5/1/23,10:45:00,17.6,14.2,3.109
5/1/23,11:00:00,17.6,14.3,3.098
5/1/23,11:15:00,17.6,14.2,3.089
5/1/23,11:30:00,17.6,14.1,3.086
5/1/23,11:45:00,17.7,14.1,3.074
5/1/23,12:00:00,17.8,13.9,3.063
5/1/23,12:15:00,17.8,13.8,3.047
5/1/23,12:30:00,18,13.9,3.027
5/1/23,12:45:00,18.1,13.8,3.005
5/1/23,13:00:00,18.1,13.8,2.981
5/1/23,13:15:00,18,13.7,2.956
5/1/23,13:30:00,18,13.8,2.94
5/1/23,13:45:00,18,13.8,2.919
5/1/23,14:00:00,18,13.7,2.891
5/1/23,14:15:00,17.9,13.8,2.858
5/1/23,14:30:00,17.9,14,2.841
5/1/23,14:45:00,17.9,14,2.832
5/1/23,15:00:00,17.9,13.9,2.808
5/1/23,15:15:00,17.9,13.9,2.796
5/1/23,15:30:00,17.9,13.9,2.788
5/1/23,15:45:00,18,13.8,2.782
5/1/23,16:00:00,17.9,13.9,2.774
5/1/23,16:15:00,18.1,13.8,2.766
5/1/23,16:30:00,18,13.8,2.781
5/1/23,16:45:00,18,13.8,2.781
5/1/23,17:00:00,18,13.8,2.778
5/1/23,17:15:00,18,13.9,2.788
5/1/23,17:30:00,18.2,14,2.793
5/1/23,17:45:00,18.2,14,2.801
5/1/23,18:00:00,18.2,14,2.818
5/1/23,18:15:00,17.9,13.9,2.833
5/1/23,18:30:00,17.8,13.8,2.851
5/1/23,18:45:00,17.8,13.8,2.871
5/1/23,19:00:00,17.9,13.8,2.898
5/1/23,19:15:00,17.8,13.9,2.926
5/1/23,19:30:00,17.8,14,2.949
5/1/23,19:45:00,17.8,14,2.973
5/1/23,20:00:00,17.7,13.9,2.996
5/1/23,20:15:00,17.7,14,3.015
5/1/23,20:30:00,17.5,14.1,3.039
5/1/23,20:45:00,17.4,14.3,3.053
5/1/23,21:00:00,17.4,14.4,3.06
5/1/23,21:15:00,17.4,14.4,3.075
5/1/23,21:30:00,17.3,14.4,3.09
5/1/23,21:45:00,17.3,14.5,3.1
5/1/23,22:00:00,17.2,14.5,3.118
5/1/23,22:15:00,17.1,14.4,3.133
5/1/23,22:30:00,17.1,14.5,3.145
5/1/23,22:45:00,17.1,14.6,3.144
5/1/23,23:00:00,17.1,14.6,3.145
5/1/23,23:15:00,17.1,14.7,3.15
5/1/23,23:30:00,17.1,14.7,3.14
5/1/23,23:45:00,17.1,14.7,3.134
5/2/23,0:00:00,17.1,14.6,3.126
5/2/23,0:15:00,17.1,14.7,3.108
5/2/23,0:30:00,17.1,14.7,3.096
5/2/23,0:45:00,17,14.7,3.079
5/2/23,1:00:00,17,14.7,3.057
5/2/23,1:15:00,17,14.7,3.041
5/2/23,1:30:00,17,14.7,3.026
5/2/23,1:45:00,17.1,14.5,3.007
5/2/23,2:00:00,17.1,14.4,2.985
5/2/23,2:15:00,17.2,14.3,2.966
5/2/23,2:30:00,17.2,14.3,2.954
5/2/23,2:45:00,17.2,14.3,2.934
5/2/23,3:00:00,17.2,14.2,2.915
5/2/23,3:15:00,17.2,14.1,2.902
5/2/23,3:30:00,17.2,13.9,2.882
5/2/23,3:45:00,17.1,13.9,2.861
5/2/23,4:00:00,17.2,14.3,2.837
5/2/23,4:15:00,17.2,14.3,2.822
5/2/23,4:30:00,17.2,14.2,2.812
5/2/23,4:45:00,17.2,14,2.804
5/2/23,5:00:00,17.1,13.9,2.801
5/2/23,5:15:00,16.9,13.8,2.806
5/2/23,5:30:00,17.1,13.8,2.815
5/2/23,5:45:00,17.2,13.9,2.828
5/2/23,6:00:00,16.5,13.9,2.849
5/2/23,6:15:00,16.3,14.2,2.872
5/2/23,6:30:00,16.3,14.2,2.897
5/2/23,6:45:00,16.4,14,2.926
5/2/23,7:00:00,16.5,14,2.95
5/2/23,7:15:00,16.5,14,2.97
5/2/23,7:30:00,16.5,14,2.99
5/2/23,7:45:00,16.7,14.1,3.014
5/2/23,8:00:00,16.5,14.2,3.036
5/2/23,8:15:00,16.6,14.4,3.056
5/2/23,8:30:00,16.5,14.4,3.07
5/2/23,8:45:00,16.6,14.4,3.088
5/2/23,9:00:00,16.6,14.4,3.097
5/2/23,9:15:00,16.5,14.5,3.103
5/2/23,9:30:00,16.4,14.6,3.112
5/2/23,9:45:00,16.4,14.6,3.118
5/2/23,10:00:00,16.4,14.6,3.118
5/2/23,10:15:00,16.5,14.5,3.124
5/2/23,10:30:00,16.5,14.5,3.118
5/2/23,10:45:00,16.5,14.6,3.112
5/2/23,11:00:00,16.5,14.6,3.118
5/2/23,11:15:00,16.5,14.6,3.107
5/2/23,11:30:00,16.4,14.6,3.101
5/2/23,11:45:00,16.7,14.4,3.092
5/2/23,12:00:00,16.8,14.3,3.073
5/2/23,12:15:00,16.8,14.2,3.059
5/2/23,12:30:00,16.8,13.9,3.044
5/2/23,12:45:00,17,13.9,3.027
5/2/23,13:00:00,17,13.9,3.001
5/2/23,13:15:00,17,13.9,2.986
5/2/23,13:30:00,17,14,2.95
5/2/23,13:45:00,16.9,14,2.922
5/2/23,14:00:00,16.9,14,2.911
5/2/23,14:15:00,16.9,13.9,2.896
5/2/23,14:30:00,16.9,13.9,2.875
5/2/23,14:45:00,17.1,13.8,2.853
5/2/23,15:00:00,17.1,13.9,2.84
5/2/23,15:15:00,17.1,13.9,2.825
5/2/23,15:30:00,17.1,13.9,2.808
5/2/23,15:45:00,17.3,13.9,2.797
5/2/23,16:00:00,17.4,13.9,2.785
5/2/23,16:15:00,17.5,14.2,2.787
5/2/23,16:30:00,17.6,14.2,2.788
5/2/23,16:45:00,17.6,14.3,2.786
5/2/23,17:00:00,17.5,14.3,2.788
5/2/23,17:15:00,17.3,14.3,2.789
5/2/23,17:30:00,17.4,14.2,2.792
5/2/23,17:45:00,17.2,14.1,2.791
5/2/23,18:00:00,17.1,13.9,2.797
5/2/23,18:15:00,17.1,14,2.807
5/2/23,18:30:00,17.1,13.9,2.827
5/2/23,18:45:00,16.9,13.8,2.853
5/2/23,19:00:00,17.1,13.9,2.882
5/2/23,19:15:00,17.1,13.9,2.915
5/2/23,19:30:00,17.1,14.1,2.942
5/2/23,19:45:00,17,14,2.969
5/2/23,20:00:00,16.9,14,2.993
5/2/23,20:15:00,17.1,14.2,3.018
5/2/23,20:30:00,16.8,14.3,3.038
5/2/23,20:45:00,16.8,14.3,3.061
5/2/23,21:00:00,16.8,14.3,3.086
5/2/23,21:15:00,16.7,14.3,3.113
5/2/23,21:30:00,16.7,14.4,3.141
5/2/23,21:45:00,16.7,14.4,3.162
5/2/23,22:00:00,16.7,14.4,3.18
5/2/23,22:15:00,16.7,14.4,3.197
5/2/23,22:30:00,16.6,14.4,3.21
5/2/23,22:45:00,16.6,14.5,3.222
5/2/23,23:00:00,16.5,14.5,3.23
5/2/23,23:15:00,16.5,14.5,3.236
5/2/23,23:30:00,16.5,14.5,3.235
5/2/23,23:45:00,16.7,14.3,3.228
5/3/23,0:00:00,16.7,14.4,3.216
5/3/23,0:15:00,16.7,14.4,3.202
5/3/23,0:30:00,16.6,14.4,3.192
5/3/23,0:45:00,16.5,14.6,3.178
5/3/23,1:00:00,16.5,14.6,3.162
5/3/23,1:15:00,16.5,14.6,3.143
5/3/23,1:30:00,16.5,14.6,3.121
5/3/23,1:45:00,16.5,14.5,3.091
5/3/23,2:00:00,16.6,14.5,3.062
5/3/23,2:15:00,16.6,14.5,3.035
5/3/23,2:30:00,16.6,14.4,3.01
5/3/23,2:45:00,16.6,14.4,2.986
5/3/23,3:00:00,16.6,14.3,2.961
5/3/23,3:15:00,16.6,14.4,2.941
5/3/23,3:30:00,16.7,14.2,2.924
5/3/23,3:45:00,16.7,14.2,2.905
5/3/23,4:00:00,16.7,14.2,2.887
5/3/23,4:15:00,16.7,14.3,2.871
5/3/23,4:30:00,16.8,14.2,2.86
5/3/23,4:45:00,16.8,14.1,2.847
5/3/23,5:00:00,16.8,14.1,2.838
5/3/23,5:15:00,16.8,14.1,2.831
5/3/23,5:30:00,16.9,14.1,2.831
5/3/23,5:45:00,16.2,13.9,2.83
5/3/23,6:00:00,16.5,13.8,2.831
5/3/23,6:15:00,16.5,13.9,2.836
5/3/23,6:30:00,16.5,13.9,2.848
5/3/23,6:45:00,16.6,13.9,2.861
5/3/23,7:00:00,16.6,13.8,2.878
5/3/23,7:15:00,16.2,13.9,2.898
5/3/23,7:30:00,16.3,13.8,2.919
5/3/23,7:45:00,16.5,14,2.94
5/3/23,8:00:00,16.4,14.1,2.965
5/3/23,8:15:00,16.1,14.2,2.993
5/3/23,8:30:00,16,14.1,3.02
5/3/23,8:45:00,16,14.3,3.05
5/3/23,9:00:00,16.1,14.4,3.083
5/3/23,9:15:00,16,14.5,3.115
5/3/23,9:30:00,16,14.5,3.146
5/3/23,9:45:00,16.1,14.6,3.176
5/3/23,10:00:00,16.1,14.6,3.201
5/3/23,10:15:00,16.1,14.6,3.22
5/3/23,10:30:00,16.1,14.6,3.23
5/3/23,10:45:00,16.2,14.6,3.237
5/3/23,11:00:00,16.3,14.5,3.246
5/3/23,11:15:00,16.3,14.4,3.255
5/3/23,11:30:00,16.3,14.4,3.267
5/3/23,11:45:00,16.2,14.4,3.262
5/3/23,12:00:00,16.1,14.5,3.265
5/3/23,12:15:00,16,14.6,3.255
5/3/23,12:30:00,15.9,14.6,3.249
5/3/23,12:45:00,15.9,14.7,3.242
5/3/23,13:00:00,16,14.5,3.223
5/3/23,13:15:00,16,14.6,3.202
5/3/23,13:30:00,16,14.6,3.186
5/3/23,13:45:00,16.1,14.5,3.166
5/3/23,14:00:00,16.1,14.5,3.142
5/3/23,14:15:00,16.1,14.5,3.112
5/3/23,14:30:00,16.1,14.5,3.084
5/3/23,14:45:00,16.1,14.4,3.074
5/3/23,15:00:00,16.1,14.4,3.07
5/3/23,15:15:00,16.4,14.2,3.055
5/3/23,15:30:00,16.3,14.2,3.034
5/3/23,15:45:00,16.3,14.3,3.021
5/3/23,16:00:00,16.4,14.2,3.005
5/3/23,16:15:00,16.6,14,2.99
5/3/23,16:30:00,16.7,14,2.963
5/3/23,16:45:00,16.4,14.3,2.947
5/3/23,17:00:00,16.1,14.4,2.936
5/3/23,17:15:00,16.2,14.3,2.926
5/3/23,17:30:00,16.3,14.4,2.918
5/3/23,17:45:00,16.3,14.1,2.915
5/3/23,18:00:00,16.3,14.2,2.915
5/3/23,18:15:00,16.4,13.9,2.912
5/3/23,18:30:00,16.4,13.8,2.911
5/3/23,18:45:00,16.2,14.2,2.921
5/3/23,19:00:00,16.1,14.2,2.932
5/3/23,19:15:00,16.1,14,2.936
5/3/23,19:30:00,16.1,14,2.939
5/3/23,19:45:00,16.1,13.9,2.949
5/3/23,20:00:00,16,14.1,2.972
5/3/23,20:15:00,16.2,14.4,2.992
5/3/23,20:30:00,16.2,14.3,3.015
5/3/23,20:45:00,16.3,14.3,3.051
5/3/23,21:00:00,16.2,14.2,3.1
5/3/23,21:15:00,16.1,14.2,3.145
5/3/23,21:30:00,15.9,14.1,3.179
5/3/23,21:45:00,16,14.3,3.203
5/3/23,22:00:00,15.9,14.5,3.22
5/3/23,22:15:00,16.2,14.3,3.229
5/3/23,22:30:00,15.9,14.5,3.236
5/3/23,22:45:00,15.8,14.5,3.25
5/3/23,23:00:00,15.8,14.5,3.262
5/3/23,23:15:00,15.7,14.5,3.269
5/3/23,23:30:00,15.7,14.5,3.276
5/3/23,23:45:00,15.7,14.5,3.284
5/4/23,0:00:00,15.6,14.5,3.303
5/4/23,0:15:00,15.6,14.5,3.319
5/4/23,0:30:00,15.5,14.5,3.312
5/4/23,0:45:00,15.9,14.4,3.289
5/4/23,1:00:00,16,14.5,3.268
5/4/23,1:15:00,15.9,14.5,3.243
5/4/23,1:30:00,16,14.3,3.217
5/4/23,1:45:00,15.9,14.3,3.201
5/4/23,2:00:00,15.8,14.3,3.186
5/4/23,2:15:00,15.8,14.3,3.167
5/4/23,2:30:00,15.8,14.3,3.153
5/4/23,2:45:00,15.8,14.3,3.139
5/4/23,3:00:00,15.8,14.3,3.121
5/4/23,3:15:00,15.9,14.3,3.107
5/4/23,3:30:00,15.9,14.2,3.087
5/4/23,3:45:00,15.9,14.2,3.061
5/4/23,4:00:00,15.8,14.1,3.032
5/4/23,4:15:00,15.9,14.1,3.009
5/4/23,4:30:00,15.9,14.2,2.983
5/4/23,4:45:00,16,14.2,2.965
5/4/23,5:00:00,16,14.2,2.947
5/4/23,5:15:00,16,14.2,2.932
5/4/23,5:30:00,15.9,14,2.924
5/4/23,5:45:00,15.9,14.1,2.915
5/4/23,6:00:00,15.6,13.8,2.912
5/4/23,6:15:00,15.4,13.8,2.907
5/4/23,6:30:00,15.5,13.8,2.906
5/4/23,6:45:00,15.5,13.7,2.907
5/4/23,7:00:00,15.5,13.8,2.912
5/4/23,7:15:00,15.7,13.8,2.916
5/4/23,7:30:00,15.8,13.9,2.927
5/4/23,7:45:00,15.5,13.9,2.944
5/4/23,8:00:00,15.5,13.9,2.962
5/4/23,8:15:00,15.5,13.9,2.98
5/4/23,8:30:00,15.6,13.8,2.999
5/4/23,8:45:00,15.7,13.8,3.017
5/4/23,9:00:00,15.7,13.9,3.036
5/4/23,9:15:00,15.5,14.3,3.057
5/4/23,9:30:00,15.7,14,3.079
5/4/23,9:45:00,15.6,14.1,3.1
