#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2016 01 01 00 00 1.0 11.50 999.00 18.30 999.0 8.90 3.10 1 99.00 99.00
2016 01 01 01 00 1.0 11.50 999.00 18.30 999.0 8.90 2.50 1 99.00 99.00
2016 01 01 02 00 1.0 11.50 999.00 18.30 999.0 9.00 2.90 1 99.00 99.00
2016 01 01 03 00 1.0 11.40 999.00 18.30 999.0 9.10 3.50 1 99.00 99.00
2016 01 01 04 00 1.0 11.40 999.00 18.30 999.0 9.10 3.40 1 99.00 99.00
2016 01 01 05 00 1.0 11.30 999.00 18.30 999.0 9.20 4.20 1 99.00 99.00
2016 01 01 06 00 1.0 11.30 999.00 18.30 999.0 9.20 4.00 1 99.00 99.00
2016 01 01 07 00 1.0 11.30 999.00 18.30 999.0 9.20 4.00 1 99.00 99.00
2016 01 01 08 00 1.0 11.30 999.00 18.30 999.0 9.20 4.10 1 99.00 99.00
2016 01 01 09 00 1.0 11.30 999.00 18.30 999.0 8.90 2.80 1 99.00 99.00
2016 01 01 10 00 1.0 11.40 999.00 18.30 999.0 9.10 4.50 2 99.00 99.00
2016 01 01 12 00 1.0 11.30 999.00 18.20 999.0 9.00 4.40 2 99.00 99.00
2016 01 01 13 00 1.0 11.20 999.00 18.30 999.0 9.00 3.50 1 99.00 99.00
2016 01 01 14 00 1.0 11.20 999.00 18.30 999.0 9.10 4.40 1 99.00 99.00
2016 01 01 15 00 1.0 11.20 999.00 18.30 999.0 9.10 4.80 1 99.00 99.00
2016 01 01 16 00 1.0 11.20 999.00 18.30 999.0 9.40 5.80 1 99.00 99.00
2016 01 01 17 00 1.0 11.20 999.00 18.30 999.0 9.50 6.60 1 99.00 99.00
2016 01 01 18 00 1.0 11.30 999.00 18.30 999.0 9.50 4.90 1 99.00 99.00
2016 01 01 19 00 1.0 11.30 999.00 18.30 999.0 9.60 5.00 1 99.00 99.00
2016 01 01 20 00 1.0 11.30 999.00 18.30 999.0 9.60 5.60 1 99.00 99.00
2016 01 01 21 00 1.0 11.10 999.00 18.20 999.0 9.60 5.70 1 99.00 99.00
2016 01 01 22 00 1.0 11.20 999.00 18.20 999.0 9.40 4.30 1 99.00 99.00
2016 01 01 23 00 1.0 11.20 999.00 18.20 999.0 9.30 4.20 2 99.00 99.00
2016 01 02 00 00 1.0 11.10 999.00 18.30 999.0 9.20 3.70 2 99.00 99.00
2016 01 02 01 00 1.0 11.10 999.00 18.30 999.0 9.20 4.00 1 99.00 99.00
2016 01 02 02 00 1.0 11.10 999.00 18.30 999.0 9.10 3.60 1 99.00 99.00
2016 01 02 03 00 1.0 11.10 999.00 18.40 999.0 8.90 3.00 1 99.00 99.00
2016 01 02 04 00 1.0 11.00 999.00 18.30 999.0 9.00 3.40 1 99.00 99.00
2016 01 02 05 00 1.0 11.00 999.00 18.30 999.0 9.00 3.40 1 99.00 99.00
2016 01 02 06 00 1.0 11.00 999.00 18.30 999.0 8.90 3.10 1 99.00 99.00
2016 01 02 07 00 1.0 10.90 999.00 18.30 999.0 8.80 2.90 1 99.00 99.00
2016 01 02 08 00 1.0 11.00 999.00 18.30 999.0 8.80 3.30 1 99.00 99.00
2016 01 02 09 00 1.0 10.90 999.00 18.40 999.0 8.90 3.30 1 99.00 99.00
