"","month","Mean_Temperature","month","Mean_min_Temperature","month","Mean_max_Temperature"
"1",1,3.93003413791376,1,0.2565,1,8.9195
"2",2,5.9098430316092,2,3.2465,2,8.6805
"3",3,10.0816951632141,3,6.3545,3,15.3395
"4",4,15.387353431715,4,11.1215,4,20.5
"5",5,20.8151598316859,5,17.1,5,24.5
"6",6,24.4187835737464,6,20.95,6,28.4
"7",7,28.3455908444023,7,24.65,7,31.2
"8",8,27.5913259000978,8,24.6,8,30.65
"9",9,24.1798042843762,9,20.75,9,28.85
"10",10,18.9150949218397,10,14.9,10,23.55
"11",11,13.2652796712786,11,7.65,11,17.8
"12",12,7.37824941831571,12,4.9,12,9.8
