"","site_name","salinity_quantile_10","salinity_quantile_90","Salinity_st_dev","temp_quantile_10","temp_quantile_90","Temperature_st_dev","salinity"
"1","W1-TX",5.9,36.7,11.66413094,13.8,30.5,6.385486691,20.3318627584373
"2","W2-LA",3,18,5.582166837,13.2,30.7,6.691385901,10.4647362559482
"3","W3-FL",27.85066428,35.97585067,3.715396855,14.559,29.279,5.707664316,32.3524173177922
"10","W4-VA",12.2,19.1,2.70141647539953,6.1,28.1,8.48879806824356,15.2082260828351
"8","S1-LOLA",8.7,16.6,2.867123523,7.2,28.2,7.857653196,13.8374171930137
"9","S2-DEBY",15.81,22.39,2.560148766,6.53,27.49,8.075056458,19.3391307162995
"4","W5-NH",5.9,28.6,8.320938367,7.2,24.2,6.449615505,18.6413299750907
"5","W6-ME",26.29,31.48,2.277877961,7.563,21.5,5.22149722,29.4782830432469
"6","LEW",8.7,16.6,2.867123523,7.2,28.2,7.857653196,13.8248667680243
"7","YRK",15.43,22.93,2.796360103,7.984,27.393,7.38100145,22.5873497937081
