SITE,YEAR,MONTH,P_dermo,WP_dermo,,,,,
YorkRiver,2023,July,0.2,0.1,,,,,
YorkRiver,2023,August,0.533,1.3,,,,,
YorkRiver,2023,Sept,1,3,,,,,
YorkRiver,2023,Oct,0.867,2.33,,,,,
Lewisetta,2023,July,0.28,0.28,,,,,
Lewisetta,2023,August,0.28,0.28,,,,,
Lewisetta,2023,Sept,0.44,1.68,,,,,
Lewisetta,2023,Oct,0.8,NA,,,,,
YorkRiver,2024,June,0.133333333,0.095238095,,,,,
YorkRiver,2024,July,0.33,0.05,,,,,
YorkRiver,2024,August,0.6,0.190476191,,,,,
YorkRiver,2024,Sept,0.933,0.619047619,,,,,
YorkRiver,2024,Oct,0.933,0.904761905,,,,,
YorkRiver,2024,Nov,1,0.619047619,,,,,
Lewisetta,2024,June,0.095238095,0.1,,,,,
Lewisetta,2024,July,0.05,0.73,,,,,
Lewisetta,2024,August,0.190476191,1.23,,,,,
Lewisetta,2024,Sept,0.333333333,2.4,,,,,
Lewisetta,2024,Oct,0.571428571,3.47,,,,,
Lewisetta,2024,Nov,0.476190476,3,,,,,
