"","month","Mean_Temperature","month","Mean_min_Temperature","month","Mean_max_Temperature"
"1",1,6.08584298331794,1,3.2393,1,9.10505
"2",2,5.95645493405008,2,3.92554545454545,2,8.70186363636364
"3",3,9.37767284547345,3,5.97463636363636,3,13.6913636363636
"4",4,14.3949590638978,4,10.541,4,19.3652727272727
"5",5,19.7965905836799,5,16.0139565217391,5,24.7366086956522
"6",6,24.5872346871218,6,20.9324545454545,6,28.5786818181818
"7",7,27.5083727060126,7,25.0863636363636,7,30.6167727272727
"8",8,27.638416638215,8,25.3761363636364,8,30.5634090909091
"9",9,25.1762759556284,9,22.0855,9,28.6690454545455
"10",10,20.1310636714178,10,15.8611363636364,10,24.2024545454545
"11",11,13.8813801732819,11,10.0478181818182,11,18.1068181818182
"12",12,9.08425250769721,12,6.50028571428571,12,12.2110952380952
