SiteDate_Key,ID_SiteDate,Date,Site_Key,ID_Site,Time,Num_collected,Collection_method,Water_temp_C,Salinity_ppt,Depth_m,Other_data,Collector_name,Contact_Info,Date_shipped,Time_shipped,Notes,Username,CanEdit_date
608ABB37,NA,NA,B563CA0B,NA,NA,,,,,,,,,,,,,FALSE
751E6138,VIMStest_Ches_VA_2022-5-2,5/2/2022,DFFA2206,VIMStest_Ches_VA,12:56:51,3,intertidal,,,,,Madeline and Elisabeth,,,,,,FALSE
1A31631B,LakeFortuna_LA_2022-5-11,5/10/2022,C2191EB0,LakeFortuna_LA,13:36:00,29,subtidal_dredge,24.1,3.9,2.4384,8 feet depth,Carl Britt,cbritt@wlf.la.gov,5/10/2022,16:30:00,,,FALSE
1EFAFEDB,OL_MI_SC_2022-5-31,5/31/2022,f78d68da,OL_MI_SC,12:16:11,35,intertidal,25.7,34.1,0,82 F air temp,Madeline Eppley,eppley.m@northeastern.edu,5/31/2022,16:30:00,"First 15 oysters Katie, Sarah Wagner, Elisabeth Leung; Second 15 oysters Madeline and Elisabeth",k.lotterhos@gmail.com,FALSE
b4cb9d1a,GalBay_TX_Grid312_2022-6-2,6/2/2022,61d04ace,GalBay_TX,10:56:00,5,subtidal_dredge,28.5,17.3,3.1,,Kim Jeffrey,kimberly.jeffrey@tpwd.texas.gov,6/6/2022,9:30:00,"Sheet says 5, only see 4 - depth is 3.1m",leungelisabeth@gmail.com,FALSE
cf155c61,Galbay_TX_Grid169_2022-6-2,6/2/2022,6919d813,GalBay_TX,8:10:00,15,subtidal_dredge,28.1,15.4,3.1,,Kim Jeffrey,kimberly.jeffrey@tpwd.texas.gov,6/6/2022,9:30:00,Depth is 3.1,leungelisabeth@gmail.com,FALSE
892951fc,Galbay_TX_308&435_2022-6-2,6/2/2022,b8109736,GalBay_TX,8:54:00,10,subtidal_dredge,28.4,18.4,2.35,"Depth is 2.8m. For grid #435, water temp is 28.6 C, salinity is 23.6, and depth is 1.9m",Kim Jeffrey,kimberly.jeffrey@tpwd.texas.gov,6/6/2022,9:30:00,,leungelisabeth@gmail.com,FALSE
ad9e8841,CB_TX_2022-6-9,6/9/2022,6e0ec406,CB_TX,8:28:00,36,subtidal_dredge,29.1,22.7,1.2,,Donella Strom,Donella.strom@tpwd.Texas.gov,6/13/2022,11:30:00,"Arrived cold, Katie and Elisabeth processed. Katie mostly data and Elisabeth mostly tissues, we switched for the last 6 individuals.",leungelisabeth@gmail.com,FALSE
21f235c8,FP_Sav_GA_2022-6-10,6/10/2022,d0fa1d3a,FP_Sav_GA,11:33:08,50,intertidal,,,0,,Jeb Byers,Jebyers@uga.edu,6/14/2022,10:00:00,"Katie and Elisabeth processed. Katie mostly data and Elisabeth mostly tissues, we switched for the last 6 individuals. Jeb will send temp and salinity data",leungelisabeth@gmail.com,FALSE
14b07617,SkR_GA_2022-6-14,6/14/2022,153a9139,SkR_GA,14:30:00,40,intertidal,,,0,,Jeb Byers,Jebyers@uga.edu,6/15/2022,14:30:00,Depth is 0 to 1 meters,leungelisabeth@gmail.com,FALSE
de8302b8,Culch_Ba_LA_2022-6-21,6/21/2022,bb5679af,Culch_Ba_LA,10:45:00,25,subtidal_dredge,31.8,14.3,1.828,"6 ft depth, water temperature is bottom temp",Bill Hano,Whano@wlf.la.gov,6/21/2022,15:00:00,No environmental data nearby that they know of,eppley.madeline@gmail.com,FALSE
0a9372c7,TP_TX_2022-6-28,6/28/2022,a9442c32,TP_TX,10:35:05,30,subtidal_dredge,29.6,31.5,2.2,,Corey Waddell,Corey.waddell@tpwd.Texas.gov,6/28/2022,13:00:00,Adjacent to sea wall and shipping channel,leungelisabeth@gmail.com,FALSE
f9813889,CC_VA_2022-7-11,7/11/2022,926ac4eb,CC_VA,9:23:27,50,intertidal,21.8,32.54,0,,R Snyder,Rsnyder@vims.edu,7/12/2022,,"Time picked up is whenever FedEx picked up, can contact Ryan Carnegie for environmental data. Processed by Katie (phenotypig), Madeline (tissue then data), and Elisabeth (data then tissue)",leungelisabeth@gmail.com,FALSE
62c4ff7e,LM_TX_2022-7-10,7/10/2022,a09d724d,LM_TX,9:15:33,35,subtidal_diving,26.9,34.3,0,"Sampled by hand, depth assumed 0",Joel Anderson,,7/13/2022,,shipping didn't pickup on time,k.lotterhos@gmail.com,FALSE
c26534e1,Sapelo_Is_GA_2022-7-17,7/17/2022,a1ea71c2,Sapelo_Is_GA,19:30:00,32,intertidal,,29,0,"84 degrees - could be air or water temp, need to ask",Matthew Pierce,Matthew.pierce@uga.edu,7/18/2022,9:30:00,,leungelisabeth@gmail.com,FALSE
777c8883,Mer_GA_2022-7-26,7/18/2022,18c005b3,Mer_GA,7:30:00,30,intertidal,,28,0,Temp (either air or water) is 84.6,Matthew Pierce,Matthew.pierce@uga.edu,7/18/2022,9:30:00,"Salinity,temp,tides tracked by sondes and sensors",leungelisabeth@gmail.com,FALSE
e9847bc5,Nickle_Rf_LA_2022-8-1,8/1/2022,d56488d8,Nickle_Rf_LA,13:14:00,43,subtidal_dredge,,,3.048,"water temp top: 28.7, water temp bottom 28.1, salinity top 10.3, salinity bottom 12.1, depth = 10 feet",Jeff Marx,jmarx@wlf.la.gov,8/1/2022,16:30:00,"""we sometimes sample for Dermo""",leungelisabeth@gmail.com,FALSE
c6de0299,Sister_Lk_LA_2022-8-9,8/9/2022,05f5093d,Sister_Lk_LA,12:03:00,31,subtidal_dredge,30.4,18.1,2.19456,"Air temp is 30.0, depth is 7.2 feet",Willie Cheramie,Wchermie@wlf.la.gov,8/9/2022,16:00:00,,leungelisabeth@gmail.com,FALSE
23fe9ee2,GriceCove_SC_2022-8-10,8/10/2022,1c4ffeeb,GriceCove_SC,15:19:01,30,intertidal,86 F,,0.75,depth is 2-3 feet,Erik Sotka,sotkae@cofc.edu,8/9/2022,14:00:00,Temp could be water or air? need to check,eppley.madeline@gmail.com,FALSE
a0eee684,Cal_Lake_LA_2022-8-11,8/11/2022,7cfe672c,Cal_Lake_LA,10:34:00,24,subtidal_dredge,,22.06,1.828,depth is 6 feet,George Melencon,,8/9/2022,,,eppley.madeline@gmail.com,FALSE
2bb71bd5,SR_GB_NH_2022-8-12,8/12/2022,3d17d2e9,SR_GB_NH,11:20:37,29,subtidal_tongs,,,2.5,,"Madeline Eppley, Katie Lotterhos, Elisabeth Leung",,8/15/2022,,"Tongs collection, time shipped is time transported to lab",eppley.madeline@gmail.com,FALSE
0b2ca783,NR_NB_RI_2022-8-19,8/19/2022,fd281881,NR_NB_RI,7:00:00,30,intertidal,,,0,,Puritz Lab,,,,,leungelisabeth@gmail.com,FALSE
ce9f3f60,DC_NB_RI_2022-8-19,8/19/2022,3ebfe0bd,DC_NB_RI,7:00:00,30,intertidal,,,0,,Alex Hooks,ahooks@uri.edu,,,,amaelia_zyck@uri.edu,FALSE
56f549af,KP_FGR_FL_2022-8-23,8/23/2022,cba43d60,TP_FGR_FL,14:00:00,31,intertidal,31.2,25.83,0,,Hunter Mathews,h.mathews@unf.edu,8/23/2022,15:45:00,,leungelisabeth@gmail.com,FALSE
94e162c1,CPR_MS_AL_2022-8-24,8/24/2022,9afe0651,CPR_MS_AL,10:30:00,35,subtidal_diving,29.2,12.6,1.9812,depth is 6.5 feet,Jason Herrman,jason.herrman@dcnr.alabama.gov,8/23/2022,16:00:00,,leungelisabeth@gmail.com,FALSE
66b2f7b9,SawIs_MA_2022-9-5,9/5/2022,e867aaa8,SawIs_MA,12:00:00,25,intertidal,,,0,,"Madeline Eppley, Katie Lotterhos, Elisabeth Leung, Annie Christie",,,,,leungelisabeth@gmail.com,FALSE
7f275089,CS_DB_NJ_2022-9-21,9/21/2022,a9a1e2b3,CS_DB_NJ,15:37:00,30,intertidal,,,,,Iris Burt,Iburt@hsrl.rutgers.edu,9/21/2022,,,ahooks@uri.edu,FALSE
1a8a109f,HC_DB_NJ_2022-9-23,9/23/2022,1b37a22e,HC_DB_NJ,9:06:28,30,subtidal_dredge,25.8_C,11.4_ppt,3.66,,Iris Burt,Iburt@hsrl.rutgers.edu,9/21/2022,,,ahooks@uri.edu,FALSE
bcc092e2,SR_DB_NJ_2022-9-23,9/23/2022,5290332b,SR_DB_NJ,13:07:30,30,subtidal_dredge,24.2_C,16.39_ppt,3.66,Disease data,Iris Burt,Iburt@hsrl.rutgers.edu,9/21/2022,,,ahooks@uri.edu,FALSE
0226c73c,SaltBay_Canada_2022-9-27,9/27/2022,7154602d,SaltBay_Canada,11:15:49,30,,,,1,"Lease 1400 - full ocean salinity site. Oysters grown on surface in intertidal conditions, low to high tide is a range of 0-12 feet",Nolan Deon,,,,,leungelisabeth@gmail.com,FALSE
6bab5798,EelLake_Canada_2022-9-27,9/27/2022,b885364e,EelLake_Canada,9:27:31,30,,,,3.048,Lease 0911 - brackish salinity. Oysters are sunk to 8-10 feet in lake at mature size per Deon oyster company website: https://deonoystercompany.com/eel-lake/,Nolan Deon,,,,,leungelisabeth@gmail.com,FALSE
5aaa4dbd,SaLa_GA_2022-10-5,10/5/2022,ac30f455,SaLa_LA,12:00:00,39,subtidal_dredge,23.5,24.00,2.4384,depth is 8 feet,George Melancon,3374912579,10/5/2022,16:00:00,,leungelisabeth@gmail.com,FALSE
947c8df3,WS_CB_VA_2022-10-7,10/7/2022,c6a43169,WS_CB_VA,20:50:00,30,subtidal_dredge,17.6,20.8,2.4384,depth is 8 feet,Missy Southworth,melsouth@vims.edu,10/10/2022,,,eppley.madeline@gmail.com,FALSE
78153c13,DWS_CB_VA_2022-10-7,10/7/2022,c60225dc,DWS_CB_VA,22:20:00,30,subtidal_dredge,18.2,15.2,3.9624,depth is 13 feet,Melissa Southworth,melsouth@vims.edu,10/10/2022,,salinity is usually 10-12 this time of year,eppley.madeline@gmail.com,FALSE
146047cb,NR_JR_VA_2022-10-10,10/10/2022,d3cc031d,NR_JR_VA,9:45:59,30,subtidal_dredge,17.8,22.8,2.7,,Missy Southworth,melsouth@vims.edu,10/11/2022,,,ahooks@uri.edu,FALSE
b02aaf4b,NPS_PS_NC_2022-10-12,10/12/2022,4a4ac84c,NPS_PS_NC,13:09:01,38,intertidal,20.4,22.2,0.1524,depth is 0.5 feet,Jim Morley,Morleyj19@ecu.edu,10/12/2022,16:30:00,,ahooks@uri.edu,FALSE
d9bc682e,PrEdIs_CN_A_2022-10-18,10/18/2022,b0ae4901,PrEdIs_CN_A,10:52:19,30,intertidal,,,0,intertidal 0 ft to max depth of 6 ft,Jesse Fortune,jesse@billstanley.co,10/17/2022,,This whole lease will bare off at a low tide so even the surface bags will sit on the bottom. At a high tide we have about 6ft of water.,leungelisabeth@gmail.com,FALSE
a7aa7bb6,JS_PR_MD_2022-10-19,10/19/2022,bb10aed0,JS_PR_MD,10:34:39,30,subtidal_dredge,16.9,18.2,4.85,,Amy Zyck,amaelia_zyck@uri.edu,,,"Sexing was not included in most of the samples. There was crystallization in bottle of Instant Ocean used for gametes, there were many false positives of females before it was caught. Therefore, sex determination was removed for all samples that used this bottle of Instant Ocean. Instant ocean is no longer used.",ahooks@uri.edu,FALSE
74903f0b,HI_CB_MD_2022-10-18,10/18/2022,dd1f2d70,HI_CB_MD,15:34:27,30,subtidal_dredge,17.9,17.2,4.63,,Mitch Tarnowski,mitch.tarnowski@maryland.gov,,,Oysters brought back from MD to URI in cooler with ice packs and kept in 4C walking fridge until processed.,ahooks@uri.edu,FALSE
1ee295fb,GH_PR_MD_2022-10-20,10/20/2022,d71368ae,GH_PR_MD,9:40:43,30,subtidal_dredge,15.2,11.5,3.13,,Amy Zyck,amaelia_zyck@uri.edu,,,Very few live oysters at this site. Had to dredge 4-5 times to get 30 oysters.,ahooks@uri.edu,FALSE
