"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,13.0225727539726,11.5525,14.515
"2",2,12.1166146637556,10.1825,13.71
"3",3,11.628939359263,10.2525,13.8025
"4",4,11.1074527429673,9.9425,12.4375
"5",5,11.0294484812053,9.272,12.764
"6",6,10.9437027671508,8.652,13.21
"7",7,11.9861576872071,10.69,13.708
"8",8,12.9417565935671,11.446,14.4
"9",9,13.896939184468,12.804,15.112
"10",10,14.2250274845825,12.9775,16.42
"11",11,15.4584758283162,14.5,16.675
"12",12,15.5730734277582,14.125,16.85
