"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,4.25615920778279,0.4205,9.0675
"2",2,5.24731536956837,2.321,8.5985
"3",3,10.0212076903776,6.258,15.36325
"4",4,14.9032414693647,10.5635,20.04025
"5",5,20.2838547998821,16.0264,24.6772
"6",6,24.815936810957,20.5958,29.0872
"7",7,28.5449378736038,25.2594,31.5988
"8",8,27.6672987452158,24.4242,30.9924
"9",9,24.3065565538225,20.35,28.63
"10",10,18.6891484353822,15.1595,22.55675
"11",11,12.7562811782399,7.2,18.125
"12",12,7.5806401661471,4.45,10.375
