"","site_name","clean_ID","Label_ind","Key_ind","ID_SiteDate","ID_Site","SiteDate_Key","Latitude_manual","Longitude_manual","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled"
"350","LakeFortuna_LA_2022-5-11","D11_CviMVP_PlDNA_10_SG_1014_8102b940","SG_1014","8102b940","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"349","LakeFortuna_LA_2022-5-11","A10_CviMVP_PlDNA_3_SG_1015_9b0b22ae","SG_1015","9b0b22ae","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"361","LakeFortuna_LA_2022-5-11","G12_CviMVP_PlDNA_7_SG_1016_32ac523d","SG_1016","32ac523d","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"356","LakeFortuna_LA_2022-5-11","A5_CviMVP_PlDNA_4_SG_1017_8d7c2653","SG_1017","8d7c2653","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"352","LakeFortuna_LA_2022-5-11","A4_CviMVP_PlDNA_8_SG_1018_d1b93996","SG_1018","d1b93996","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"353","LakeFortuna_LA_2022-5-11","C2_CviMVP_PlDNA_9_SG_1025_43336380","SG_1025","43336380","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"358","LakeFortuna_LA_2022-5-11","E9_CviMVP_PlDNA_3_SG_1026_d9b276d4","SG_1026","d9b276d4","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"359","LakeFortuna_LA_2022-5-11","G5_CviMVP_PlDNA_2_SG_1027_8151ca73","SG_1027","8151ca73","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"351","LakeFortuna_LA_2022-5-11","A9_CviMVP_PlDNA_4_SG_1028_4e0fd7b2","SG_1028","4e0fd7b2","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"346","LakeFortuna_LA_2022-5-11","F7_CviMVP_PlDNA_2_SG_1029_1709b6fc","SG_1029","1709b6fc","LakeFortuna_LA_2022-5-11","LakeFortuna_LA","1A31631B",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
