"ID_SiteDate","Site_Order","State_Abbrev","Site_Key","Date","Collection_method","Depth_m","Latitude_manual","Longitude_manual","Pea_crab","Polydora.active","Boring_sponge","Total_area_infected_num","boringsponge_prev_percent","polydoraactive_prev_percent","download_date_sal","source_description_sal","lat_sal","lon_sal","firstyear_sal","finalyear_sal","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","Salinity_st_dev","Salinity_n","Salinity_years","salinity_quantile_10","salinity_quantile_90","collection_type_sal","download_date_temp","source_description_temp","lat_temp","lon_temp","firstyear_temp","finalyear_temp","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","Temperature_st_dev","Temperature_n","Temperature_years","temp_quantile_10","temp_quantile_90","collection_type_temp","Dermo_Prevalence","MSX_Prevalence"
"AC_LIS_CT_2023-10-3",29,"CT","62d6c8c1","10/3/23","intertidal",NA,41.146431,-73.235759,0.263157895,0.947368421,0,45.13083333,0,94.73684211,"3/27/24","USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,13.74925073,28.75,0.5,9.614096708,60726,4,1.1,27,"continuous","3/27/24","USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,17.28614267,26.6,7.125,7.27605337,60726,4,4.5,24.4,"continuous",0.8889,0
"Cal_Lake_LA_2022-8-11",5,"LA","7cfe672c","8/11/22","subtidal_dredge",1.828,29.84499,-93.3179,0,1,0.05,46.285,5,100,"8/14/23","USGS Water Data Calcasieu River - 08017118",29.8157762,-93.349043,2007,2022,17.36607903,31.5625,3.89375,6.385193467,168813,16,8.7,25,"continuous","8/14/23","USGS Water Data Calcasieu River - 08017118",29.8157762,-93.349043,2007,2022,22.68097836,32.9125,7.50625,6.670750162,168813,16,13.4,30.7,"continuous",0.3889,0
"CB_TX_2022-6-9",1,"TX","6e0ec406","6/9/22","subtidal_dredge",1.2,28.096,-97.174,0,1,0.5,36.22083333,50,100,"7/7/23","NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ",28.0841,-97.2009,2007,2021,20.85778793,29.90625,6.34375,11.66413094,490047,16,5.9,36.7,"continuous","7/7/23","NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ",28.0841,-97.2009,2007,2021,23.10605003,32.61875,7.775,6.385486691,490047,16,13.8,30.5,"continuous",0.2667,0.0588
"CC_VA_2022-7-11",25,"VA","926ac4eb","7/11/22","intertidal",0,37.616617,-75.663933,0,0.947368421,0,16.7025,0,94.73684211,"3/29/24","VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague",37.60769,-75.6858,2016,2022,30.05792658,33.06285714,11.80285714,2.225725405,135848,7,27.34,32.39,"continuous","3/29/24","VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague",37.60769,-75.6858,2016,2022,18.01110143,31.20171429,1.207142857,8.305380084,135848,7,6.158,27.893,"continuous",0.6111,0.0625
"CPR_MS_AL_2022-8-24",10,"AL","9afe0651","8/24/22","subtidal_diving",1.9812,30.37278,-88.31833,0,1,0.058823529,41.13833333,5.882352941,100,"7/11/23","NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ",30.3486,-88.4185,2005,2022,21.9349343,31.07894737,7.878947368,5.756667062,468737,19,14,28.8,"continuous","7/11/23","NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ",30.3486,-88.4185,2005,2022,22.45369386,33.36315789,6.726315789,6.895611896,468737,19,12.8,30.6,"continuous",0.1875,0
"CS_DB_NJ_2022-9-21",27,"NJ","a9a1e2b3","9/21/22","intertidal",NA,39.073592,-74.913017,0,NA,0,NA,0,NA,"8/18/23","Delaware Water Quality - CEMA at University of Delaware",39.085,-75.186,2005,2022,22.70900662,26.79222222,17.39444444,4.247331359,151,18,17.45,26.75,"monthly","8/18/23","Delaware Water Quality - CEMA at University of Delaware",39.085,-75.186,2005,2022,18.16364238,25.29555556,8.519444444,6.524409601,151,18,7.61,24.93,"monthly",0.1429,0.2
"Culch_Ba_LA_2022-6-21",8,"LA","bb5679af","6/21/22","subtidal_dredge",1.828,29.42362,-90.01914,0,1,0,46.05666667,0,100,"8/15/23","USGS Water Data Culch Plant/Hackberry Bay - 073802512",29.39855505,-90.0411844,2007,2022,9.411105429,27.8,0.533333333,5.698713142,154474,15,2.2,17,"continuous","8/15/23","USGS Water Data Culch Plant/Hackberry Bay - 073802512",29.39855505,-90.0411844,2007,2022,23.06439207,33.48666667,7.14,6.582084703,154474,15,13.6,30.6,"continuous",0.1538,0
"DC_DR_ME_2022-10-25",36,"ME","5647be80","10/25/22","intertidal",0.3048,44.02452236,-69.53203214,0,1,0,43.415,0,100,"3/25/24","University of Maine",43.86457,-69.89763,2015,2022,31.24049971,42.055,7.4475,1.59619422,13688,4,30.5,32.06,"intermittent","3/25/24","University of Maine",43.86457,-69.89763,2015,2022,14.81716832,25.175,8.255,4.017011625,13688,4,8.38,19.14,"intermittent",0,0.1429
"DC_NB_RI_2022-8-19",32,"RI","3ebfe0bd","8/19/22","intertidal",0,41.55897,-71.437883,0,1,0,51.48333333,0,100,"7/11/23","NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ",41.57836,-71.32112,2002,2022,30.52729905,33.41818182,19.45454545,1.082111898,629696,22,29.2,31.7,"continuous","7/11/23","NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ",41.57836,-71.32112,2002,2022,12.18311963,23.87272727,1.186363636,6.70828115,629696,22,3.5,21,"continuous",0.6111,0.0625
"DWS_CB_VA_2022-10-7",24,"VA","c60225dc","10/7/22","subtidal_dredge",3.9624,37.14888,-76.63554,0,1,0,54.71083333,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769,0.0556
