"","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled","lew_sal_quant10_scaled","lew_sal_quant90_scaled","lew_temp_quant10_scaled","lew_temp_quant90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_crab_scaled","lew_MSX_Prevalence_scaled","yrk_sal_quant10_scaled","yrk_sal_quant90_scaled","yrk_temp_quant10_scaled","yrk_temp_quant90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_crab_scaled","yrk_MSX_Prevalence_scaled"
"AC_LIS_CT_2023-10-3",1.1,27,4.5,24.4,0.4444,0.263157895,0,-1.26529229741487,0.0968794052419698,-1.54576259907409,-0.988624391815615,0.827465666013749,2.0286501988698,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Cal_Lake_LA_2022-8-11",8.7,25,13.4,30.7,0.2778,0,0,-0.490680936475445,-0.166583467206767,0.971035200265146,0.876741336001781,0.051372639300725,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"CB_TX_2022-6-9",5.9,36.7,13.8,30.5,0.1333,0,0,-0.776064069453127,1.37467433661834,1.08414970810062,0.81752337638853,-0.621769271623836,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"CC_VA_2022-7-11",27.34,32.39,6.158,27.893,0.4444,0,0.0625,1.40915534877598,0.806911846491314,-1.07690296409606,0.0456172728298081,0.827465666013749,-0.32113075833655,-0.152763282965804,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"CPR_MS_AL_2022-8-24",14,28.8,12.8,30.6,0.0625,0,0,0.0495085652323098,0.333995990445833,0.801363438511939,0.847132356195156,-0.951585515869227,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"CS_DB_NJ_2022-9-21",17.45,26.75,7.61,24.93,0.0714,0,0.1333,0.401141354079811,0.0639465461858778,-0.666297300653298,-0.831696798840501,-0.910125564262108,-0.32113075833655,0.364826257662334,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Culch_Ba_LA_2022-6-21",2.2,17,13.6,30.6,0.0769,0,0,-1.15317749517364,-1.22043495700171,1.02759245418288,0.847132356195156,-0.884504245853215,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"DC_DR_ME_2022-10-25",30.5,32.06,8.38,19.14,0,0,0.1429,1.73123059885079,0.763440472537273,-0.448551873070016,-2.54605672964411,-1.24273686142483,-0.32113075833655,0.435007890289878,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"DC_NB_RI_2022-8-19",29.2,31.7,3.5,21,0.3889,0,0,1.59873128711115,0.7160171554965,-1.82854886866276,-1.99532970524088,0.56892327116037,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"DWS_CB_VA_2022-10-7",12.2,19.1,6.1,28.1,0.0769,0,0.0556,-0.133952020253343,-0.943798940930539,-1.0933045677322,0.106907861029523,-0.884504245853215,-0.32113075833655,-0.203206331416851,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
