"","x"
"1","AC_LIS_CT_2023-10-3"
"2","Cal_Lake_LA_2022-8-11"
"3","CB_TX_2022-6-9"
"4","CC_VA_2022-7-11"
"5","CPR_MS_AL_2022-8-24"
"6","CS_DB_NJ_2022-9-21"
"7","Culch_Ba_LA_2022-6-21"
"8","DC_DR_ME_2022-10-25"
"9","DC_NB_RI_2022-8-19"
"10","DWS_CB_VA_2022-10-7"
"11","EC_ApBay_FL_2023-10-4"
"12","FFJ_CF_NC_2023-7-19"
"13","FP_Sav_GA_2022-6-10"
"14","GalBay_TX_2022-6-2"
"15","GriceCove_SC_2022-8-10"
"16","HC_DB_NJ_2022-9-23"
"17","IL_ApBay_FL_2023-10-3"
"18","KP_FGR_FL_2022-8-23"
"19","LakeFortuna_LA_2022-5-11"
"20","LCP_UP_MD_2022-10-20"
"21","Mer_GA_2022-7-26"
"22","Nickle_Rf_LA_2022-8-1"
"23","OL_MI_SC_2022-5-31"
"24","Orrs_Cove_ME_2022-10-31"
"25","SaLa_GA_2022-10-5"
"26","SaltBay_Canada_2022-9-27"
"27","Sapelo_Is_GA_2022-7-17"
"28","SawIs_MA_2022-9-5"
"29","Sister_Lk_LA_2022-8-9"
"30","SkR_GA_2022-6-14"
"31","SR_GB_NH_2022-8-12"
"32","TP_TX_2022-6-28"
"33","UNCW_MS_NC_2023-7-17"
