"","month","Mean_Salinity","Min_Salinity","Max_Salinity"
"1",1,19.6285468032373,17.1015,22.079
"2",2,18.8159209824032,16.4859090909091,21.3404545454545
"3",3,18.2747364427772,15.4363636363636,21.3036363636364
"4",4,17.7853858529297,15.0754545454545,20.3822727272727
"5",5,17.3265429121502,14.9026086956522,19.7165217391304
"6",6,17.9700803404058,15.5254545454545,20.8418181818182
"7",7,19.7414405079201,17.135,22.385
"8",8,20.5631473169187,18.2986363636364,22.7272727272727
"9",9,20.3025132166311,18.5545454545455,22.4395454545455
"10",10,20.2986355289816,18.2463636363636,22.415
"11",11,20.4156074416734,18.0477272727273,22.4877272727273
"12",12,20.069021632018,17.617619047619,22.1209523809524
