"","month","Mean_Temperature","Mean_min_Temperature","Mean_max_Temperature"
"1",1,6.08584298331794,3.2393,9.10505
"2",2,5.95645493405008,3.92554545454545,8.70186363636364
"3",3,9.37767284547345,5.97463636363636,13.6913636363636
"4",4,14.3949590638978,10.541,19.3652727272727
"5",5,19.7965905836799,16.0139565217391,24.7366086956522
"6",6,24.5872346871218,20.9324545454545,28.5786818181818
"7",7,27.5083727060126,25.0863636363636,30.6167727272727
"8",8,27.638416638215,25.3761363636364,30.5634090909091
"9",9,25.1762759556284,22.0855,28.6690454545455
"10",10,20.1310636714178,15.8611363636364,24.2024545454545
"11",11,13.8813801732819,10.0478181818182,18.1068181818182
"12",12,9.08425250769721,6.50028571428571,12.2110952380952
