bags_key,bag_site,bags_label,SpawnTrt_Key
7e8856d8,Lewisetta,MVP-LA-1,80D0CCF6
689525dd,Lewisetta,MVP-LA-2,80D0CCF6
bbec9cf8,Lewisetta,MVP-LA-3,80D0CCF6
100369ae,YorkRiver,MVP-LA-4,80D0CCF6
a9458a4a,YorkRiver,MVP-LA-5,80D0CCF6
6a4a5efe,YorkRiver,MVP-LA-6,80D0CCF6
2b6a3191,Lewisetta,MVP-TX-1,B1767257
8fd17a9e,Lewisetta,MVP-TX-2,B1767257
885f1c3e,Lewisetta,MVP-TX-3,B1767257
eb43e468,YorkRiver,MVP-TX-4,B1767257
459cb517,YorkRiver,MVP-TX-5,B1767257
2c1bf45d,YorkRiver,MVP-TX-6,B1767257
29b9493b,Lewisetta,MVP-ME-1,334BC443
98db6a1d,Lewisetta,MVP-ME-2,334BC443
f312af3f,Lewisetta,MVP-ME-3,334BC443
12bc8d82,YorkRiver,MVP-ME-4,334BC443
ca40eea6,YorkRiver,MVP-ME-5,334BC443
f0b7aeea,YorkRiver,MVP-ME-6,334BC443
09dc7811,Lewisetta,MVP-NH-1,7375C067
957bbb17,Lewisetta,MVP-NH-2,7375C067
6ab7c081,Lewisetta,MVP-NH-3,7375C067
b2afd5ee,YorkRiver,MVP-NH-4,7375C067
d5555913,YorkRiver,MVP-NH-5,7375C067
26bf3141,YorkRiver,MVP-NH-6,7375C067
3460d069,Lewisetta,MVP-JR-1,0066D592
58cf91df,Lewisetta,MVP-JR-2,0066D592
6981f952,Lewisetta,MVP-JR-3,0066D592
ab963807,YorkRiver,MVP-JR-4,0066D592
8b476356,YorkRiver,MVP-JR-5,0066D592
cac61fcc,YorkRiver,MVP-JR-6,0066D592
815e1dab,Lewisetta,MVP-FL-1,AE5E7C9A
230dcc38,Lewisetta,MVP-FL-2,AE5E7C9A
e91a188c,Lewisetta,MVP-FL-3,AE5E7C9A
214a10fd,YorkRiver,MVP-FL-4,AE5E7C9A
78b3b60a,YorkRiver,MVP-FL-5,AE5E7C9A
f5f69186,YorkRiver,MVP-FL-6,AE5E7C9A
40d460cc,Lewisetta,MVP-LOLA-1,BA103554
953be50c,Lewisetta,MVP-LOLA-2,BA103554
ab553cef,Lewisetta,MVP-LOLA-3,BA103554
bd86970d,YorkRiver,MVP-LOLA-4,BA103554
b8b043b2,YorkRiver,MVP-LOLA-5,BA103554
a5917655,YorkRiver,MVP-LOLA-6,BA103554
24d5645e,Lewisetta,MVP-DEBY-1,F30C9334
f280e828,Lewisetta,MVP-DEBY-2,F30C9334
fd1a768b,Lewisetta,MVP-DEBY-3,F30C9334
16543236,YorkRiver,MVP-DEBY-4,F30C9334
15161707,YorkRiver,MVP-DEBY-5,F30C9334
c1ccef3e,YorkRiver,MVP-DEBY-6,F30C9334
4ca2c33a,Lewisetta,MVP-LARMIX-1,F86F3D8B
aa3c244b,Lewisetta,MVP-LARMIX-2,F86F3D8B
ef48c3c3,Lewisetta,MVP-LARMIX-3,F86F3D8B
36a7a874,YorkRiver,MVP-LARMIX-4,F86F3D8B
a222be71,YorkRiver,MVP-LARMIX-5,F86F3D8B
5fb1d274,YorkRiver,MVP-LARMIX-6,F86F3D8B
7239feb5,Lewisetta,MVP-SEEDMIX-1,A45B9C36
05d8a409,Lewisetta,MVP-SEEDMIX-2,A45B9C36
0f94ce30,Lewisetta,MVP-SEEDMIX-3,A45B9C36
8940e43d,YorkRiver,MVP-SEEDMIX-4,A45B9C36
1a026d5b,YorkRiver,MVP-SEEDMIX-5,A45B9C36
8894d982,YorkRiver,MVP-SEEDMIX-6,A45B9C36
234g212c,Lewisetta,Practice-LEW,234g324d
34590mdg,YorkRiver,Practice-YORK,234g324d
