phenotyping_key,phenotyping_label,phenotyping_bag_key,phenotyping_timestamp,shell_length_mm,shell_width_mm,tissue_wetweight_g,shell_dryweight_g,tissue_dryweight_g,phenotyping_notes,macroparasites,username
bb1280df,2023-11-10_MVP-LARMIX-4__2,bcc13906,2023-12-14,33,21,0.88,2.49,0.11,,,zeasegnitz@gmail.com
b61bf08f,2023-11-10_MVP-LARMIX-4__3,bcc13906,2023-12-14,32,23,0.44,2.05,0.04,,,zeasegnitz@gmail.com
bd7cf18f,2023-11-10_MVP-LARMIX-4__4,bcc13906,2023-12-14,39,23,1.04,3.19,0.2,,,zeasegnitz@gmail.com
85780d57,2023-11-10_MVP-LARMIX-4__5,bcc13906,2023-12-14,38,24,1.01,3.68,0.13,,,zeasegnitz@gmail.com
8e660e0a,2023-11-10_MVP-LARMIX-4__6,bcc13906,2023-12-14,23,16,0.21,0.86,0.03,,,zeasegnitz@gmail.com
6ff4ff17,2023-11-29_MVP-SEEDMIX-6__7,6182f977,2023-12-14,21,16,0.25,1.17,0.03,,,zeasegnitz@gmail.com
2616ba07,2023-11-29_MVP-SEEDMIX-6__8,6182f977,2023-12-14,24,16,0.18,0.91,0.03,,,zeasegnitz@gmail.com
cd7e4e63,2023-11-29_MVP-SEEDMIX-6__9,6182f977,2023-12-14,23,15,0.18,0.87,0.01,,,zeasegnitz@gmail.com
39d2d598,2023-11-29_MVP-SEEDMIX-6__10,6182f977,2023-12-14,22,17,0.19,0.9,0.03,,,zeasegnitz@gmail.com
f11dbfbc,2023-11-29_MVP-SEEDMIX-6__11,6182f977,2023-12-14,42,28,1.13,4.48,0.17,,,zeasegnitz@gmail.com
89d2cbeb,2023-11-29_MVP-DEBY-4__12,c247e0a9,2023-12-14,23,16,0.31,1.06,0.03,,,zeasegnitz@gmail.com
c0587170,2023-11-29_MVP-DEBY-4__13,c247e0a9,2023-12-14,38,23,0.74,3.17,0.08,,,zeasegnitz@gmail.com
44e7eb07,2023-11-29_MVP-DEBY-4__14,c247e0a9,2023-12-14,31,22,0.57,1.92,0.1,,,zeasegnitz@gmail.com
236bc3a8,2023-11-29_MVP-DEBY-4__15,c247e0a9,2023-12-14,51,30,1.74,5.54,0.16,,,zeasegnitz@gmail.com
efc288a0,2023-11-29_MVP-DEBY-4__16,c247e0a9,2023-12-14,30,20,0.46,1.89,0.04,,,zeasegnitz@gmail.com
ce1ab965,2023-11-9_MVP-SEEDMIX-4__17,060ac518,2023-12-14,47,28,1.59,5.8,0.18,,,zeasegnitz@gmail.com
e62ad1f1,2023-11-9_MVP-SEEDMIX-4__18,060ac518,2023-12-14,25,18,0.32,1.16,0.06,,,zeasegnitz@gmail.com
7b0aa0ed,2023-11-9_MVP-SEEDMIX-4__19,060ac518,2023-12-14,17,13,0.11,0.56,0.03,,,zeasegnitz@gmail.com
ac037a59,2023-11-9_MVP-SEEDMIX-4__20,060ac518,2023-12-14,31,22,0.75,2.95,0.1,,,zeasegnitz@gmail.com
4b6c81ea,2023-11-9_MVP-SEEDMIX-4__21,060ac518,2023-12-14,14,11,0.05,0.43,0,negligible tissue dry weight,,zeasegnitz@gmail.com
0d3d6fc8,2023-11-29_MVP-FL-5__22,271244cc,2023-12-14,32,17,0.42,1.73,0.02,,,zeasegnitz@gmail.com
06269c93,2023-11-29_MVP-FL-5__23,271244cc,2023-12-14,33,19,0.50,1.98,0.04,,,zeasegnitz@gmail.com
e1699271,2023-11-29_MVP-FL-5__24,271244cc,2023-12-14,46,26,1.17,3.85,0.13,,,zeasegnitz@gmail.com
00e2d308,2023-11-29_MVP-FL-5__25,271244cc,2023-12-14,47,27,1.30,4.91,0.08,,,zeasegnitz@gmail.com
276c98d1,2023-11-29_MVP-FL-5__26,271244cc,2023-12-14,38,20,0.60,2.88,0.07,,,zeasegnitz@gmail.com
d9d9d307,2023-11-29_MVP-ME-5__27,154f001c,2023-12-14,16,12,0.06,0.35,0,negligible dry tissue weight - did not register on scale,,zeasegnitz@gmail.com
aca98532,2023-11-29_MVP-ME-5__28,154f001c,2023-12-14,34,22,0.46,2.13,0.03,,,zeasegnitz@gmail.com
9c0c7ac7,2023-11-29_MVP-ME-5__29,154f001c,2023-12-14,31,19,0.63,1.78,0.09,,,zeasegnitz@gmail.com
