"","ID_Site","Latitude_manual","Longitude_manual","ID_SiteDate"
"1","AC_LIS_CT",41.146431,-73.235759,"AC_LIS_CT_2023-10-3"
"2","Cal_Lake_LA",29.84499,-93.3179,"Cal_Lake_LA_2022-8-11"
"3","CB_TX",28.096,-97.174,"CB_TX_2022-6-9"
"4","CC_VA",37.616617,-75.663933,"CC_VA_2022-7-11"
"5","CPR_MS_AL",30.37278,-88.31833,"CPR_MS_AL_2022-8-24"
"6","CS_DB_NJ",39.073592,-74.913017,"CS_DB_NJ_2022-9-21"
"7","Culch_Ba_LA",29.42362,-90.01914,"Culch_Ba_LA_2022-6-21"
"8","DC_DR_ME",44.02452236,-69.53203214,"DC_DR_ME_2022-10-25"
"9","DC_NB_RI",41.55897,-71.437883,"DC_NB_RI_2022-8-19"
"10","DWS_CB_VA",37.14888,-76.63554,"DWS_CB_VA_2022-10-7"
"11","EC_ApBay_FL",29.695683,-84.789312,"EC_ApBay_FL_2023-10-4"
"12","EelLake_Canada",43.82746,-65.9007577,"EelLake_Canada_2022-9-27"
"13","FC_LIS_CT",41.271986,-72.586128,"FC_LIS_CT_2023-10-11"
"14","FFJ_CF_NC",33.9586917,-77.941833,"FFJ_CF_NC_2023-7-19"
"15","FP_Sav_GA",32.01721,-80.92203,"FP_Sav_GA_2022-6-10"
"16","GalBay_TX",29.61166667,-94.95861111,"GalBay_TX_Grid312_2022-6-2"
"17","GalBay_TX",29.61166667,-94.95861111,"Galbay_TX_Grid169_2022-6-2"
"18","GalBay_TX",29.61166667,-94.95861111,"Galbay_TX_308&435_2022-6-2"
"19","GriceCove_SC",32.7523094,-79.8976693,"GriceCove_SC_2022-8-10"
"20","HC_DB_NJ",39.434722,-75.516944,"HC_DB_NJ_2022-9-23"
"21","IL_ApBay_FL",29.689108,-85.220739,"IL_ApBay_FL_2023-10-3"
"22","LakeFortuna_LA",29.64379,-89.49761,"LakeFortuna_LA_2022-5-11"
"23","LCP_UP_MD",38.33696,-76.97669,"LCP_UP_MD_2022-10-20"
"24","Mer_GA",31.453512,-81.363169,"Mer_GA_2022-7-26"
"25","Nickle_Rf_LA",29.4196,-91.70716,"Nickle_Rf_LA_2022-8-1"
"26","NPS_PS_NC",35.79389,-75.54978,"NPS_PS_NC_2022-10-12"
"27","NR_NB_RI",41.505,-71.453,"NR_NB_RI_2022-8-19"
"28","OL_MI_SC",33.5235297,-79.061842,"OL_MI_SC_2022-5-31"
"29","Orrs_Cove_ME",43.83136167,-69.91531433,"Orrs_Cove_ME_2022-10-31"
"30","PrEdIs_CN_A",46.1459253,-62.8874544,"PrEdIs_CN_A_2022-10-18"
"31","SaLa_LA",29.785,-93.91806,"SaLa_GA_2022-10-5"
"32","SaltBay_Canada",43.812486,-65.910547,"SaltBay_Canada_2022-9-27"
"33","Sapelo_Is_GA",31.4177723,-81.2957724,"Sapelo_Is_GA_2022-7-17"
"34","SawIs_MA",42.751733,-70.83657,"SawIs_MA_2022-9-5"
"35","Sister_Lk_LA",29.239925,-90.911362,"Sister_Lk_LA_2022-8-9"
"36","SkR_GA",31.98995,-81.02173,"SkR_GA_2022-6-14"
"37","SR_GB_NH",43.053746,-70.911544,"SR_GB_NH_2022-8-12"
"38","TP_FGR_FL",30.44003,-81.43638,"KP_FGR_FL_2022-8-23"
"39","TP_TX",28.6936,-96.2233,"TP_TX_2022-6-28"
"40","UNCW_MS_NC",34.1402344,-77.8636305,"UNCW_MS_NC_2023-7-17"
"41","WS_CB_VA",37.063817,-76.562783,"WS_CB_VA_2022-10-7"
