"method","metric","monitoring_event","bag_site","pearson"
"LEA","surv",1,"Lewisetta",-0.11880001214939
"LEA","surv",2,"Lewisetta",-0.114408005547185
"LEA","surv",3,"Lewisetta",0.115533491142218
"LEA","surv",4,"Lewisetta",0.12257525532939
"LEA","surv",1,"YorkRiver",0.0959016706125493
"LEA","surv",2,"YorkRiver",0.0871328192579657
"LEA","surv",3,"YorkRiver",-0.118058950310243
"LEA","surv",4,"YorkRiver",-0.131463152614263
"GF","surv",1,"Lewisetta",-0.132057337821681
"GF","surv",2,"Lewisetta",-0.185323856371465
"GF","surv",3,"Lewisetta",-0.193467069556505
"GF","surv",4,"Lewisetta",-0.175972844362882
"GF","surv",1,"YorkRiver",-0.0840128125587321
"GF","surv",2,"YorkRiver",-0.120481056558044
"GF","surv",3,"YorkRiver",-0.284011827255715
"GF","surv",4,"YorkRiver",-0.259437535864256
"RDA","surv",1,"Lewisetta",-0.470885176511667
"RDA","surv",2,"Lewisetta",-0.505691264413155
"RDA","surv",3,"Lewisetta",-0.515158964928497
"RDA","surv",4,"Lewisetta",-0.458631901478223
"RDA","surv",1,"YorkRiver",0.421741539513783
"RDA","surv",2,"YorkRiver",0.469221058332536
"RDA","surv",3,"YorkRiver",0.295218742225702
"RDA","surv",4,"YorkRiver",0.275264739564234
"LEA","len",1,"Lewisetta",-0.160268639741829
"LEA","len",2,"Lewisetta",0.0871369134227846
"LEA","len",3,"Lewisetta",0.157328342479914
"LEA","len",4,"Lewisetta",0.103674813463727
"LEA","len",1,"YorkRiver",0.141893072665502
"LEA","len",2,"YorkRiver",-0.103029645003869
"LEA","len",3,"YorkRiver",-0.168740431300478
"LEA","len",4,"YorkRiver",-0.15527701297167
"GF","len",1,"Lewisetta",0.205472976152282
"GF","len",2,"Lewisetta",0.104463886194332
"GF","len",3,"Lewisetta",-0.184993835487915
"GF","len",4,"Lewisetta",-0.129078998148706
"GF","len",1,"YorkRiver",0.266430725147531
"GF","len",2,"YorkRiver",-0.00590979619217867
"GF","len",3,"YorkRiver",-0.186938330501102
"GF","len",4,"YorkRiver",0.0282948698396265
"RDA","len",1,"Lewisetta",-0.208634073565666
"RDA","len",2,"Lewisetta",-0.372735313257978
"RDA","len",3,"Lewisetta",-0.21326940445769
"RDA","len",4,"Lewisetta",-0.00978570614701803
"RDA","len",1,"YorkRiver",0.296952857775241
"RDA","len",2,"YorkRiver",0.212907240977899
"RDA","len",3,"YorkRiver",0.204458911874791
"RDA","len",4,"YorkRiver",0.306210960070449
