"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","pearson_surv_rank","pearson_surv_rank_pval","spearman_surv","spearman_surv_pval","spearman_surv_rank","spearman_surv_rank_pval","kendall_surv","kendall_surv_pval","kendall_surv_rank","kendall_surv_rank_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","pearson_len_rank","pearson_len_rank_pval","spearman_len","spearman_len_pval","spearman_len_rank","spearman_len_rank_pval","kendall_len","kendall_len_pval","kendall_len_rank","kendall_len_rank_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_len","p_adj_surv"
"lea","b","sel","Lewisetta",1,-0.603540918587986,0.00179326368594562,-0.733768137261867,4.49351050978788e-05,-0.614726116866498,0.00139169603786621,-0.761904761904762,1.51942653894391e-05,-0.45501575519329,0.00266668179361409,-0.642857142857143,4.3117324606625e-05,0.36426164041003,0.53841567926075,-0.563594882554728,0.00413054620429504,-0.641451232512643,0.000729675325357028,-0.562185423117225,0.00424601608045038,-0.642857142857143,0.000704131353223875,-0.432264967433626,0.00432311122553148,-0.5,0.00146668999658245,0.317639191641877,0.411459683691989,TRUE,TRUE,0.0172924449021259,0.0266668179361409
"lea","b","sel","Lewisetta",2,-0.663013046625704,0.000414097957871362,-0.664707606696044,0.00039531924594603,-0.659385706553381,0.000456910955506147,-0.666666666666667,0.000374533573075061,-0.485350138872843,0.00135528938725823,-0.5,0.00146668999658245,0.439586299995897,0.441836202399583,-0.624029004206523,0.00111893711528778,-0.715822389905413,8.39061150822077e-05,-0.604217978116644,0.00176642024404845,-0.714285714285714,8.83242023615553e-05,-0.401930583754073,0.00797045699902741,-0.5,0.00146668999658245,0.389412198090984,0.512401693889897,TRUE,TRUE,0.0245244830739305,0.0154890215686655
"lea","b","sel","Lewisetta",3,-0.71538049333143,8.51563139171066e-05,-0.726843784311631,5.75031290685596e-05,-0.669893845303235,0.00034235725309771,-0.738095238095238,3.8370574593472e-05,-0.508100926632507,0.000795961424972523,-0.571428571428571,0.000277279369975525,0.51176925023912,0.528301886792453,-0.720585772243546,7.14168750648636e-05,-0.900530269274521,2.03887721522841e-09,-0.848532204050765,1.61790616640904e-07,-0.904761904761905,1.28972515412256e-09,-0.667356440950159,1.05535120458744e-05,-0.785714285714286,5.7622333162139e-07,0.519243855159828,0.810954765879641,TRUE,TRUE,0.000531180846753857,0.0127027610453692
"lea","b","sel","Lewisetta",4,-0.711910608646293,9.55540620119166e-05,-0.79606700186512,3.28714032039858e-06,-0.7014182615528,0.000134063481964798,-0.833333333333333,4.29847877602936e-07,-0.546018906231948,0.000312744268179226,-0.642857142857143,4.3117324606625e-05,0.506816714703136,0.633722671458521,-0.545398368312906,0.00584380174163238,-0.925984939104361,8.91110892140081e-11,-0.840651099988374,2.71938356024437e-07,-0.904761904761905,1.28972515412256e-09,-0.659772845030271,1.32795211688464e-05,-0.785714285714286,5.7622333162139e-07,0.297459380158381,0.857448107448107,TRUE,TRUE,0.000531180846753857,0.00833984715144604
"lea","b","sel","YorkRiver",1,0.0698854551893508,0.745568922652414,0.115909836639295,0.589645292814406,0.220670913746948,0.300111142907588,0.238095238095238,0.262559273750359,0.151671918397763,0.316704823946919,0.214285714285714,0.172766190477016,0.00488397684702273,0.013435090229748,-0.0343567131652167,0.873374012336963,-0.0184427778390829,0.931836474735652,-0.039405520311955,0.85494566727918,-0.0238095238095238,0.912067694382264,-0.0530851714392172,0.726009770673111,-0.0714285714285714,0.649500372025156,0.00118038373951698,0.000340136054421776,FALSE,FALSE,0.774410422051318,0.527841373244865
"lea","b","sel","YorkRiver",2,0.0302103110271958,0.888556906125011,0.188501975914996,0.37771452383379,0.133978769060647,0.532532705463244,0.238095238095238,0.262559273750359,0.091003151038658,0.548005572361309,0.214285714285714,0.172766190477016,0.000912662892359912,0.0355329949238578,-0.0633782455427786,0.768597855945531,-0.0519174131651165,0.809611885336016,-0.0735569712489827,0.73266679163685,0.0476190476190476,0.825126628569084,-0.0682523632789935,0.652304137211763,0,1,0.00401680200808073,0.00269541778975744,FALSE,FALSE,0.714853848999192,0.635368779549344
"lea","b","sel","YorkRiver",3,-0.344118028867151,0.099647582848375,-0.272639270636399,0.19742073530062,-0.210162774997093,0.32428694204789,-0.333333333333333,0.111445944451059,-0.227507877596645,0.13312848419606,-0.357142857142857,0.023069485688115,0.118417217791414,0.0743321718931474,-0.641138996450819,0.000735455505478277,-0.715678085420547,8.43125956773507e-05,-0.567439492492152,0.00382894482817606,-0.714285714285714,8.83242023615553e-05,-0.409514179673961,0.00686379498544903,-0.571428571428571,0.000277279369975525,0.411059212769963,0.512195121951219,FALSE,TRUE,0.0219641439534369,0.366382000276388
"lea","b","sel","YorkRiver",4,-0.278140235476649,0.210077494125815,-0.037313119288127,0.869058141816746,-0.166671223734873,0.458491022758782,-0.0349570200573066,0.877263799766453,-0.176651524373782,0.266841853201803,-0.109004739336493,0.508729326763901,0.0773619905910055,0.00139226887101,-0.496367579234279,0.0187888430839606,-0.673426074287005,0.000591863918243978,-0.602405549266999,0.00300859933127673,-0.712320916905444,0.000199855849028244,-0.457482152865436,0.00403311275357527,-0.592417061611374,0.000328906723410942,0.246380773714898,0.453502677529606,FALSE,TRUE,0.0172924449021259,0.521091476752552
"gf_af","b","sel","Lewisetta",1,0.510751307310351,0.0107600967871919,0.302139821225475,0.151301464621888,0.325752301245495,0.120331976178313,0.357142857142857,0.0866644014883433,0.219924281676757,0.146552800110555,0.285714285714286,0.0690907974580714,0.260866897919233,0.0912884715701616,0.604210964021527,0.00176669656447532,0.39974497098614,0.0529451261844823,0.341514509370277,0.102406995367132,0.452380952380952,0.0264495222027079,0.227507877596645,0.13312848419606,0.285714285714286,0.0690907974580714,0.365070889043823,0.15979604182871,FALSE,FALSE,0.217352627258873,0.366382000276388
"gf_af","b","sel","Lewisetta",2,0.524572302541564,0.0084977907699574,0.284874688584019,0.177257348421506,0.304736023745786,0.147645007307152,0.333333333333333,0.111445944451059,0.235091473516533,0.120676307860416,0.285714285714286,0.0690907974580714,0.275176100593758,0.0811535881958417,0.697292693853465,0.000152567780803197,0.678636811209028,0.000266940224430913,0.562185423117225,0.00424601608045042,0.714285714285714,8.83242023615553e-05,0.394346987834185,0.00923429438564237,0.571428571428571,0.000277279369975525,0.486217100901422,0.460547921527958,FALSE,TRUE,0.0273608722537552,0.366382000276388
