"method","biotic","sel","bag_site","event","spearman_surv","spearman_surv_pval","spearman_surv_rank","spearman_surv_rank_pval","r2_surv","r2_surv_rank","spearman_len","spearman_len_pval","spearman_len_rank","spearman_len_rank_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"lea","b","sel","Lewisetta",4,-0.835397030613447,3.78627547449516e-07,-0.928571428571429,6.09980636290113e-11,0.551048795582482,0.873315363881402,-0.843278134675838,2.29436555305133e-07,-0.904761904761905,1.28972515412256e-09,0.347975558966771,0.825396825396825,TRUE,TRUE
"lea","b","sel","YorkRiver",4,-0.166671223734873,0.458491022758782,-0.0349570200573066,0.877263799766453,0.105125597214995,0.00139226887101,-0.602405549266999,0.00300859933127673,-0.712320916905444,0.000199855849028244,0.291614325791393,0.453502677529606,FALSE,TRUE
"gf_af","b","sel","Lewisetta",4,-0.47286624374346,0.019617884786431,-0.595238095238095,0.0021518248879698,0.21677018590826,0.269541778975741,-0.746077851239682,2.84421500987164e-05,-0.833333333333333,4.29847877602936e-07,0.260982195962412,0.732905982905983,TRUE,TRUE
"gf_af","b","sel","YorkRiver",4,-0.149605910724477,0.50636458848507,0.0108882521489971,0.961644084113725,0.113580760311221,0.00499944669722066,-0.354389666849235,0.105613006456922,0.230945558739255,0.301106253000192,0.162924100763843,0.074299179496466,FALSE,FALSE
"gf_geno","b","sel","Lewisetta",4,-0.0683029018740554,0.751150957709325,-0.142857142857143,0.505460959550244,0.0371373759238386,0.00748727163821503,-0.417698515306723,0.0422569231792971,-0.5,0.0128454209680058,0.0578983971823293,0.256715506715507,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.422650918890822,0.0500375151225423,0.0418338108882521,0.85335085989409,0.0596283158450743,0.000176171626137186,-0.616057799675316,0.00226747904775166,0.38567335243553,0.0762798844969278,0.274263782557759,0.174065184860801,FALSE,TRUE
"rda","b","sel","Lewisetta",4,-0.228552017809339,0.282733898016142,-0.285714285714286,0.175928159198558,0.168790068783266,0.132075471698113,-0.160249115935284,0.454458810485496,-0.19047619047619,0.372646891549696,0.0472341993444281,0.0305250305250306,FALSE,FALSE
"rda","b","sel","YorkRiver",4,-0.377143417529764,0.083583824586654,-0.306590257879656,0.165202572243083,0.0547642796233968,0.120384360185785,-0.36235347958742,0.0974678115617707,-0.50945558739255,0.0154427688276168,0.029411883700314,0.239256416045759,FALSE,FALSE
"env_dist","b","sel","Lewisetta",4,-0.388801133744623,0.0604225765165945,-0.523809523809524,0.00861138053392302,0.087249747475302,0.251871817909554,-0.388801133744623,0.0604225765165945,-0.476190476190476,0.0186585829560597,0.0673758504826886,0.256715506715507,FALSE,FALSE
"env_dist","b","sel","YorkRiver",4,-0.189424974415402,0.398500376264968,-0.0212034383954155,0.925381003292485,0.124577495804601,0.00699719543079393,-0.470433795319932,0.0271393398246802,-0.530085959885387,0.011162118886645,0.223407448695879,0.276017682346475,FALSE,TRUE
