"","merge_ID_inds","Label_ind","Key_ind","Key_box","Vial_Label","Key_Vial","Tissue","Buffer","Well","Extraction_plan_Key","PlateID_Key","ID_SiteDate","SiteDate_Key","Extraction_plan_Label","Project","Plate","Sample.Filename","Pass.Fail","DQC","QC.call_rate","call_rate","QC.het_rate","het_rate","Average.call.rate.for.passing.samples","Sex","Shell_length_cm","Shell_width_cm","Box_ID","Boring_sponge","Pea_crab","Polydora.active","Polydora.repaired","ID_Site","Site_Key","EstuaryRegion_name","Site_Order","Site_Color","Region","Region_color","sal_firstyear","sal_finalyear","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","Salinity_st_dev","temp_firstyear","temp_finalyear","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","Temperature_st_dev","Alive","Mortality_Date","New_Growth","Sperm_Motility","offsets_lew","offsets_yrk"
"1","H9_CviMVP_PlDNA_7_D193_75D2DB84","D193","75D2DB84","7e18085f","CviMVPe_50081","c2cc2d6f","gill","95% pure EtOH","H9","ieqiuonv","c8d7e3a0","ME-HogIs","204B8C0D","H9_CviMVPe_PlDNA_7__D193__75D2DB84","CviMVPe","PlDNA_7","H9_CviMVPe_PlDNA_7__D193__75D2DB84_268692_H9.CEL","Pass",0.97877,99.534,99.14,27.779,19.369,99.105,"Female",9.9,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"2","F7_CviMVP_PlDNA_6_D195_E69D86F1","D195","E69D86F1","85211b79","CviMVPe_50187","f9d100cf","gill","95% pure EtOH","F7","tvsghr6j","aa7bee3f","ME-HogIs","204B8C0D","F7_CviMVPe_PlDNA_6__D195__E69D86F1","CviMVPe","PlDNA_6","F7_CviMVPe_PlDNA_6__D195__E69D86F1_261913_F7.CEL","Pass",0.98349,99.184,98.53,24.151,17.838,98.913,"Male",9.7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",2,0,0.00213811404441339
"3","C11_CviMVP_PlDNA_7_D197_03F66240","D197","03F66240","85211b79","CviMVPe_50188","926682fa","gill","95% pure EtOH","C11","qwgudq72","c8d7e3a0","ME-HogIs","204B8C0D","C11_CviMVPe_PlDNA_7__D197__03F66240","CviMVPe","PlDNA_7","C11_CviMVPe_PlDNA_7__D197__03F66240_268692_C11.CEL","Pass",0.9717,99.417,98.955,25.521,17.871,99.105,"Male",10.1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",3,0,0.00213811404441339
"4","G2_CviMVP_PlDNA_6_D200_33092739","D200","33092739","85211b79","CviMVPe_50375","796a2a73","gill","95% pure EtOH","G2","e3lhr4gz","aa7bee3f","ME-HogIs","204B8C0D","G2_CviMVPe_PlDNA_6__D200__33092739","CviMVPe","PlDNA_6","G2_CviMVPe_PlDNA_6__D200__33092739_261913_G2.CEL","Pass",0.98585,98.966,98.578,27.924,18.757,98.913,"Female",11.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"5","G2_CviMVP_PlDNA_7_D204_39ED1A0F","D204","39ED1A0F","85211b79","CviMVPe_50186","8b478c30","gill","95% pure EtOH","G2","wj74ajuo","c8d7e3a0","ME-HogIs","204B8C0D","G2_CviMVPe_PlDNA_7__D204__39ED1A0F","CviMVPe","PlDNA_7","G2_CviMVPe_PlDNA_7__D204__39ED1A0F_268692_G2.CEL","Pass",0.96462,99.461,98.968,24.632,18.215,99.105,"Male",11.3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",2,0,0.00213811404441339
"6","G7_CviMVP_PlDNA_6_D205_13EC75B4","D205","13EC75B4","7e18085f","CviMVPe_50079","ec250abb","gill","95% pure EtOH","G7","0wgzsco6","aa7bee3f","ME-HogIs","204B8C0D","G7_CviMVPe_PlDNA_6__D205__13EC75B4","CviMVPe","PlDNA_6","G7_CviMVPe_PlDNA_6__D205__13EC75B4_261913_G7.CEL","Pass",0.99057,99.272,98.493,27.079,18.845,98.913,"Female",14.6,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"7","H5_CviMVP_PlDNA_7_D206_4496A68D","D206","4496A68D","85211b79","CviMVPe_50361","584ebdee","gill","95% pure EtOH","H5","2nasos5r","c8d7e3a0","ME-HogIs","204B8C0D","H5_CviMVPe_PlDNA_7__D206__4496A68D","CviMVPe","PlDNA_7","H5_CviMVPe_PlDNA_7__D206__4496A68D_268692_H5.CEL","Pass",0.9717,99.315,98.954,25.288,18.134,99.105,"Female",10.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"8","H10_CviMVP_PlDNA_7_D208_36F17A38","D208","36F17A38","85211b79","CviMVPe_50191","14282749","gill","95% pure EtOH","H10","ywj1pwzm","c8d7e3a0","ME-HogIs","204B8C0D","H10_CviMVPe_PlDNA_7__D208__36F17A38","CviMVPe","PlDNA_7","H10_CviMVPe_PlDNA_7__D208__36F17A38_268692_H10.CEL","Pass",0.98585,99.388,98.956,27.662,19.369,99.105,"Male",9.2,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",3,0,0.00213811404441339
"9","G6_CviMVP_PlDNA_7_D210_DD095BEA","D210","DD095BEA","85211b79","CviMVPe_50355","3015ff33","gill","95% pure EtOH","G6","zxn55i66","c8d7e3a0","ME-HogIs","204B8C0D","G6_CviMVPe_PlDNA_7__D210__DD095BEA","CviMVPe","PlDNA_7","G6_CviMVPe_PlDNA_7__D210__DD095BEA_268692_G6.CEL","Pass",0.99292,99.49,99.001,27.429,18.68,99.105,"Female",9.8,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"10","C7_CviMVP_PlDNA_7_D218_5D337335","D218","5D337335","85211b79","CviMVPe_50358","877060b9","gill","95% pure EtOH","C7","bqcfkkzc","c8d7e3a0","ME-HogIs","204B8C0D","C7_CviMVPe_PlDNA_7__D218__5D337335","CviMVPe","PlDNA_7","C7_CviMVPe_PlDNA_7__D218__5D337335_268692_C7.CEL","Pass",0.99057,99.417,98.988,25.754,18.058,99.105,"Female",10,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"11","B7_CviMVP_PlDNA_7_D219_5D244A9A","D219","5D244A9A","7e18085f","CviMVPe_50080","666cafda","gill","95% pure EtOH","B7","ioeewgxn","c8d7e3a0","ME-HogIs","204B8C0D","B7_CviMVPe_PlDNA_7__D219__5D244A9A","CviMVPe","PlDNA_7","B7_CviMVPe_PlDNA_7__D219__5D244A9A_268692_B7.CEL","Pass",0.97406,99.388,98.954,25.885,18.1,99.105,"Female",8.5,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"12","B12_CviMVP_PlDNA_6_D223_FC050DC6","D223","FC050DC6","85211b79","CviMVPe_50357","7752ba1c","gill","95% pure EtOH","B12","nlovoiwc","aa7bee3f","ME-HogIs","204B8C0D","B12_CviMVPe_PlDNA_6__D223__FC050DC6","CviMVPe","PlDNA_6","B12_CviMVPe_PlDNA_6__D223__FC050DC6_261913_B12.CEL","Pass",0.98113,99.272,98.733,26.264,18.373,98.913,"Female",9.7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",NA,0,0.00213811404441339
"13","F11_CviMVP_PlDNA_7_D227_C01C6364","D227","C01C6364","85211b79","CviMVPe_50192","94eec54f","gill","95% pure EtOH","F11","62f2oyhm","c8d7e3a0","ME-HogIs","204B8C0D","F11_CviMVPe_PlDNA_7__D227__C01C6364","CviMVPe","PlDNA_7","F11_CviMVPe_PlDNA_7__D227__C01C6364_268692_F11.CEL","Pass",0.98113,99.519,98.913,26.715,18.452,99.105,"Male",10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",2,0,0.00213811404441339
"14","D9_CviMVP_PlDNA_6_D230_37602BDA","D230","37602BDA","85211b79","CviMVPe_50190","d25716e0","gill","95% pure EtOH","D9","w9wg56id","aa7bee3f","ME-HogIs","204B8C0D","D9_CviMVPe_PlDNA_6__D230__37602BDA","CviMVPe","PlDNA_6","D9_CviMVPe_PlDNA_6__D230__37602BDA_261913_D9.CEL","Pass",0.98821,99.33,98.613,26.744,18.655,98.913,"Male",10.8,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Yes",2,0,0.00213811404441339
