"","bag","monitoring_event","length"
"1","MVP-DEBY-1",1,34.037037037037
"2","MVP-DEBY-2",1,28.7857142857143
"3","MVP-DEBY-3",1,36.219512195122
"4","MVP-DEBY-4",1,29.6521739130435
"5","MVP-DEBY-5",1,33.6444444444444
"6","MVP-DEBY-6",1,32.5111111111111
"7","MVP-FL-1",1,35.85
"8","MVP-FL-2",1,36.8780487804878
"9","MVP-FL-3",1,34.98
"10","MVP-FL-4",1,36.5681818181818
"11","MVP-FL-5",1,36.6428571428571
"12","MVP-FL-6",1,36.2666666666667
"13","MVP-JR-1",1,30.6511627906977
"14","MVP-JR-2",1,29
"15","MVP-JR-3",1,30.62
"16","MVP-JR-4",1,31.3333333333333
"17","MVP-JR-5",1,29.5909090909091
"18","MVP-JR-6",1,30.8510638297872
"19","MVP-LA-1",1,36.525
"20","MVP-LA-2",1,37.65
"21","MVP-LA-3",1,36.7674418604651
"22","MVP-LA-4",1,26.6190476190476
"23","MVP-LA-5",1,27.2173913043478
"24","MVP-LA-6",1,29.6511627906977
"25","MVP-LARMIX-1",1,38.7111111111111
"26","MVP-LARMIX-2",1,41.8139534883721
"27","MVP-LARMIX-3",1,38.1219512195122
"28","MVP-LARMIX-4",1,31.5952380952381
"29","MVP-LARMIX-5",1,32.825
"30","MVP-LARMIX-6",1,37.5238095238095
"31","MVP-LOLA-1",1,42.475
"32","MVP-LOLA-2",1,44.25
"33","MVP-LOLA-3",1,36.7
"34","MVP-LOLA-4",1,35.2558139534884
"35","MVP-LOLA-5",1,36.35
"36","MVP-LOLA-6",1,36.3571428571429
"37","MVP-ME-1",1,30.7333333333333
"38","MVP-ME-2",1,30.9545454545455
"39","MVP-ME-3",1,29.304347826087
"40","MVP-ME-4",1,29.4081632653061
"41","MVP-ME-5",1,33.0217391304348
"42","MVP-ME-6",1,35
"43","MVP-NH-1",1,27.32
"44","MVP-NH-2",1,24.9375
"45","MVP-NH-3",1,23.6603773584906
"46","MVP-NH-4",1,26.0888888888889
