"","tags_label","tags_timestamp","bag_site","bags_label","pop","bagnum","length","width","tagsLength_timestamp","tagsLength_date","tagsLength_time","event"
"1","E315","11/10/2023 14:56:00","YorkRiver","MVP-LARMIX-4","LARMIX","4",35,22,"11/10/2023 14:56:00",2023-11-10,"14:56:00",1
"2","E315","11/10/2023 14:56:00","YorkRiver","MVP-LARMIX-4","LARMIX","4",41,28,"5/9/2024 9:24:10",2024-05-09,"9:24:10",2
"3","A645","11/13/2023 15:06:00","YorkRiver","MVP-ME-6","ME","6",55,21,"11/12/2024 12:06:41",2024-11-12,"12:06:41",3
"4","A645","11/13/2023 15:06:00","YorkRiver","MVP-ME-6","ME","6",47,25,"11/13/2023 15:06:00",2023-11-13,"15:06:00",1
"5","A645","11/13/2023 15:06:00","YorkRiver","MVP-ME-6","ME","6",48,25,"5/7/2024 9:57:07",2024-05-07,"9:57:07",2
"6","A049","11/7/2023 14:47:17","Lewisetta","MVP-LA-1","LA","1",53,25,"11/7/2023 14:47:17",2023-11-07,"14:47:17",1
"7","A049","11/7/2023 14:47:17","Lewisetta","MVP-LA-1","LA","1",113,47,"11/7/2024 17:46:22",2024-11-07,"17:46:22",3
"8","A049","11/7/2023 14:47:17","Lewisetta","MVP-LA-1","LA","1",118,60,"5/20/2025 16:16:54",2025-05-20,"16:16:54",4
"9","A049","11/7/2023 14:47:17","Lewisetta","MVP-LA-1","LA","1",61,29,"5/3/2024 8:53:21",2024-05-03,"8:53:21",2
"10","A848","11/14/2023 15:58:30","YorkRiver","MVP-ME-5","ME","5",37,24,"11/14/2023 15:58:30",2023-11-14,"15:58:30",1
"11","A848","11/14/2023 15:58:30","YorkRiver","MVP-ME-5","ME","5",24,21,"11/8/2024 10:56:07",2024-11-08,"10:56:07",3
"12","A848","11/14/2023 15:58:30","YorkRiver","MVP-ME-5","ME","5",37,23,"5/6/2024 14:04:04",2024-05-06,"14:04:04",2
"13","LARMIX-6-extra","11/10/2023 14:46:09","YorkRiver","MVP-LARMIX-6","LARMIX","6",11,7,"11/10/2023 14:47:01",2023-11-10,"14:47:01",1
"14","LARMIX-6-extra","11/10/2023 14:46:09","YorkRiver","MVP-LARMIX-6","LARMIX","6",8,8,"11/10/2023 14:46:09",2023-11-10,"14:46:09",1
"16","2147","11/7/2023 15:28:53","Lewisetta","MVP-FL-1","FL","1",35,21,"5/2/2024 13:59:48",2024-05-02,"13:59:48",2
"17","2147","11/7/2023 15:28:53","Lewisetta","MVP-FL-1","FL","1",35,27,"11/7/2023 15:28:53",2023-11-07,"15:28:53",1
"18","A130","11/7/2023 15:28:43","Lewisetta","MVP-DEBY-1","DEBY","1",39,25,"5/2/2024 14:12:13",2024-05-02,"14:12:13",2
