"","bags_label","survival_1","survival_2","survival_3","pop","bag_num","site"
"1","MVP-DEBY-1","0.924455825864277","0.802176696542894","0.127400768245839","DEBY","1","York River"
"2","MVP-DEBY-2","0.645569620253165","0.622251832111925","0.137908061292472","DEBY","2","York River"
"3","MVP-DEBY-3","0.780377358490566","0.790943396226415","0.166792452830189","DEBY","3","York River"
"4","MVP-DEBY-4","0.808847624249044","0.676679410158383","0.093391589295467","DEBY","4","Lewisetta"
"5","MVP-DEBY-5","0.896036760482481","0.682366456059736","0.0947731188971855","DEBY","5","Lewisetta"
"6","MVP-DEBY-6","0.867808219178082","0.618493150684931","0.131506849315068","DEBY","6","Lewisetta"
"7","MVP-FL-1","0.932922127987664","0.876638396299152","0.145720894371627","FL","1","York River"
"8","MVP-FL-2","0.752730109204368","0.709828393135725","0.159126365054602","FL","2","York River"
"9","MVP-FL-3","0.843925985518906","0.743362831858407","0.172164119066774","FL","3","York River"
"10","MVP-FL-4","0.979623824451411","0.846394984326019","0.132445141065831","FL","4","Lewisetta"
"11","MVP-FL-5","0.964365256124722","0.801039346696362","0.11358574610245","FL","5","Lewisetta"
"12","MVP-FL-6","0.961363636363636","0.793181818181818","0.11969696969697","FL","6","Lewisetta"
"13","MVP-JR-1","0.878636741479634","0.7190357439734","0.15544472152951","JR","1","York River"
"14","MVP-JR-2","0.532520325203252","0.501016260162602","0.21849593495935","JR","2","York River"
"15","MVP-JR-3","0.684638860630722","0.659206510681587","0.216683621566633","JR","3","York River"
"16","MVP-JR-4","0.88216810683425","0.699921445404556","0.140612725844462","JR","4","Lewisetta"
"17","MVP-JR-5","0.721565059144677","0.596906278434941","0.154686078252957","JR","5","Lewisetta"
"18","MVP-JR-6","0.883408071748879","0.703139013452915","0.139013452914798","JR","6","Lewisetta"
"19","MVP-LA-1","0.941097724230254","0.914323962516734","0.153279785809906","LA","1","York River"
"20","MVP-LA-2","0.960979342004591","0.938026013771997","0.175210405508799","LA","2","York River"
"21","MVP-LA-3","0.876014760147601","1.02214022140221","0.16309963099631","LA","3","York River"
"22","MVP-LA-4","0.916952642415923","0.667810569663693","0.061770761839396","LA","4","Lewisetta"
"23","MVP-LA-5","0.851233671988389","0.709724238026125","0.0921625544267054","LA","5","Lewisetta"
"24","MVP-LA-6","0.915107913669065","0.686330935251799","0.0712230215827338","LA","6","Lewisetta"
"25","MVP-LARMIX-1","0.868766404199475","0.741032370953631","0.145231846019248","LARMIX","1","York River"
"26","MVP-LARMIX-2","0.942930153321976","0.837308347529813","0.160136286201022","LARMIX","2","York River"
"27","MVP-LARMIX-3","0.897045658012534","0.835273052820054","0.15129811996419","LARMIX","3","York River"
"28","MVP-LARMIX-4","0.890756302521008","0.686554621848739","0.0957983193277311","LARMIX","4","Lewisetta"
"29","MVP-LARMIX-5","0.666945606694561","0.62092050209205","0.106276150627615","LARMIX","5","Lewisetta"
"30","MVP-LARMIX-6","0.935041171088747","0.756633119853614","0.0942360475754803","LARMIX","6","Lewisetta"
"31","MVP-LOLA-1","0.921551724137931","0.860344827586207","0.175","LOLA","1","York River"
"32","MVP-LOLA-2","0.921003717472119","0.866171003717472","0.196096654275093","LOLA","2","York River"
"33","MVP-LOLA-3","0.946750902527076","0.88086642599278","0.186823104693141","LOLA","3","York River"
"34","MVP-LOLA-4","0.892320534223706","0.734557595993322","0.0751252086811352","LOLA","4","Lewisetta"
"35","MVP-LOLA-5","0.854606931530008","0.622147083685545","0.108199492814877","LOLA","5","Lewisetta"
"36","MVP-LOLA-6","0.909604519774011","0.751412429378531","0.0998116760828625","LOLA","6","Lewisetta"
"37","MVP-ME-1","0.54026503567788","0.500509683995923","0.0438328236493374","ME","1","York River"
"38","MVP-ME-2","0.367952522255193","0.330365974282888","0.111770524233432","ME","2","York River"
"39","MVP-ME-3","0.837316885119507","0.678488820354665","0.0701619121048574","ME","3","York River"
"40","MVP-ME-4","0.812240663900415","0.566390041493776","0.0114107883817427","ME","4","Lewisetta"
"41","MVP-ME-5","0.744728915662651","0.527861445783133","0.0173192771084337","ME","5","Lewisetta"
"42","MVP-ME-6","0.707666385846672","0.537489469250211","0.0092670598146588","ME","6","Lewisetta"
"43","MVP-NH-1","0.562717770034843","0.494773519163763","0.0749128919860627","NH","1","York River"
"44","MVP-NH-2","0.541208791208791","0.475274725274725","0.0705128205128205","NH","2","York River"
"45","MVP-NH-3","0.62488646684832","0.488646684831971","0.0299727520435967","NH","3","York River"
"46","MVP-NH-4","0.557055214723926","0.301840490797546","0.0049079754601227","NH","4","Lewisetta"
"47","MVP-NH-5","0.590729783037475","0.456607495069034","0.0315581854043393","NH","5","Lewisetta"
"48","MVP-NH-6","0.776595744680851","0.561170212765957","0.050531914893617","NH","6","Lewisetta"
"49","MVP-SEEDMIX-1","0.79288256227758","0.744483985765125","0.122419928825623","SEEDMIX","1","York River"
"50","MVP-SEEDMIX-2","0.872253864930838","0.792514239218877","0.1586655817738","SEEDMIX","2","York River"
"51","MVP-SEEDMIX-3","0.778889899909008","0.740673339399454","0.180163785259327","SEEDMIX","3","York River"
"52","MVP-SEEDMIX-4","0.803418803418803","0.597513597513598","0.104118104118104","SEEDMIX","4","Lewisetta"
"53","MVP-SEEDMIX-5","0.852320675105485","0.671729957805907","0.115611814345992","SEEDMIX","5","Lewisetta"
"54","MVP-SEEDMIX-6","0.767885532591415","0.650238473767886","0.110492845786963","SEEDMIX","6","Lewisetta"
"55","MVP-TX-1","0.891549295774648","0.879577464788732","0.122535211267606","TX","1","York River"
"56","MVP-TX-2","0.962491153573956","0.949752300070771","0.145789101203114","TX","2","York River"
"57","MVP-TX-3","0.88317107093185","0.864394993045897","0.146036161335188","TX","3","York River"
"58","MVP-TX-4","0.915620641562064","0.758019525801953","0.0788005578800558","TX","4","Lewisetta"
"59","MVP-TX-5","0.953188602442334","0.746268656716418","0.111261872455902","TX","5","Lewisetta"
"60","MVP-TX-6","0.935028248587571","0.734463276836158","0.0995762711864407","TX","6","Lewisetta"
