"","pop","bags_label","bagnum","bag_site","SpawnTrt_Key","t0","t1","t2","t3","t4"
"1","DEBY","MVP-DEBY-1",1,"Lewisetta","F30C9334",1,0.924455825864277,0.802176696542894,0.679290053668238,0.65828108293623
"2","DEBY","MVP-DEBY-2",2,"Lewisetta","F30C9334",1,0.645569620253165,0.622251832111925,0.548111188285824,0.621373574838879
"3","DEBY","MVP-DEBY-3",3,"Lewisetta","F30C9334",1,0.780377358490566,0.790943396226415,0.743823364110799,0.695612590511025
"4","DEBY","MVP-DEBY-4",4,"YorkRiver","F30C9334",1,0.808847624249044,0.676679410158383,0.492392251647164,0.326284022175832
"5","DEBY","MVP-DEBY-5",5,"YorkRiver","F30C9334",1,0.896036760482481,0.682366456059736,0.479108362765346,0.407242108350544
"6","DEBY","MVP-DEBY-6",6,"YorkRiver","F30C9334",1,0.867808219178082,0.618493150684931,0.505322063538327,0.43506338090733
"7","FL","MVP-FL-1",7,"Lewisetta","AE5E7C9A",1,0.932922127987664,0.876638396299152,0.845329882145611,0.83614151386142
"8","FL","MVP-FL-2",8,"Lewisetta","AE5E7C9A",1,0.752730109204368,0.709828393135726,0.616191456168885,0.495430316517697
"9","FL","MVP-FL-3",9,"Lewisetta","AE5E7C9A",1,0.843925985518906,0.743362831858407,0.676934663905103,0.589483774309707
"10","FL","MVP-FL-4",10,"YorkRiver","AE5E7C9A",1,0.979623824451411,0.846394984326019,0.60868405255786,0.497339408797276
"11","FL","MVP-FL-5",11,"YorkRiver","AE5E7C9A",1,0.964365256124722,0.801039346696362,0.521527744870398,0.394669644766787
"12","FL","MVP-FL-6",12,"YorkRiver","AE5E7C9A",1,0.961363636363636,0.793181818181818,0.533288201160542,0.439178518602799
"13","JR","MVP-JR-1",13,"Lewisetta","0066D592",1,0.878636741479634,0.7190357439734,0.57216886860862,0.5595937286392
"14","JR","MVP-JR-2",14,"Lewisetta","0066D592",1,0.532520325203252,0.501016260162602,0.458376578446635,0.44091461355343
"15","JR","MVP-JR-3",15,"Lewisetta","0066D592",1,0.684638860630722,0.659206510681587,0.597493560745438,0.531424561239933
"16","JR","MVP-JR-4",16,"YorkRiver","0066D592",1,0.88216810683425,0.699921445404556,0.533131654159215,0.477980103728951
"17","JR","MVP-JR-5",17,"YorkRiver","0066D592",1,0.721565059144677,0.596906278434941,0.431804541846553,0.408251566836741
"18","JR","MVP-JR-6",18,"YorkRiver","0066D592",1,0.883408071748879,0.703139013452915,0.465754474723085,0.409863937756314
"19","LA","MVP-LA-1",19,"Lewisetta","80D0CCF6",1,0.941097724230254,0.914323962516734,0.890979520920562,0.755741557923691
"20","LA","MVP-LA-2",20,"Lewisetta","80D0CCF6",1,0.960979342004591,0.938026013771997,0.914076413420371,0.897753620323579
"21","LA","MVP-LA-3",21,"Lewisetta","80D0CCF6",1,0.876014760147601,1.02214022140221,0.961246761403784,0.943445895451863
"22","LA","MVP-LA-4",22,"YorkRiver","80D0CCF6",1,0.916952642415923,0.667810569663693,0.255757239445669,0.177525613262288
"23","LA","MVP-LA-5",23,"YorkRiver","80D0CCF6",1,0.851233671988389,0.709724238026125,0.383553098848161,0.282949007347004
"24","LA","MVP-LA-6",24,"YorkRiver","80D0CCF6",1,0.915107913669065,0.686330935251799,0.289135159957141,0.187630263376442
"25","LARMIX","MVP-LARMIX-1",25,"Lewisetta","F86F3D8B",1,0.868766404199475,0.741032370953631,0.523452653524692,0.50069384250188
"26","LARMIX","MVP-LARMIX-2",26,"Lewisetta","F86F3D8B",1,0.942930153321976,0.837308347529813,0.66984667802385,0.592979026447343
"27","LARMIX","MVP-LARMIX-3",27,"Lewisetta","F86F3D8B",1,0.897045658012534,0.835273052820054,0.600685727347188,0.545744959602018
"28","LARMIX","MVP-LARMIX-4",28,"YorkRiver","F86F3D8B",1,0.890756302521008,0.68655462184874,0.333052029322367,0.27194156522652
"29","LARMIX","MVP-LARMIX-5",29,"YorkRiver","F86F3D8B",1,0.666945606694561,0.62092050209205,0.335561292619959,0.280551244649474
"30","LARMIX","MVP-LARMIX-6",30,"YorkRiver","F86F3D8B",1,0.935041171088747,0.756633119853614,0.331630686574137,0.280870887608708
"31","LOLA","MVP-LOLA-1",31,"Lewisetta","BA103554",1,0.921551724137931,0.860344827586207,0.743191489361702,0.645600687728347
"32","LOLA","MVP-LOLA-2",32,"Lewisetta","BA103554",1,0.921003717472119,0.866171003717472,0.777710986316539,0.732407433715575
"33","LOLA","MVP-LOLA-3",33,"Lewisetta","BA103554",1,0.946750902527076,0.88086642599278,0.775912128427683,0.745182935222626
"34","LOLA","MVP-LOLA-4",34,"YorkRiver","BA103554",1,0.892320534223706,0.734557595993322,0.281319930380421,0.228365590544107
"35","LOLA","MVP-LOLA-5",35,"YorkRiver","BA103554",1,0.854606931530008,0.622147083685545,0.338871603028723,0.286525583048676
"36","LOLA","MVP-LOLA-6",36,"YorkRiver","BA103554",1,0.909604519774011,0.751412429378531,0.33893496814521,0.251684382286047
"37","ME","MVP-ME-1",37,"Lewisetta","334BC443",1,0.54026503567788,0.500509683995923,0.0915826230290411,0.0915826230290411
"38","ME","MVP-ME-2",38,"Lewisetta","334BC443",1,0.367952522255193,0.330365974282888,0.158856830187091,0.123555312367737
"39","ME","MVP-ME-3",39,"Lewisetta","334BC443",1,0.837316885119507,0.678488820354665,0.262733968733083,0.201633045771901
"40","ME","MVP-ME-4",40,"YorkRiver","334BC443",1,0.812240663900415,0.566390041493776,0.0265118742826874,0.00883729142756246
"41","ME","MVP-ME-5",41,"YorkRiver","334BC443",1,0.744728915662651,0.527861445783133,0.0516630351192002,0.0401823606482668
"42","ME","MVP-ME-6",42,"YorkRiver","334BC443",1,0.707666385846672,0.537489469250211,0.0251590815393716,0.0209659012828096
"43","NH","MVP-NH-1",43,"Lewisetta","7375C067",1,0.562717770034843,0.494773519163763,0.181066053821632,0.0335307507077097
"44","NH","MVP-NH-2",44,"Lewisetta","7375C067",1,0.541208791208791,0.475274725274725,0.155728314238953,0.0994930896526641
"45","NH","MVP-NH-3",45,"Lewisetta","7375C067",1,0.62488646684832,0.488646684831971,0.0686184706359789,0.0563651723081255
"46","NH","MVP-NH-4",46,"YorkRiver","7375C067",1,0.557055214723926,0.301840490797546,0.00513771048166036,0
"47","NH","MVP-NH-5",47,"YorkRiver","7375C067",1,0.590729783037475,0.456607495069034,0.0621763397540812,0.0391480657710881
"48","NH","MVP-NH-6",48,"YorkRiver","7375C067",1,0.776595744680851,0.561170212765957,0.0515083770171652,0.029433358295523
"49","SEEDMIX","MVP-SEEDMIX-1",49,"Lewisetta","A45B9C36",1,0.79288256227758,0.744483985765125,0.544898917240857,0.473115826346852
"50","SEEDMIX","MVP-SEEDMIX-2",50,"Lewisetta","A45B9C36",1,0.872253864930838,0.792514239218877,0.65761819850077,0.636851308021799
"51","SEEDMIX","MVP-SEEDMIX-3",51,"Lewisetta","A45B9C36",1,0.778889899909008,0.740673339399454,0.624056685962093,0.533519964682619
"52","SEEDMIX","MVP-SEEDMIX-4",52,"YorkRiver","A45B9C36",1,0.803418803418803,0.597513597513598,0.340709881135413,0.279963158142277
"53","SEEDMIX","MVP-SEEDMIX-5",53,"YorkRiver","A45B9C36",1,0.852320675105485,0.671729957805907,0.391604273274082,0.335236991514934
"54","SEEDMIX","MVP-SEEDMIX-6",54,"YorkRiver","A45B9C36",1,0.767885532591415,0.650238473767885,0.384609139803132,0.344426095346089
"55","TX","MVP-TX-1",55,"Lewisetta","B1767257",1,0.891549295774648,0.879577464788732,0.651261612226551,0.578042851088654
"56","TX","MVP-TX-2",56,"Lewisetta","B1767257",1,0.962491153573956,0.949752300070771,0.832548824742889,0.724855941940326
"57","TX","MVP-TX-3",57,"Lewisetta","B1767257",1,0.88317107093185,0.864394993045897,0.772438078892078,0.697078266317241
"58","TX","MVP-TX-4",58,"YorkRiver","B1767257",1,0.915620641562064,0.758019525801953,0.36449449538562,0.354369648291575
"59","TX","MVP-TX-5",59,"YorkRiver","B1767257",1,0.953188602442334,0.746268656716418,0.520800254048904,0.465117208018518
"60","TX","MVP-TX-6",60,"YorkRiver","B1767257",1,0.935028248587571,0.734463276836158,0.440677966101695,0.369391824526421
