"","bag_site","pop","mean_surv","sd","se","event"
"1","Lewisetta","DEBY",1,0,0,0
"2","Lewisetta","FL",1,0,0,0
"3","Lewisetta","JR",1,0,0,0
"4","Lewisetta","LA",1,0,0,0
"5","Lewisetta","LARMIX",1,0,0,0
"6","Lewisetta","LOLA",1,0,0,0
"7","Lewisetta","ME",1,0,0,0
"8","Lewisetta","NH",1,0,0,0
"9","Lewisetta","SEEDMIX",1,0,0,0
"10","Lewisetta","TX",1,0,0,0
"11","YorkRiver","DEBY",1,0,0,0
"12","YorkRiver","FL",1,0,0,0
"13","YorkRiver","JR",1,0,0,0
"14","YorkRiver","LA",1,0,0,0
"15","YorkRiver","LARMIX",1,0,0,0
"16","YorkRiver","LOLA",1,0,0,0
"17","YorkRiver","ME",1,0,0,0
"18","YorkRiver","NH",1,0,0,0
"19","YorkRiver","SEEDMIX",1,0,0,0
"20","YorkRiver","TX",1,0,0,0
"21","Lewisetta","DEBY",0.783467601536002,0.139468781888998,0.0805223387671619,1
"22","Lewisetta","FL",0.843192740903646,0.0900982471752322,0.0520182472601338,1
"23","Lewisetta","JR",0.69859864243787,0.173479970126464,0.100158707451522,1
"24","Lewisetta","LA",0.926030608794149,0.0444410679237904,0.0256580625288748,1
"25","Lewisetta","LARMIX",0.902914071844662,0.0374285202974303,0.0216093662690908,1
"26","Lewisetta","LOLA",0.929768781379042,0.0147095005639661,0.00849253411025076,1
"27","Lewisetta","ME",0.58184481435086,0.237428694090723,0.13707952044662,1
"28","Lewisetta","NH",0.576271009363985,0.0434540685361368,0.0250882181667231,1
"29","Lewisetta","SEEDMIX",0.814675442372475,0.0503528023874763,0.0290712040128615,1
"30","Lewisetta","TX",0.912403840093485,0.043578697681865,0.0251601728375581,1
"31","YorkRiver","DEBY",0.857564201303203,0.0444881028585043,0.0256852181610932,1
"32","YorkRiver","FL",0.96845090564659,0.00979173203584934,0.0056532591267303,1
"33","YorkRiver","JR",0.829047079242602,0.0930842245576308,0.0537422021056557,1
"34","YorkRiver","LA",0.894431409357792,0.0374217068212332,0.0216054325067742,1
"35","YorkRiver","LARMIX",0.830914360101439,0.143717088289353,0.082975099611007,1
"36","YorkRiver","LOLA",0.885510661842575,0.0281240901995013,0.0162374510473954,1
"37","YorkRiver","ME",0.754878655136579,0.0530208243632333,0.0306115872187686,1
"38","YorkRiver","NH",0.641460247480751,0.118235764853172,0.0682634506658203,1
"39","YorkRiver","SEEDMIX",0.807875003705235,0.0423935916570823,0.0244759515551315,1
"40","YorkRiver","TX",0.934612497530656,0.0187874308483455,0.0108469282576737,1
"41","Lewisetta","DEBY",0.738457308293745,0.100793508124197,0.0581931590480719,2
"42","Lewisetta","FL",0.776609873764428,0.0882350193260654,0.0509425121598557,2
"43","Lewisetta","JR",0.626419504939196,0.112647080030711,0.0650368219791563,2
"44","Lewisetta","LA",0.958163399230315,0.0566588222595378,0.0327119862835113,2
"45","Lewisetta","LARMIX",0.804537923767832,0.0550068362552956,0.0317582117192646,2
"46","Lewisetta","LOLA",0.86912741909882,0.010575409884277,0.00610571574347797,2
"47","Lewisetta","ME",0.503121492877825,0.174076118834564,0.100502894068621,2
"48","Lewisetta","NH",0.486231643090153,0.00997121159853891,0.00575688170056316,2
"49","Lewisetta","SEEDMIX",0.759223854794485,0.0288932090252,0.0166815020084513,2
"50","Lewisetta","TX",0.897908252635134,0.0455354894882771,0.0262899271137381,2
"51","YorkRiver","DEBY",0.659179672301017,0.0353501117916643,0.0204093965588007,2
"52","YorkRiver","FL",0.8135387164014,0.0287243093048377,0.0165839877094341,2
"53","YorkRiver","JR",0.66665557909747,0.0604260861981018,0.0348870171325496,2
"54","YorkRiver","LA",0.687955247647205,0.0210039922864058,0.0121266606006132,2
"55","YorkRiver","LARMIX",0.688036081264801,0.0678684366729125,0.0391838601825851,2
"56","YorkRiver","LOLA",0.702705703019133,0.0702729657394022,0.0405721156863972,2
"57","YorkRiver","ME",0.543913652175706,0.0200515776574744,0.0115767837582195,2
"58","YorkRiver","NH",0.439872732877512,0.130472278179154,0.0753282049285182,2
"59","YorkRiver","SEEDMIX",0.63982734302913,0.0381878353170754,0.0220477570000826,2
"60","YorkRiver","TX",0.74625048645151,0.0117781349947059,0.00680010940974523,2
"61","Lewisetta","DEBY",0.657074868688287,0.0997293827029255,0.0575787859496493,3
"62","Lewisetta","FL",0.712818667406533,0.118709101779269,0.0685367318675196,3
"63","Lewisetta","JR",0.542679669266898,0.0740985381053043,0.0427808109216552,3
"64","Lewisetta","LA",0.922100898581573,0.0358143203601369,0.0206774075007685,3
"65","Lewisetta","LARMIX",0.59799501963191,0.0732340940632967,0.0422817239213027,3
"66","Lewisetta","LOLA",0.765604868035308,0.0194313826090916,0.0112187139800857,3
"67","Lewisetta","ME",0.171057807316405,0.0862255395243117,0.0497823384553821,3
"68","Lewisetta","NH",0.135137612898855,0.0589838747229397,0.0340543559491364,3
"69","Lewisetta","SEEDMIX",0.60885793390124,0.0578762528166201,0.0334148701433625,3
"70","Lewisetta","TX",0.752082838620506,0.092341838894247,0.0533135855430586,3
"71","YorkRiver","DEBY",0.492274225983612,0.0131072489331966,0.00756747369991649,3
"72","YorkRiver","FL",0.5544999995296,0.047291762337273,0.0273039117158764,3
"73","YorkRiver","JR",0.476896890242951,0.0515743249119049,0.0297764503711615,3
"74","YorkRiver","LA",0.309481832750324,0.0662829973705172,0.0382685063745634,3
"75","YorkRiver","LARMIX",0.333414669505488,0.00199023790001933,0.00114906438732755,3
"76","YorkRiver","LOLA",0.319708833851451,0.0332457807257633,0.0191944604514387,3
"77","YorkRiver","ME",0.0344446636470864,0.0149268800881286,0.0086180382370423,3
"78","YorkRiver","NH",0.0396074757509689,0.0303244933268468,0.017507854385294,3
"79","YorkRiver","SEEDMIX",0.372307764737542,0.0275871828784562,0.0159274674610601,3
"80","YorkRiver","TX",0.44199090517874,0.0781611502256157,0.04512636112293,3
"81","Lewisetta","DEBY",0.658422416095378,0.0371197096336795,0.0214310743492456,4
"82","Lewisetta","FL",0.640351868229608,0.175959376655895,0.10159019347872,4
"83","Lewisetta","JR",0.510644301144188,0.062008446977976,0.0358005935547651,4
"84","Lewisetta","LA",0.865647024566377,0.0978843945685916,0.0565135815536399,4
"85","Lewisetta","LARMIX",0.54647260951708,0.0461468948008547,0.0266429221355388,4
"86","Lewisetta","LOLA",0.707730352222183,0.054183713118211,0.0312829813544926,4
"87","Lewisetta","ME",0.13892366038956,0.0566119552494031,0.032684927602594,4
"88","Lewisetta","NH",0.0631296708894998,0.0334974084156569,0.0193397377659344,4
"89","Lewisetta","SEEDMIX",0.54782903301709,0.0828002962994827,0.0478047733574871,4
"90","Lewisetta","TX",0.666659019782074,0.0779905047501346,0.045027838911725,4
"91","YorkRiver","DEBY",0.389529837144569,0.056511331916391,0.0326268326941926,4
"92","YorkRiver","FL",0.443729190722287,0.0514859356919284,0.0297254188312146,4
"93","YorkRiver","JR",0.432031869440669,0.0398005038994954,0.0229788316402564,4
"94","YorkRiver","LA",0.216034961328578,0.0581690910570157,0.0335839403802838,4
"95","YorkRiver","LARMIX",0.277787899161567,0.0050655955489371,0.0029246229537846,4
"96","YorkRiver","LOLA",0.255525185292943,0.0292696089457346,0.0168988166038949,4
"97","YorkRiver","ME",0.023328517786213,0.0158055309518315,0.00912532754972486,4
"98","YorkRiver","NH",0.0228604746888704,0.0203849175270422,0.0117692376216461,4
"99","YorkRiver","SEEDMIX",0.3198754150011,0.0348690563821048,0.0201316590885965,4
"100","YorkRiver","TX",0.396292893612171,0.0600750042433247,0.0346843198714514,4
