"","bag","event","surv"
"1","MVP-DEBY-1",1,0.924455825864277
"2","MVP-DEBY-4",1,0.808847624249044
"3","MVP-DEBY-5",1,0.896036760482481
"4","MVP-DEBY-6",1,0.867808219178082
"5","MVP-FL-1",1,0.932922127987664
"6","MVP-FL-2",1,0.752730109204368
"7","MVP-FL-3",1,0.843925985518906
"8","MVP-FL-4",1,0.979623824451411
"9","MVP-FL-5",1,0.964365256124722
"10","MVP-FL-6",1,0.961363636363636
"11","MVP-JR-1",1,0.878636741479634
"12","MVP-JR-2",1,0.532520325203252
"13","MVP-JR-3",1,0.684638860630722
"14","MVP-JR-4",1,0.88216810683425
"15","MVP-JR-5",1,0.721565059144677
"16","MVP-JR-6",1,0.883408071748879
"17","MVP-LA-1",1,0.941097724230254
"18","MVP-LA-2",1,0.960979342004591
"19","MVP-LA-3",1,0.876014760147601
"20","MVP-LA-5",1,0.851233671988389
"21","MVP-LA-6",1,0.915107913669065
"22","MVP-LARMIX-1",1,0.868766404199475
"23","MVP-LARMIX-2",1,0.942930153321976
"24","MVP-LARMIX-3",1,0.897045658012534
"25","MVP-LARMIX-4",1,0.890756302521008
"26","MVP-LARMIX-5",1,0.666945606694561
"27","MVP-LARMIX-6",1,0.935041171088747
"28","MVP-LOLA-1",1,0.921551724137931
"29","MVP-LOLA-2",1,0.921003717472119
"30","MVP-LOLA-3",1,0.946750902527076
"31","MVP-LOLA-4",1,0.892320534223706
"32","MVP-LOLA-5",1,0.854606931530008
"33","MVP-LOLA-6",1,0.909604519774011
"34","MVP-ME-1",1,0.54026503567788
"35","MVP-ME-2",1,0.367952522255193
"36","MVP-ME-3",1,0.837316885119507
"37","MVP-ME-4",1,0.812240663900415
"38","MVP-ME-5",1,0.744728915662651
"39","MVP-ME-6",1,0.707666385846672
"40","MVP-NH-1",1,0.562717770034843
"41","MVP-NH-2",1,0.541208791208791
"42","MVP-NH-3",1,0.62488646684832
"43","MVP-NH-4",1,0.557055214723926
"44","MVP-NH-5",1,0.590729783037475
"45","MVP-NH-6",1,0.776595744680851
"46","MVP-SEEDMIX-1",1,0.79288256227758
"47","MVP-SEEDMIX-2",1,0.872253864930838
"48","MVP-SEEDMIX-3",1,0.778889899909008
"49","MVP-SEEDMIX-4",1,0.803418803418803
"50","MVP-SEEDMIX-5",1,0.852320675105485
"51","MVP-SEEDMIX-6",1,0.767885532591415
"52","MVP-TX-1",1,0.891549295774648
"53","MVP-TX-2",1,0.962491153573956
"54","MVP-TX-3",1,0.88317107093185
"55","MVP-TX-4",1,0.915620641562064
"56","MVP-TX-5",1,0.953188602442334
"57","MVP-TX-6",1,0.935028248587571
"66","MVP-DEBY-1",2,0.802176696542894
"67","MVP-DEBY-4",2,0.676679410158383
"68","MVP-DEBY-5",2,0.682366456059736
"69","MVP-DEBY-6",2,0.618493150684931
"70","MVP-FL-1",2,0.876638396299152
"71","MVP-FL-2",2,0.709828393135726
"72","MVP-FL-3",2,0.743362831858407
"73","MVP-FL-4",2,0.846394984326019
"74","MVP-FL-5",2,0.801039346696362
"75","MVP-FL-6",2,0.793181818181818
"76","MVP-JR-1",2,0.7190357439734
"77","MVP-JR-2",2,0.501016260162602
"78","MVP-JR-3",2,0.659206510681587
"79","MVP-JR-4",2,0.699921445404556
"80","MVP-JR-5",2,0.596906278434941
"81","MVP-JR-6",2,0.703139013452915
"82","MVP-LA-1",2,0.914323962516734
"83","MVP-LA-2",2,0.938026013771997
"84","MVP-LA-3",2,1.02214022140221
"85","MVP-LA-5",2,0.709724238026125
"86","MVP-LA-6",2,0.686330935251799
"87","MVP-LARMIX-1",2,0.741032370953631
"88","MVP-LARMIX-2",2,0.837308347529813
"89","MVP-LARMIX-3",2,0.835273052820054
"90","MVP-LARMIX-4",2,0.686554621848739
"91","MVP-LARMIX-5",2,0.62092050209205
"92","MVP-LARMIX-6",2,0.756633119853614
"93","MVP-LOLA-1",2,0.860344827586207
"94","MVP-LOLA-2",2,0.866171003717472
"95","MVP-LOLA-3",2,0.88086642599278
"96","MVP-LOLA-4",2,0.734557595993322
"97","MVP-LOLA-5",2,0.622147083685545
"98","MVP-LOLA-6",2,0.751412429378531
"99","MVP-ME-1",2,0.500509683995923
"100","MVP-ME-2",2,0.330365974282888
"101","MVP-ME-3",2,0.678488820354665
"102","MVP-ME-4",2,0.566390041493776
"103","MVP-ME-5",2,0.527861445783133
"104","MVP-ME-6",2,0.537489469250211
"105","MVP-NH-1",2,0.494773519163763
"106","MVP-NH-2",2,0.475274725274725
"107","MVP-NH-3",2,0.488646684831971
"108","MVP-NH-4",2,0.301840490797546
"109","MVP-NH-5",2,0.456607495069034
"110","MVP-NH-6",2,0.561170212765957
"111","MVP-SEEDMIX-1",2,0.744483985765125
"112","MVP-SEEDMIX-2",2,0.792514239218877
"113","MVP-SEEDMIX-3",2,0.740673339399454
"114","MVP-SEEDMIX-4",2,0.597513597513598
"115","MVP-SEEDMIX-5",2,0.671729957805907
"116","MVP-SEEDMIX-6",2,0.650238473767885
"117","MVP-TX-1",2,0.879577464788732
"118","MVP-TX-2",2,0.949752300070771
"119","MVP-TX-3",2,0.864394993045897
"120","MVP-TX-4",2,0.758019525801953
"121","MVP-TX-5",2,0.746268656716418
"122","MVP-TX-6",2,0.734463276836158
"131","MVP-DEBY-1",3,0.679290053668238
"132","MVP-DEBY-4",3,0.492392251647164
"133","MVP-DEBY-5",3,0.479108362765346
"134","MVP-DEBY-6",3,0.505322063538327
"135","MVP-FL-1",3,0.845329882145611
"136","MVP-FL-2",3,0.616191456168885
"137","MVP-FL-3",3,0.676934663905103
"138","MVP-FL-4",3,0.60868405255786
"139","MVP-FL-5",3,0.521527744870398
"140","MVP-FL-6",3,0.533288201160542
"141","MVP-JR-1",3,0.57216886860862
"142","MVP-JR-2",3,0.458376578446635
"143","MVP-JR-3",3,0.597493560745438
"144","MVP-JR-4",3,0.533131654159215
"145","MVP-JR-5",3,0.431804541846553
"146","MVP-JR-6",3,0.465754474723085
"147","MVP-LA-1",3,0.890979520920562
"148","MVP-LA-2",3,0.914076413420371
"149","MVP-LA-3",3,0.961246761403784
"150","MVP-LA-5",3,0.383553098848161
"151","MVP-LA-6",3,0.289135159957141
"152","MVP-LARMIX-1",3,0.523452653524692
"153","MVP-LARMIX-2",3,0.66984667802385
"154","MVP-LARMIX-3",3,0.600685727347188
"155","MVP-LARMIX-4",3,0.333052029322367
"156","MVP-LARMIX-5",3,0.335561292619959
"157","MVP-LARMIX-6",3,0.331630686574137
"158","MVP-LOLA-1",3,0.743191489361702
"159","MVP-LOLA-2",3,0.777710986316539
"160","MVP-LOLA-3",3,0.775912128427683
"161","MVP-LOLA-4",3,0.281319930380421
"162","MVP-LOLA-5",3,0.338871603028723
"163","MVP-LOLA-6",3,0.33893496814521
"164","MVP-ME-1",3,0.0915826230290411
"165","MVP-ME-2",3,0.158856830187091
"166","MVP-ME-3",3,0.262733968733083
"167","MVP-ME-4",3,0.0265118742826874
"168","MVP-ME-5",3,0.0516630351192002
"169","MVP-ME-6",3,0.0251590815393716
"170","MVP-NH-1",3,0.181066053821632
"171","MVP-NH-2",3,0.155728314238953
"172","MVP-NH-3",3,0.0686184706359789
"173","MVP-NH-4",3,0.00513771048166036
"174","MVP-NH-5",3,0.0621763397540812
"175","MVP-NH-6",3,0.0515083770171652
"176","MVP-SEEDMIX-1",3,0.544898917240857
"177","MVP-SEEDMIX-2",3,0.65761819850077
"178","MVP-SEEDMIX-3",3,0.624056685962093
"179","MVP-SEEDMIX-4",3,0.340709881135413
"180","MVP-SEEDMIX-5",3,0.391604273274082
"181","MVP-SEEDMIX-6",3,0.384609139803132
"182","MVP-TX-1",3,0.651261612226551
"183","MVP-TX-2",3,0.832548824742889
"184","MVP-TX-3",3,0.772438078892078
"185","MVP-TX-4",3,0.36449449538562
"186","MVP-TX-5",3,0.520800254048904
"187","MVP-TX-6",3,0.440677966101695
"196","MVP-DEBY-1",4,0.65828108293623
"197","MVP-DEBY-4",4,0.326284022175832
"198","MVP-DEBY-5",4,0.407242108350544
"199","MVP-DEBY-6",4,0.43506338090733
"200","MVP-FL-1",4,0.836141513861419
"201","MVP-FL-2",4,0.495430316517697
"202","MVP-FL-3",4,0.589483774309707
"203","MVP-FL-4",4,0.497339408797276
"204","MVP-FL-5",4,0.394669644766787
"205","MVP-FL-6",4,0.439178518602799
"206","MVP-JR-1",4,0.5595937286392
"207","MVP-JR-2",4,0.44091461355343
"208","MVP-JR-3",4,0.531424561239933
"209","MVP-JR-4",4,0.477980103728951
"210","MVP-JR-5",4,0.408251566836741
"211","MVP-JR-6",4,0.409863937756314
"212","MVP-LA-1",4,0.755741557923691
"213","MVP-LA-2",4,0.897753620323579
"214","MVP-LA-3",4,0.943445895451863
"215","MVP-LA-5",4,0.282949007347004
"216","MVP-LA-6",4,0.187630263376442
"217","MVP-LARMIX-1",4,0.50069384250188
"218","MVP-LARMIX-2",4,0.592979026447343
